"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-1643.92470257512","-6836.77732768906","-2220.92770447299","-6394.10615181749","-4717.95532151977","-7919.70702856156","-2656.12392611473","-7103.81783336534","-5017.19302197885","-6356.58887299795","6703.23540455128","-785.162730639293","5869.55142763985","-1653.57639265534","7767.08391183421","1888.23717297077","5786.81087421908","-761.872067779302","-2738.42452921195","-9379.58517941284","-2457.2909315353","-5900.37611991961","-3279.31016025732","-6553.13166245933","-2881.67094884813","-7720.1393564543","-3861.88676270093","-6274.27243270117","7250.49146506606","-468.753955793012","-2247.85370319067","-4902.51322775878","7614.96854141649","875.514871679774","5589.70851748246","1508.12322835411","6605.25409129102","98.5061370226771","-5802.0142831981","-7326.06677087129","-710.115986349769","-6061.92154219308","-4544.10281907629","-5037.9160869212","-3219.44507041835","-4280.43614975324","7023.29926128947","1765.52860614394","9352.51816903598","88.3303602532236","-1450.61692150393","-5637.20895708251","5792.98922991602","252.096031946533","-2012.91791948247","-8019.63088008576","8755.29363533542","-1186.31588754535","6965.26586963106","-1906.91331674669","6957.76877750345","802.557177927505","8752.32875496771","-2064.48204121531","8652.06611071686","1337.24879514382","-1900.41458602311","-5351.30111038178","8319.55175491034","338.389317855547","9321.65495616353","-525.1023739546"
"2","-1644.1294717455","-6836.64903727899","-2221.20517789303","-6393.01913860056","-4717.99211367818","-7918.00126889004","-2656.66334622537","-7104.4952801178","-5015.18163092052","-6353.80976476125","6702.26526392451","-785.221320572506","5868.16337270872","-1654.53280775904","7766.83945448647","1887.46084711771","5785.2356340088","-761.635979552404","-2738.72362058078","-9378.7458665799","-2458.23181046546","-5899.90588404681","-3279.03770644887","-6553.04921945769","-2882.41877927108","-7720.67047036321","-3861.86149841907","-6272.40969052268","7250.63187144146","-469.13500432227","-2245.96581113086","-4896.55906979124","7613.48349841088","876.435464811885","5585.26274292542","1507.98176802531","6601.77126483816","98.1325350533218","-5801.15659247168","-7324.61692384251","-708.531399082941","-6058.41447659372","-4541.65340570361","-5035.06589666049","-3217.47027089587","-4277.0290597953","7018.23255019425","1765.60505662302","9353.08531109244","88.8379954402734","-1449.62647909966","-5635.86347020722","5785.73601897688","251.884093165789","-2012.84852412225","-8020.29164490811","8753.37479952201","-1186.56633345748","6963.83058251765","-1906.58972043337","6955.64303050773","802.222818143691","8752.32295587281","-2064.41180235253","8652.97257951371","1336.93621287199","-1898.50795150319","-5348.53775215809","8318.70375731737","336.920667651648","9313.31321880948","-525.449867425171"
"3","-1644.34341157428","-6836.55093526894","-2221.49491841676","-6391.96163786351","-4718.04772528745","-7916.32972679382","-2657.21533541164","-7105.20330879586","-5013.1924478659","-6351.06235765057","6701.32697769091","-785.283079904074","5866.8045820494","-1655.49457285395","7766.62940242018","1886.69067637","5783.68979967082","-761.402796048037","-2739.03580537717","-9377.94233435666","-2459.18493159259","-5899.46324955356","-3278.77905296585","-6552.99509688983","-2883.17843457213","-7721.23206964279","-3861.8529776072","-6270.57750345958","7250.80520633499","-469.518435513758","-2244.08910802801","-4890.63882274417","7612.0336865064","877.357861714917","5580.84902954379","1507.84569339772","6598.32346326023","97.7589829077731","-5800.3218017593","-7323.20011139959","-706.956357489346","-6054.93711633009","-4539.22413964077","-5032.24437465657","-3215.51004984935","-4273.65018929282","7013.20205226911","1765.68728617433","9353.68917621269","89.3467889545123","-1448.64772581606","-5634.54612088244","5778.51757225632","251.672866161925","-2012.78988588456","-8020.98479367359","8751.49212566969","-1186.82065285225","6962.42688672548","-1906.27237380323","6953.55246831033","801.89097230061","8752.35267174211","-2064.34772242089","8653.91536004298","1336.62845575342","-1896.61308083825","-5345.80192805069","8317.89294407688","335.453381859386","9305.01456024916","-525.798771099964"
"4","-1644.56614585375","-6836.4822402786","-2221.79645335395","-6390.93285839303","-4718.12166862936","-7914.69158337308","-2657.77947874373","-7105.94114329194","-5011.22496866304","-6348.34578632827","6700.4196916813","-785.347981471259","5865.47423906558","-1656.46149874594","7766.45284399771","1885.92662244921","5782.17243174278","-761.172497856007","-2739.36072035417","-9377.17387871127","-2460.14988589391","-5899.04750957985","-3278.53386732207","-6552.96855968962","-2883.94967452192","-7721.82352736313","-3861.86074703434","-6268.77507246042","7251.01052344267","-469.904171359459","-2242.22332802792","-4884.75154217953","7610.61818363897","878.282034136209","5576.46643904409","1507.71498596204","6594.90968094997","97.3855274331221","-5799.50942093497","-7321.81549338859","-705.390436935493","-6051.48872159723","-4536.81459082758","-5029.45065191782","-3213.56402603494","-4270.29863483227","7008.20683843199","1765.77522269209","9354.32890318514","89.8566005686963","-1447.68022236417","-5633.25602719857","5771.33307974","251.462407449013","-2012.74160758347","-8021.70956253776","8749.64490882674","-1187.07872643212","6961.0539309332","-1905.96118938314","6951.49608395381","801.561616390333","8752.41701228425","-2064.28972697992","8654.89348000362","1336.32551129934","-1894.72963649161","-5343.09291730769","8317.11835075751","333.987529181719","9296.75850593062","-526.149048871762"
"5","-1644.79729817046","-6836.44216987875","-2222.1093096628","-6389.93200804068","-4718.21345532279","-7913.08601861938","-2658.35536094216","-7106.70800645152","-5009.2786884583","-6345.65918451235","6699.5425506333","-785.415997881156","5864.17152612992","-1657.43339598853","7766.30886651642","1885.16864677747","5780.68258981606","-760.945065531899","-2739.69800187545","-9376.43979441264","-2461.12626395583","-5898.65795636644","-3278.30181659125","-6552.96887189471","-2884.7322584872","-7722.44421556084","-3861.8843528983","-6267.00159748086","7251.24687539874","-470.292133682865","-2240.36820508334","-4878.89628261788","7609.23606665828","879.207953723074","5572.1140322347","1507.58962703701","6591.5289111839","97.0122154452641","-5798.71895906154","-7320.46222861384","-703.833212682257","-6048.06855158494","-4534.42432849902","-5026.68385873863","-3211.63181779483","-4266.97349229356","7003.24597855685","1765.86879382902","9355.0036295905","90.3672899917235","-1446.72352906387","-5631.99230637984","5764.18173039714","251.252773511725","-2012.70329180123","-8022.46518653633","8747.83244272407","-1187.34043469475","6959.71086284588","-1905.65607926087","6949.47286936622","801.234726299315","8752.51508599138","-2064.23774130377","8655.90596591808","1336.02736680971","-1892.85728053505","-5340.4099981226","8316.3790117399","332.523178231522","9288.54457968563","-526.50066457064"
"6","-1645.03649195703","-6836.42994070851","-2222.43301401893","-6388.95829384475","-4718.32259640569","-7911.5122115495","-2658.94256643541","-7107.50312018395","-5007.35310178612","-6343.00168511402","6698.69469832126","-785.487101511772","5862.8956247088","-1658.41007491237","7766.19655634602","1884.41671048951","5779.21933268451","-760.720479602759","-2740.04728596758","-9375.73937514808","-2462.11365602821","-5898.29388135754","-3278.08256745973","-6552.99529675829","-2885.52594545842","-7723.0935053293","-3861.92334089729","-6265.25627760811","7251.51331391618","-470.682244148311","-2238.52347299813","-4873.07209768695","7607.88641146782","880.135592023205","5567.79086918168","1507.46959777398","6588.18014628652","96.6390937216785","-5797.94992447527","-7319.13947497177","-702.284259945738","-6044.67586460434","-4532.05292125984","-5023.94312483728","-3209.71304312985","-4263.67385699074","6998.31854163264","1765.96792700969","9355.7124919348","90.8787168902132","-1445.77720590667","-5630.75407491557","5757.06271231977","251.04402079258","-2012.67454094794","-8023.25089969708","8746.05401988769","-1187.60565795432","6958.3968293314","-1905.35695510304","6947.48181552064","800.91027781484","8752.64600028013","-2064.19169039933","8656.9518432793","1335.73400937267","-1890.99567470797","-5337.75244774642","8315.67396036452","331.060397524037","9280.3723038081","-526.853581969384"
"7","-1645.28335054378","-6836.444768592","-2222.76709288402","-6388.0109221513","-4718.44860241666","-7909.96934033843","-2659.54067941719","-7108.32570557264","-5005.44770265816","-6340.37242037451","6697.8752776853","-785.561264513074","5861.6457154865","-1659.39134565445","7766.1149990651","1883.67077444459","5777.78171849254","-760.498720572682","-2740.40820837203","-9375.07191364008","-2463.11165207844","-5897.95457530299","-3277.87578627876","-6553.04709686014","-2886.3304940771","-7723.77076690806","-3861.97725630134","-6263.53831118465","7251.80888992635","-471.074424270276","-2236.68886547124","-4867.2780402695","7606.56829316412","881.06492048506","5563.49600936377","1507.35487916146","6584.86237779373","96.2662089942219","-5797.20182486987","-7317.84638958398","-700.743153957843","-6041.30991821373","-4529.6999371588","-5021.22757949322","-3207.80731977158","-4260.39882381202","6993.42359592135","1766.07254944384","9356.45462578149","91.3907409100636","-1444.84081261825","-5629.54044869077","5749.97521286103","250.836205679176","-2012.6549573209","-8024.06593515102","8744.30893175026","-1187.87427636283","6957.11097655605","-1905.06372817311","6945.52191259385","800.588246631417","8752.80886163188","-2064.15149902419","8658.03013669676","1335.44542586387","-1889.14448047639","-5335.11954259924","8315.00222907867","329.599255469314","9272.24119913144","-527.207764788903"
"8","-1645.53749721016","-6836.48586865417","-2223.11107257421","-6387.08909873456","-4718.59098347608","-7908.45658245158","-2660.14928390341","-7109.17498298445","-5003.56198465194","-6337.7705220011","6697.08343095977","-785.638458807992","5860.42097848868","-1660.37701818732","7766.06327959689","1882.9307992383","5776.36880488244","-760.279768928334","-2740.78040459684","-9374.43670176223","-2464.11984184514","-5897.63932835971","-3277.68113911652","-6553.12353421707","-2887.14566266287","-7724.47536977169","-3862.04564402312","-6261.84689593113","7252.13265371788","-471.468595422656","-2234.86411614022","-4861.51316265028","7605.28078617508","881.995910458215","5559.22851182663","1507.24545202951","6581.57459661537","95.8936079419329","-5796.47416737996","-7316.58212892945","-699.209470026569","-6037.96996934375","-4527.36494376241","-5018.53635168342","-3205.91426525418","-4257.14748735901","6988.56020911507","1766.18258813947","9357.22916588276","91.9032216979838","-1443.91390872074","-5628.35054311602","5742.91841877272","250.629384491427","-2012.64414316371","-8024.90952524282","8742.59646876197","-1188.14616993132","6955.85245011938","-1904.77630934917","6943.59215012418","800.268608357119","8753.00277573212","-2064.11709170449","8659.13987004169","1335.16160294571","-1887.30335909157","-5332.51055838116","8314.36284958262","328.139820364626","9264.15078510503","-527.56317670359"
"9","-1645.79855523583","-6836.55245543608","-2223.46447932815","-6386.19202891663","-4718.74924936679","-7906.97311477617","-2660.76796378887","-7110.05017217847","-5001.69544099894","-6335.19512130237","6696.31829980081","-785.718656093395","5859.22059320511","-1661.36690234814","7766.04048234404","1882.19674521423","5774.97964914096","-760.063605144368","-2741.16350996798","-9373.83303065439","-2465.13781489161","-5897.34743019245","-3277.49829180982","-6553.22387039257","-2887.97120924027","-7725.20668271784","-3862.12804868848","-6260.18122906869","7252.48365507483","-471.864678847994","-2233.04895862454","-4855.77651666218","7604.02296439752","882.928533193703","5554.98743533619","1507.14129705397","6578.31579319682","95.5213371838542","-5795.76645866412","-7315.34584897603","-697.682783595995","-6034.65527442176","-4525.04750822815","-5015.8685702181","-3204.03349698574","-4253.91894208517","6983.72744849226","1766.2979699159","9358.03524630986","92.4160189229976","-1442.99605359471","-5627.18347325671","5735.89151634184","250.423613468799","-2012.64170072506","-8025.78090164048","8740.91592050047","-1188.42121855098","6954.62039518828","-1904.4946091417","6941.6915171684","799.951338519871","8753.22684760901","-2064.08839275267","8660.28006659142","1334.8825270665","-1885.47197164841","-5329.92477018261","8313.75485297483","326.682160386883","9256.1005798698","-527.919781346658"
"10","-1646.06614795161","-6836.64374300937","-2223.82683937476","-6385.31891768634","-4718.92290961429","-7905.51811375171","-2661.39630290361","-7110.95049241397","-4999.84756467208","-6332.6453493226","6695.57902541321","-785.80182784103","5858.04373871178","-1662.3608078676","7766.04569132269","1881.46857247559","5773.61330834524","-759.850209688772","-2741.55715968032","-9373.26019083687","-2466.16516065897","-5897.078170074","-3277.32691001537","-6553.3473666059","-2888.80689156536","-7725.96407395462","-3862.22401470661","-6258.54050744036","7252.86094341397","-472.262595666687","-2231.24312656858","-4850.06715383152","7602.79390133377","883.862759844322","5550.77183853113","1507.04239476064","6575.08495767981","95.1494432718722","-5795.07820498725","-7314.13670531105","-696.162670305962","-6031.36508949558","-4522.7471973773","-5013.22336387561","-3202.16463231936","-4250.7122824336","6978.92438107296","1766.41862141664","9358.87200058267","92.9289922979177","-1442.0868065408","-5626.03835396152","5728.89369152638","250.218948757552","-2012.64723231718","-8026.67929544425","8739.26657578014","-1188.69930201425","6953.41395663022","-1904.21853771124","6939.81900245788","799.636412573681","8753.48018177105","-2064.06532628504","8661.44974917283","1334.60818445955","-1883.64997914349","-5327.361452594","8313.17726989618","325.226343585023","9248.09010033287","-528.277542315446"
