"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-2869.72867514909","-7735.35518518052","-2196.43352307406","-6623.73888604051","-3639.73046142581","-6829.41171644707","-3632.0951069705","-8440.30954623967","-3597.14870903127","-6086.2472471467","-2262.31512391396","-8938.8830582486","-5425.87805592001","49.5090304475938","-3598.39228210668","-4793.08965975823","-7973.22177813833","-857.926353081411","-5168.03603725837","-1748.06477861214","-2883.74623481881","-6188.09455651707","-1173.82173146021","-6782.57662013981","-2347.06002529954","-5685.78133889785","-4245.05883615338","-5847.92383536047","-5378.19400995304","-712.245590798747","-7389.11455733765","-1680.51189677351","-5268.37682853354","1974.54920746822","-3981.68353468935","-4601.27664861529","-7149.27578250086","-381.11588138833","-7077.01075010702","1248.26353585827","-602.223610461713","-5766.08639380933","-4841.9747001995","-7802.15175129519","-5274.25150393983","-6841.71454849853","-4613.65538062622","-5274.8054093682","-6303.04031893662","80.6729251853407","-6680.36476552763","-1578.5814930297","-5441.28927982073","930.907417264195","-1549.33958522918","-5339.12871312265","-6131.79608700448","1681.85705555343","-2791.28025288608","-4681.58929543863","-7266.08732223173","490.744469466103","-8453.03977494148","1969.83140793978","-9252.01680341944","-1594.00821603979","-9928.56939181437","408.265279322638","-11242.9998443811","-167.406864701633","-9829.33246359303","-741.392388430499"
"2","-2867.81538189123","-7733.38136174425","-2195.15074796154","-6621.37654844481","-3638.68577210702","-6826.94160026383","-3631.06902318795","-8438.67763957541","-3594.29179010823","-6081.96319225939","-2260.21971904556","-8933.41618798601","-5421.76708634675","49.8256714561471","-3596.19494183728","-4790.87295497951","-7970.55652158658","-858.757423510822","-5155.11551726181","-1747.25079270342","-2882.92356523891","-6186.79540974991","-1170.51918191747","-6779.09111935143","-2345.40597499725","-5681.74942658282","-4243.32227528405","-5844.91464844867","-5369.09967419937","-711.610825151176","-7386.79651609024","-1680.94413388628","-5263.41696639343","1975.83098326324","-3979.86439755098","-4598.4993722949","-7146.85420411","-380.280404220923","-7074.18094685764","1247.98275104502","-597.627968791063","-5758.0506720785","-4840.74727077326","-7801.21468656158","-5275.58268360794","-6839.03609081454","-4611.72706416176","-5271.23914819435","-6298.70586179607","81.6985664750797","-6674.24583496347","-1578.52798953382","-5436.63617212735","932.137046450202","-1545.55915568109","-5331.67512031964","-6130.75849459159","1682.87490000314","-2788.85773850384","-4677.16333112836","-7264.20841024193","490.971349210415","-8450.01647754815","1971.20260961569","-9245.63270530912","-1594.82992083886","-9919.92789586239","409.324737700898","-11230.6673502587","-166.350567144747","-9820.53832886516","-741.123530709484"
"3","-2865.91672131892","-7731.44155783886","-2193.88013324733","-6619.04628478052","-3637.65779974978","-6824.50200411113","-3630.05941903858","-8437.08191613853","-3591.45361820088","-6077.70940471806","-2258.1381501102","-8927.98797195903","-5417.68854694455","50.1430396494361","-3594.01431467716","-4788.68017217919","-7967.92767643018","-859.59111567456","-5142.23399610803","-1746.44243412783","-2882.11541061999","-6185.52565559235","-1167.22837344571","-6775.63800164212","-2343.76535507231","-5677.74781170176","-4241.60469302131","-5841.93319890994","-5360.04149910544","-710.978909405466","-7384.51170731021","-1681.38226685291","-5258.48857475742","1977.11831080915","-3978.06307529861","-4595.74546739392","-7144.46679863122","-379.446474794013","-7071.38596282086","1247.70608384758","-593.043537667887","-5750.0492490828","-4839.53980330442","-7800.31134552636","-5276.9361541514","-6836.38938524473","-4609.81862771732","-5267.69865403244","-6294.4050666906","82.7235875788275","-6668.16304975234","-1578.48150207558","-5432.01426190063","933.36852820662","-1541.79261650889","-5324.25400266946","-6129.75277731506","1683.89746026093","-2786.44957894469","-4672.76344597128","-7262.36398332926","491.199486699938","-8447.03034705545","1972.57923789476","-9239.28957708721","-1595.65587262759","-9911.33116492019","410.384058628975","-11218.3869555029","-165.295995465448","-9811.7886513828","-740.856705664458"
"4","-2864.0323147166","-7729.5349886214","-2192.62134920023","-6616.74725782781","-3636.64619521732","-6822.09223663943","-3629.06592744266","-8435.52149007911","-3588.63377026086","-6073.48520401681","-2256.07002561529","-8922.5977796858","-5413.64149694262","50.4610949992869","-3591.8500256212","-4786.51062812995","-7965.33435462882","-860.427345278388","-5129.39067705674","-1745.63988392026","-2881.32135494046","-6184.28451689497","-1163.94891774342","-6772.2165205816","-2342.13768396035","-5673.77571438734","-4239.90569865489","-5838.97886209886","-5351.01853764362","-710.349857941064","-7382.25930923245","-1681.82616691939","-5253.59076282646","1978.41106575476","-3976.27919301134","-4593.01427749544","-7142.11272990022","-378.614114047829","-7068.62489836156","1247.43351059603","-588.470003249286","-5742.08138713918","-4838.35191683708","-7799.44087719071","-5278.31130914876","-6833.77376644416","-4607.92969258119","-5264.18337568524","-6290.1371343418","83.747958356859","-6662.11553772536","-1578.44188475552","-5427.42275971153","934.601809245442","-1538.03960140999","-5316.86467299187","-6128.77789935808","1684.92463168547","-2784.05546334371","-4668.38900703997","-7260.55313488116","491.428858969385","-8444.08063908631","1973.96120506924","-9232.98677818373","-1596.48600977705","-9902.77873137579","411.443193014296","-11206.1581061928","-164.243196326362","-9803.08293646317","-740.591883345554"
"5","-2862.16178297322","-7727.66086815862","-2191.37406587798","-6614.47862933692","-3635.65060884158","-6819.71160549016","-3628.08818081246","-8433.99547437457","-3585.8318225844","-6069.28990866181","-2254.01495366473","-8917.24497932514","-5409.62499473195","50.7797973753385","-3589.70169905905","-4784.36363883277","-7962.77566683713","-861.266027938748","-5116.58476224982","-1744.84332279321","-2880.54098175506","-6183.07121557017","-1160.68042621761","-6768.82592868325","-2340.52247983994","-5669.83235390736","-4238.22490084719","-5836.05101241583","-5342.02984182943","-709.723685027414","-7380.03849900363","-1682.27570505057","-5248.72263887796","1979.70912357478","-3974.51237513177","-4590.30514544888","-7139.7911607333","-377.783342940909","-7065.89685283554","1247.16500741707","-583.907051423345","-5734.14634758507","-4837.18322972417","-7798.60242939111","-5279.70754133196","-6831.18856781541","-4606.05987936062","-5260.69276110339","-6285.90126448878","84.7716486549434","-6656.10242550895","-1578.4089914084","-5422.860875284","935.836836202658","-1534.29974370069","-5309.50644315841","-6127.83282403692","1685.95630942634","-2781.67508035214","-4664.0393805323","-7258.7749572089","491.659442986672","-8441.16660806028","1975.34842316941","-9226.72366653153","-1597.3202704893","-9894.27012597748","412.50209178091","-11193.980246484","-163.192216289735","-9794.4206877354","-740.329033689679"
"6","-2860.30474664599","-7725.81840955597","-2190.13795317537","-6612.23956016397","-3634.67069048014","-6817.35941740846","-3627.12581111125","-8432.50298097643","-3583.04735088706","-6065.12283628745","-2251.97254202473","-8911.92893779231","-5405.63809801548","51.0991065454714","-3587.56895884363","-4782.23851962846","-7960.2507225516","-862.107079195484","-5103.81545285798","-1744.05293111416","-2879.77387426026","-6181.88497271256","-1157.42251005152","-6765.46547753157","-2338.91926071379","-5665.91694879519","-4236.56190769686","-5833.14902340854","-5333.07446288955","-709.100404825282","-7377.84845281931","-1682.73075195588","-5243.88331041026","1981.01235959224","-3972.7622455313","-4587.61741348178","-7137.50125306078","-376.954182448757","-7063.20092473388","1246.90055024113","-579.354367860105","-5726.24339091025","-4836.03335968925","-7797.79514893975","-5281.12424267855","-6828.63312161433","-4604.20880804816","-5257.22625747684","-6281.69665601752","85.7946283055937","-6650.12283867287","-1578.38267562594","-5418.32781762373","937.073555646855","-1530.57267637433","-5302.17862421101","-6126.91651396474","1686.99238844202","-2779.30811819144","-4659.71393187607","-7257.02854168968","491.891215658623","-8438.28750731061","1976.74080397318","-9220.49959867757","-1598.15859280749","-9885.80487791579","413.560705882538","-11181.8528187313","-162.143101810093","-9785.80140723402","-740.068126529272"
"7","-2858.46082602369","-7724.00682508577","-2188.91268087196","-6610.02921040602","-3633.70608957274","-6815.03497835526","-3626.17844991183","-8431.04312095629","-3580.27993037808","-6060.98330377182","-2249.94239818919","-8906.64902087391","-5401.67986395739","51.41898217624","-3585.45142835926","-4780.13458530855","-7957.75863025647","-862.950414524492","-5091.08194922634","-1743.26888888293","-2879.01961535933","-6180.72500871864","-1154.17478027213","-6762.13441790903","-2337.32754448973","-5662.0287169794","-4234.91632680189","-5830.27226787268","-5324.15145142916","-708.480031388026","-7375.68834606018","-1683.19117811494","-5239.07188428627","1982.32064900078","-3971.02842757507","-4584.95042331109","-7135.24216805961","-376.126653562448","-7060.53621182649","1246.64011480939","-574.811638062245","-5718.37177688792","-4834.9019238878","-7797.01818176413","-5282.56080450365","-6826.10675905505","-4602.37609808759","-5253.78331132583","-6277.52250708944","86.8168671293373","-6644.17590187747","-1578.36279077937","-5413.82279514614","938.311914087773","-1526.85803215923","-5294.88052647997","-6126.02793121456","1688.03276351785","-2776.95426470692","-4655.41202583313","-7255.31297890792","492.124153836665","-8435.44258920058","1978.13825901556","-9214.31392989319","-1599.00091462585","-9877.3825149045","414.618986315603","-11169.7752636095","-161.095899226871","-9777.22459549155","-739.809131601033"
"8","-2856.6296411897","-7722.22532631457","-2187.69791867957","-6607.84673953535","-3632.75645519734","-6812.73759361858","-3625.24572845472","-8429.6150046509","-3577.52913583429","-6056.87062735148","-2247.92412944481","-8901.40459334189","-5397.74934933164","51.7393838333137","-3583.34873058943","-4778.05115022568","-7955.29849756895","-863.795949350311","-5078.38345101912","-1742.49137570885","-2878.27778772701","-6179.59054340584","-1150.93684781724","-6758.83199992205","-2335.74684906119","-5658.16687591266","-4233.28776532228","-5827.42011795211","-5315.25985759815","-707.862578662793","-7373.55735342765","-1683.65685380306","-5234.28746687641","1983.63386688687","-3969.31054418641","-4582.30351625384","-7133.01306628517","-375.300777287186","-7057.90181130478","1246.38367668074","-570.27854741547","-5710.53076470492","-4833.78853896812","-7796.2706730459","-5284.0166175512","-6823.6088104143","-4600.56136843928","-5250.36336859119","-6273.37801526912","87.8383349360062","-6638.26073902003","-1578.34919004197","-5409.34501580362","939.551857984819","-1523.15544357623","-5287.61145970105","-6125.16603748134","1689.07732928385","-2774.61320742117","-4651.13302660281","-7253.62735879564","492.35823432248","-8432.63110523893","1979.54069959801","-9208.16601428362","-1599.84717369968","-9869.0025632607","415.676884132265","-11157.7470202338","-160.050654757028","-9768.68975163006","-739.552018554609"
"9","-2854.81081208462","-7720.47312422972","-2186.49333628932","-6605.69130653291","-3631.82143612586","-6810.46656792415","-3624.3272777059","-8428.21774180634","-3574.79454167358","-6052.78412273547","-2245.91734293576","-8896.19501906673","-5393.84561066956","52.0602709819257","-3581.26048818413","-4775.98752840334","-7952.86943138351","-864.643599058655","-5065.71915736328","-1741.72057078793","-2877.54797387386","-6178.48079613073","-1147.70832360231","-6755.55747312621","-2334.17669238736","-5654.33064269986","-4231.6758300423","-5824.59194523832","-5306.3987312565","-707.248060491659","-7371.45464907851","-1684.12764911662","-5229.52916420065","1984.95188825181","-3967.60821791094","-4579.67603333728","-7130.81310780215","-374.476574640812","-7055.29681992344","1246.13121123865","-565.754781238598","-5702.71961309099","-4832.69282113169","-7795.5517673588","-5285.49107208488","-6821.13860513503","-4598.76423764521","-5246.96587472407","-6269.2623776512","88.8590015260478","-6632.37647338026","-1578.34172641121","-5404.89368721186","940.793333755543","-1519.46454299586","-5280.37073313181","-6124.32979424332","1690.12598023243","-2772.284633587","-4646.87629792474","-7251.9707707721","492.593433873653","-8429.85230619442","1980.94803679772","-9202.05520489643","-1600.69730765517","-9860.66454798384","416.734350453431","-11145.7675262779","-159.007414487634","-9760.19637345188","-739.296756961247"
"10","-2853.00395856845","-7718.74942936504","-2185.29860341841","-6603.56207002107","-3630.90068087945","-6808.22120554525","-3623.4227284142","-8426.85044172136","-3572.07572202787","-6048.72310521861","-2243.92164572806","-8891.01966112961","-5389.96770440663","52.3816029873324","-3579.18632352678","-4773.94303364505","-7950.47053801525","-865.49327900888","-5053.08826699121","-1740.9566528799","-2876.82975621018","-6177.39498590663","-1144.48881858691","-6752.31008665072","-2332.6165925729","-5650.51923422542","-4230.0801274322","-5821.78712086928","-5297.56712213859","-706.636490612686","-7369.3794067588","-1684.60343399829","-5224.79608206982","1986.2745880336","-3965.92107098025","-4577.06731540832","-7128.64145231461","-373.654066652271","-7052.72033414135","1245.88269369794","-561.240024833338","-5694.9375804473","-4831.61438619313","-7794.86060880592","-5286.98355797836","-6818.69547192933","-4596.98432389343","-5243.59027477502","-6265.17479098637","89.8788366918528","-6626.52222776488","-1578.34025273097","-5400.4680167755","942.036287784073","-1515.78496269511","-5273.15765566707","-6123.51816292246","1691.17861073599","-2769.96823024009","-4642.6412031811","-7250.34230388253","492.829729209276","-8427.10544220946","1982.36018147679","-9195.98085382919","-1601.55125399913","-9852.36799283384","417.791336481762","-11133.8362180921","-157.966224368446","-9751.74395752927","-739.043316322412"
