"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","1797.88897606411","-7103.81158735851","3291.11501018168","-5523.37776872291","-1553.89878230858","-5490.09611953336","-478.999689150765","-7672.91430096939","-472.448710680273","-6353.41853564584","1702.51664788117","-7699.54122748516","424.265134575205","-5996.24717430187","-3700.91852507758","-6992.71598450491","-2472.76488849522","-6897.77029189189","1558.28463216839","-5411.15222396294","328.409056484045","-7238.8546478266","1326.64097360897","-6288.59658477644","-3077.61081006578","-7330.16929621492","-1982.14755293133","-6901.54115184059","881.662871369565","-8082.36464353818","-2291.24973855818","-7819.97456201357","2229.86807151655","-5349.40358975498","-3497.62967281071","-5759.70454329153","-2484.20056901056","-5254.45768940288","473.904233253406","-6639.25651269184","2702.88745594687","-6251.30170305861","-3562.15769691935","-6365.37431324566","-435.454009437318","-5539.36611571584","-971.662492839909","-7007.41923445186","771.468663095897","-5535.94656729996","2277.27715321279","-7271.84445807346","-2038.0572080395","-6291.56899430464","-2889.83252510007","-6203.02392079314","1959.94189100903","-8227.69122421696","-875.442655287943","-5556.83744999646","671.850820843522","-9032.16598887241","2930.00361677613","-8061.15211821254","2616.10520018355","-6701.11172990638","-1702.38873113494","-7659.88011556824","-1377.70425309799","-6690.44808784809","1985.18434168345","-6073.65106860251"
"2","1797.7689527045","-7104.72962043962","3291.37178723419","-5519.99149692839","-1553.47910738322","-5486.80672601127","-478.020062988624","-7672.88381311557","-472.686547865338","-6353.6388291512","1702.9863840588","-7700.61564092271","424.113962689653","-5996.23617839017","-3701.42047125296","-6993.74200684041","-2473.20414088401","-6896.80279611904","1557.82895138332","-5408.51396517198","328.787054532919","-7239.81998777062","1326.63623247417","-6288.74840804021","-3077.94639030974","-7331.59493749716","-1982.18649838047","-6901.99837021347","881.234759766213","-8082.38489534706","-2292.65390065777","-7820.28300352847","2229.82893562612","-5347.14249781386","-3498.23233986927","-5756.25540729769","-2484.54482347739","-5249.87651374813","473.429365865165","-6640.47175031159","2702.66233375128","-6250.96278049875","-3561.97221460147","-6364.87846054776","-435.184649421268","-5537.8955635337","-971.151141464469","-7006.89504466036","771.192562561481","-5534.93055397868","2277.3146357501","-7273.05263886388","-2038.32979843252","-6290.61527135692","-2889.57875179541","-6199.62523021743","1961.47997873597","-8228.90841573221","-875.697745164965","-5554.38573110239","669.900953181202","-9032.08902203009","2929.95152226852","-8061.72819737757","2615.92253128734","-6701.9496326122","-1702.37977751026","-7661.0629371875","-1377.57337045918","-6688.02107969552","1985.16857733388","-6072.93385059588"
"3","1797.65448196957","-7105.67938120654","3291.63803424198","-5516.63606529965","-1553.06357705067","-5483.54785469203","-477.041921787841","-7672.88721165967","-472.925559082706","-6353.88999851882","1703.4607568471","-7701.72176238816","423.964000080786","-5996.25533067655","-3701.93324194561","-6994.79972782091","-2473.64995449624","-6895.86879254896","1557.37802090308","-5405.90769784568","329.16605729841","-7240.81469678544","1326.63519605482","-6288.93133539299","-3078.29127600353","-7333.05379075859","-1982.23147123885","-6902.48651530748","880.808837681806","-8082.43929537812","-2294.06505420498","-7820.62373974836","2229.79621644422","-5344.91075705841","-3498.84494723642","-5752.83823432663","-2484.89616177575","-5245.32678429001","472.955505585656","-6641.71668526039","2702.44497068425","-6250.65494004385","-3561.7976189646","-6364.41416014749","-434.917173965281","-5536.45524865067","-970.642610173566","-7006.40299533841","770.91900621021","-5533.94581253301","2277.35936694887","-7274.29131035651","-2038.60813179936","-6289.6930439301","-2889.33365191449","-6196.26014431107","1963.02366592095","-8230.15768195855","-875.955601789942","-5551.96472164482","667.953330077533","-9032.047962625","2929.90763234649","-8062.33724082822","2615.747349703","-6702.81772183163","-1702.37628734326","-7662.2779112305","-1377.44662235925","-6685.62647055273","1985.15833296979","-6072.24786956325"
"4","1797.54550462442","-7106.66000237135","3291.91365091945","-5513.31061113781","-1552.65217813061","-5480.31863667446","-476.06536506543","-7672.92361908663","-473.165725636225","-6354.17108499866","1703.9396792255","-7702.85885672111","423.815204925268","-5996.30370728012","-3702.45670828365","-6995.88831547055","-2474.10224282197","-6894.96738742721","1556.93183633857","-5403.33241891519","329.546023113785","-7241.83814495701","1326.63783331967","-6289.14439848284","-3078.64528631637","-7334.54490507261","-1982.28238928157","-6903.00476286606","880.385149434471","-8082.52703323794","-2295.48303459998","-7820.9959716553","2229.76989724949","-5342.70748823025","-3499.46734737119","-5749.45209370847","-2485.25451135844","-5240.8076148799","472.48268296184","-6642.99050670018","2702.23534230147","-6250.3772462338","-3561.63381521518","-6363.98045182532","-434.651578934481","-5535.04423969725","-970.136914267277","-7005.94220747052","770.647956840205","-5532.99129968705","2277.41123328719","-7275.55969010074","-2038.89215886069","-6288.80136631087","-2889.09716272274","-6192.92770345999","1964.57268912299","-8231.43836679784","-876.216150263328","-5549.57346926268","666.008065710239","-9032.04199075428","2929.871901153","-8062.97848172116","2615.57959963106","-6703.71516617427","-1702.37818220251","-7663.52417742439","-1377.32400831693","-6683.26346172376","1985.15356311941","-6071.5921525807"
"5","1797.44196117766","-7107.67061572716","3292.19853655976","-5510.01427091814","-1552.24489727676","-5477.11820225363","-475.090492251182","-7672.99215684855","-473.407028805263","-6354.48112896764","1704.42306399672","-7704.02618776854","423.667535346099","-5996.38038351175","-3702.99074092065","-6997.00693688855","-2474.56091908524","-6894.09768597851","1556.49039309183","-5400.78712452877","329.926910277452","-7242.8897014829","1326.6441130613","-6289.38662812195","-3079.00824001712","-7336.06732853002","-1982.33916999915","-6903.55228774844","879.963739214873","-8082.64729752054","-2296.90767695492","-7821.39889928436","2229.74996100076","-5340.53181129229","-3500.09939231346","-5746.09605388665","-2485.6197993752","-5236.31811854876","472.010928503919","-6644.29240295302","2702.03342379214","-6250.12876275589","-3561.48070806773","-6363.57637449849","-434.38786009785","-5533.66160449547","-969.634068945263","-7005.51180109727","770.379377123602","-5532.06597139485","2277.47012093739","-7276.85699475276","-2039.1818300729","-6287.93929190618","-2888.86922108875","-6189.62694712429","1966.12678472614","-8232.74981312367","-876.479315587819","-5547.21102073713","664.065274064796","-9032.07028534054","2929.84428246521","-8063.65115217396","2615.41922493229","-6704.64113342862","-1702.38538340887","-7664.80087453147","-1377.20552765774","-6680.93125351457","1985.15422207083","-6070.96572591636"
"6","1797.34379189431","-7108.71035226769","3292.49259005999","-5506.74618042711","-1551.84172098472","-5473.94568105908","-474.11740267302","-7673.09194549319","-473.649449848164","-6354.81917006558","1704.91082380223","-7705.22301848503","423.520949424956","-5996.48443400424","-3703.53521006158","-6998.15475835858","-2475.0258962671","-6893.25879253409","1556.05368636111","-5398.27081020475","330.308677057672","-7243.96873475847","1326.65400390414","-6289.65705442427","-3079.37995550957","-7337.62010837004","-1982.40173061647","-6904.1282640469","879.544651083485","-8082.79927592972","-2298.33881611546","-7821.83172184635","2229.73639034048","-5338.38284556628","-3500.74093371611","-5742.76918256726","-2485.99195269106","-5231.85740764875","471.540272687158","-6645.62156160997","2701.83918998898","-6249.90855258067","-3561.33820176534","-6363.20096636245","-434.126013129592","-5532.30641019659","-969.134089306174","-7005.11089544664","770.113229615238","-5531.16878299318","2277.53591578969","-7278.18244018374","-2039.47709563792","-6287.10587338482","-2888.64976350011","-6186.35691399191","1967.6856889873","-8234.09136287539","-876.745022682375","-5544.87642214212","662.125068921613","-9032.13202426321","2929.82472970923","-8064.3544833785","2615.26616914416","-6705.59479067697","-1702.39781204891","-7666.10714047003","-1377.09117951399","-6678.62904535771","1985.16026388345","-6070.36761517115"
"7","1797.25093680858","-7109.77834230596","3292.79570994606","-5503.50547489864","-1551.44263559973","-5470.8002021923","-473.146195542321","-7673.22210479165","-473.892970005671","-6355.18424733065","1705.40287113775","-7706.44861103236","423.3754052145","-5996.61493284177","-3704.0899854886","-6999.33094545745","-2475.49708712869","-6892.44981065822","1555.62171114595","-5395.78247098379","330.69128169726","-7245.07461246239","1326.66747431246","-6289.95470694237","-3079.76025086771","-7339.2022911106","-1982.46998811138","-6904.73186520318","879.127928967828","-8082.98215540071","-2299.77628668219","-7822.2936378499","2229.72916759801","-5336.25970986963","-3501.39182287698","-5739.47054686759","-2486.37089790446","-5227.42459399399","471.070745953684","-6646.97716963929","2701.65261537817","-6249.71567809708","-3561.20620009992","-6362.85326503145","-433.866033610461","-5530.97772341803","-968.636990346997","-7004.73860906466","769.849476761301","-5530.29868935331","2277.6085034757","-7279.53524158741","-2039.77790551297","-6286.30016281824","-2888.43872607909","-6183.11664213144","1969.24913808383","-8235.46235715152","-877.013196396162","-5542.56871899422","660.187563843187","-9032.22638448898","2929.81319597481","-8065.08770571373","2615.12037549716","-6706.57530440964","-1702.41538898829","-7667.44211243454","-1376.98096282465","-6676.35603593621","1985.1716423993","-6069.7968454187"
"8","1797.16333573653","-7110.87371559234","3293.10779439758","-5500.29128914953","-1551.0476273243","-5467.68089436333","-472.176969939238","-7673.38175386525","-474.137570504315","-6355.57539933382","1705.89911836848","-7707.70222687821","423.230860750656","-5996.77095368856","-3704.65493658668","-7000.53466316294","-2475.97440423404","-6891.66984327398","1555.194462252","-5393.32110158028","331.074682418255","-7246.20670164149","1326.68449259831","-6290.27861480349","-3080.14894387074","-7340.81292267783","-1982.5438592334","-6905.36226412423","878.713616659673","-8083.19512222092","-2301.2199230319","-7822.78384522272","2229.72827479287","-5334.16152265143","-3502.05191077058","-5736.1992134639","-2486.75656136536","-5223.01878900063","470.602378714259","-6648.35841349389","2701.47367410906","-6249.54920124672","-3561.0846064323","-6362.53230767842","-433.60791702906","-5529.67461037953","-968.142786962346","-7004.39405994518","769.588080907917","-5529.45464503219","2277.68776939181","-7280.91461358687","-2040.08420942023","-6285.5212118205","-2888.23604459817","-6179.90516914419","1970.81686816109","-8236.86213630238","-877.283761522446","-5540.28695640161","658.252872161247","-9032.3525422014","2929.80963402965","-8065.85004885758","2614.98178693104","-6707.58184063832","-1702.43803488496","-7668.8049270149","-1376.87487633515","-6674.11142330668","1985.18831125421","-6069.25244134456"
"9","1797.08092828868","-7111.99560143168","3293.42874127238","-5497.10275771419","-1550.6566822258","-5464.58688602669","-471.209824797994","-7673.57001131159","-474.383232559781","-6355.99166431271","1706.39947774439","-7708.98312689428","423.087274064855","-5996.95156991674","-3705.22993236888","-7001.76507596093","-2476.45775997278","-6890.91799278817","1554.77193429593","-5390.88569653285","331.458837426576","-7247.36436879483","1326.70502692937","-6290.62780684483","-3080.54585203784","-7342.4510485347","-1982.62326052215","-6906.01863329714","878.301757812205","-8083.43736214988","-2302.66955933861","-7823.30154143205","2229.73369363781","-5332.08740212779","-3502.72104807965","-5732.95424873835","-2487.14886919306","-5218.63910382596","470.135201350022","-6649.76447921804","2701.3023400038","-6249.40818365738","-3560.97332371198","-6362.23713117398","-433.351658783099","-5528.39613703851","-967.651493943687","-7004.07636565894","769.329004309696","-5528.63560442261","2277.77359872238","-7282.31977034058","-2040.39595685631","-6284.76807168747","-2888.04165449532","-6176.72153231523","1972.38861537979","-8238.29004002189","-877.556642812406","-5538.0301792123","656.321106963891","-9032.50967292972","2929.81399633377","-8066.64074189808","2614.85034611084","-6708.61356500882","-1702.46567020233","-7670.19472031509","-1376.77291859716","-6671.89440502162","1985.21022388895","-6068.73342738451"
"10","1797.00365388239","-7113.14312879978","3293.75844813089","-5493.93901497841","-1550.26978624397","-5461.51730551638","-470.244858892181","-7673.78599532971","-474.629937380239","-6356.43208030458","1706.90386141526","-7710.29057145351","422.944603196246","-5997.1558547335","-3705.81484150153","-7003.02134795175","-2476.94706658268","-6890.19336121539","1554.35412171014","-5388.47525035403","331.843704916658","-7248.54697995714","1326.72904533668","-6291.00131174804","-3080.95079266285","-7344.11571380882","-1982.70810832571","-6906.70014490334","877.892395937153","-8083.70806053832","-2304.12502959462","-7823.84592360423","2229.74540554181","-5330.0364664163","-3503.39908522643","-5729.73471892509","-2487.54774729397","-5214.28464950681","469.669244214214","-6651.19455255341","2701.13858656677","-6249.29168677577","-3560.87225449684","-6361.96677222466","-433.097254180618","-5527.14136922469","-967.163125978508","-7003.78464348168","769.07220913822","-5527.84052190265","2277.86587646276","-7283.74992564771","-2040.71309710173","-6284.03979353521","-2887.85549088921","-6173.56476876373","1973.96411596312","-8239.7454074387","-877.831764988878","-5535.79743216155","654.392381082704","-9032.69695167671","2929.82623505357","-8067.45901344374","2614.72599544275","-6709.66964291296","-1702.49821522228","-7671.61062807089","-1376.67508796825","-6669.70417825091","1985.2373335601","-6068.23882786209"
