"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","573.131933675676","-7647.226286644","1428.65566185503","-6583.97287986374","745.615056030209","-9146.56390683513","352.185105673847","9492.94130032473","215.558936624548","-8686.58229768858","1524.44181129862","9505.21194051879","1144.41893016322","8433.10266958493","359.093245461728","7744.5103045995","-1474.5290633722","7849.5463071654","-656.986062154337","-7435.47698271378","-491.532556904799","-6992.54682331087","-76.5570459810986","6684.34989275174","-276.409257251008","-8226.56402184196","-1207.88759212903","-6939.56406780392","-812.381889161935","8770.64574895393","-138.878314258685","8691.76483296687","-1166.8191010873","6933.97172317514","-1327.41627994296","-7865.95040007097","-990.820334739171","-9710.70054565637","-744.85838847299","8251.12080903793","266.798672049011","-6681.71497293876","1398.32225229261","-7963.43029474603","-9.6629855204912","-7571.49279076742","804.747558591158","-7148.71990904304","998.292542768689","8976.15488580695","-1308.32338060667","-8532.14143188312","1376.71778442759","6723.49022207324","-856.079121625228","-8047.5366761783","-496.750423070349","6840.74017925956","1313.28432983534","7543.52038036307","879.572394468315","7960.70099725415","650.401613604511","8503.65569023674","-647.42791522291","7855.35617720243","713.872275250414","-8140.54681484421","-1130.3969764548","9451.33786182264","-256.740869347019","9459.75289023173","-271.483737360924","-10278.483863321","1370.63591632226","-9359.88001366271"
"2","573.404308266511","-7647.89397522161","1430.00550749476","-6580.42838304108","744.990411823324","-9146.86745016272","352.064020774181","9492.81404342757","216.016350493596","-8687.39217825976","1523.90805361756","9506.08568517533","1144.57810002757","8432.37247706937","358.661891056526","7743.54541159573","-1474.06163657898","7846.6721506462","-657.443179000143","-7437.11571357371","-491.487077949735","-6991.01392934703","-76.0949091827258","6682.09996816917","-276.037017104463","-8226.72647268601","-1207.45266866658","-6937.54920860578","-812.119928609022","8771.28511600656","-139.717697672926","8690.10035449956","-1167.15452107645","6929.93181243468","-1327.44701173868","-7864.84908216137","-990.818453360762","-9711.56181183488","-745.415851445428","8250.9415851923","266.432765486581","-6679.35718559241","1398.68116177868","-7962.45357714396","-10.3631126275521","-7571.20336192633","805.158033291444","-7148.0626895439","998.069337173761","8977.19331260801","-1308.27936068554","-8532.51889013718","1376.65412527615","6720.55010956076","-856.316837938918","-8049.10801673956","-497.598319297346","6837.7247508559","1312.12586025229","7541.54701784528","879.719125685057","7960.31107004246","650.611806294092","8502.91065118078","-646.186729634312","7856.15903753271","714.040502206191","-8141.63433666608","-1130.1664946787","9450.04457656138","-257.009785168008","9459.37631503415","-271.090391100557","-10272.3387590559","1369.45684530058","-9354.17527045543"
"3","573.677961861679","-7648.59429406031","1431.35762384954","-6576.92073588976","744.368246282869","-9147.20574388142","351.944221020342","9492.72400268159","216.474457261269","-8688.23675249024","1523.37912927193","9506.99635182331","1144.74027647551","8431.67882778754","358.231661407846","7742.61647448374","-1473.59755266526","7843.83376318967","-657.902264955377","-7438.78901194294","-491.442911189058","-6989.51651201329","-75.6329810039538","6679.88395185286","-275.665079757801","-8226.92409711857","-1207.01853952332","-6935.5705699714","-811.860102567574","8771.96074577317","-140.556887475939","8688.47322616433","-1167.49307795276","6925.92889662581","-1327.48175988126","-7863.7829748971","-990.819209586","-9712.46010077258","-745.974643126644","8250.79870545878","266.067384504161","-6677.03580655959","1399.04352454725","-7961.51148420802","-11.0628220553317","-7570.9467264954","805.569709925438","-7147.43726115966","997.849263225942","8978.26889537054","-1308.23894921295","-8532.93017809937","1376.59409419059","6717.64610952583","-856.556648643151","-8050.71436621099","-498.44683786592","6834.7440373226","1310.97212578156","7539.61060491498","879.868588045124","7959.95620074802","650.824041887686","8502.20118303345","-644.94733087643","7856.99747459045","714.210574178693","-8142.75435939377","-1129.93914670946","9448.78989252543","-257.279244200147","9459.03792717893","-270.697818741746","-10266.2358754154","1368.28175356576","-9348.5115538212"
"4","573.952863844731","-7649.32635063034","1432.71202308298","-6573.44881866199","743.74858142922","-9147.57809654549","351.825666860471","9492.6703418803","216.933194481216","-8689.1152330048","1522.85501363325","9507.94313209032","1144.90545633701","8431.02086152085","357.802558518308","7741.72249463777","-1473.13684500671","7841.03032921895","-658.363287239228","-7440.49580710625","-491.400033361182","-6988.05351908779","-75.171309563313","6677.70087623248","-275.293490082428","-8227.1560352571","-1206.58527898444","-6933.6270317405","-811.602393399314","8772.67175798146","-141.3958308183","8686.8826079944","-1167.83475694903","6921.96196218002","-1327.52049919364","-7862.75119395169","-990.822645099761","-9713.39458028317","-746.534753854903","8250.69121423095","265.702541417237","-6674.74969231801","1399.40931215927","-7960.60315972425","-11.7621333171598","-7570.72205070565","805.982602293801","-7146.84281639265","997.632304922686","8979.38076482082","-1308.20213900026","-8533.37459400535","1376.53769367437","6714.77716605385","-856.798556093213","-8052.35481652384","-499.295913926601","6831.79709292563","1309.82306115525","7537.71021017144","880.02072911709","7959.6354784038","651.038242950735","8501.52651998759","-643.709798633834","7857.87039340168","714.382472484389","-8143.90612242834","-1129.71494553074","9447.57306052363","-257.549214489701","9458.73684672993","-270.306026707134","-10260.1747564937","1367.11067572429","-9342.88824781828"
"5","574.228983565762","-7650.08925142755","1434.06871720721","-6570.01151061978","743.131439177667","-9147.98381555998","351.708318706008","9492.65222359083","217.392499725892","-8690.026831308","1522.33568185014","9508.92521642561","1145.07363633858","8430.39771688398","357.374584371494","7740.86247241781","-1472.67954681886","7838.26103205343","-658.826212959021","-7442.23502736631","-491.358421062918","-6986.62389732711","-74.7099429821961","6675.54977280573","-274.922292959625","-8227.42142613036","-1206.15296121797","-6931.71747279424","-811.346783353457","8773.41727122136","-142.23447487489","8685.32765883346","-1168.17954307713","6918.02999444004","-1327.56320437233","-7861.75285393712","-990.828801450991","-9714.36441693625","-747.09617392128","8250.61815474943","265.338248482262","-6672.49769835835","1399.77849605617","-7959.72774637358","-12.4610659718292","-7570.5284997801","806.396724155463","-7146.27854679765","997.418446093084","8980.52805046663","-1308.16892270863","-8533.85143506533","1376.48492597218","6711.94222225663","-857.042562613131","-8054.02845854211","-500.145482676621","6828.88297089439","1308.67860088784","7535.84490110069","880.175496296676","7959.34799104899","651.254331923475","8500.88589509301","-642.474212502214","7858.77669795308","714.556178370615","-8145.08886415256","-1129.4939039463","9446.39333009543","-257.819664050208","9458.47219251649","-269.915021363629","-10254.1549448145","1365.94364622617","-9337.30473507536"
"6","574.5062903452","-7650.88210210265","1435.42771807913","-6566.6076902129","742.516841338852","-9148.42220728618","351.592136938867","9492.66880928661","217.852310595163","-8690.97075789876","1521.82110885576","9509.94179422111","1145.24481310432","8429.80853145591","356.947740932819","7740.03540732245","-1472.2256911597","7835.52505404013","-659.291009112231","-7444.00560019124","-491.318050756299","-6985.22659262724","-74.2489293753483","6673.42967228979","-274.551533280105","-8227.71940780801","-1205.72166027475","-6929.84077122983","-811.093254575064","8774.19640307339","-143.072766855651","8683.80753646957","-1168.52742113102","6914.13197782297","-1327.60984999314","-7860.78706854473","-990.83772004682","-9715.36877618423","-747.658893568823","8250.57856924419","264.974517897184","-6670.27867936108","1400.1510475692","-7958.88438586484","-13.159639620518","-7570.36523806285","806.812089226583","-7145.74364310588","997.20767040146","8981.70988071958","-1308.13929285286","-8534.35999756861","1376.43579307697","6709.14022043306","-857.288670496107","-8055.73438218497","-500.995479371139","6826.00072357498","1307.53867929323","7534.01374421764","880.332836816379","7959.09282586568","651.472231135511","8500.27854037099","-641.240651979412","7859.71529135445","714.731673018484","-8146.30182203845","-1129.27603458231","9445.24994962583","-258.090560868868","9458.24308227321","-269.52480902068","-10248.1759814105","1364.78069936984","-9331.76039689754"
"7","574.784753477555","-7651.70400758978","1436.78903739659","-6563.23623525589","741.904809619157","-9148.89257714634","351.477081918587","9492.71925947939","218.312564724888","-8691.94622238426","1521.31126937523","9510.99205393164","1145.41898315684","8429.2524419101","356.522030150379","7739.24029814094","-1471.77531093216","7832.82157668423","-659.757642588478","-7445.80645236125","-491.278898775398","-6983.86055018361","-73.7883168413547","6671.33960477189","-274.181255943535","-8228.04911752942","-1205.29145008838","-6927.99580453428","-810.841789113357","8775.00827023625","-143.91065401634","8682.3213977682","-1168.87837568988","6910.26689598238","-1327.6604105168","-7859.85295068521","-990.849442146636","-9716.40682248842","-748.222902991688","8250.571499076","264.611361801969","-6668.0914893723","1400.52693792846","-7958.072219067","-13.8578739037124","-7570.23142914727","807.228711179475","-7145.23729534825","996.999961350927","8982.92538301656","-1308.11324180526","-8534.89957698737","1376.39029673706","6706.3701022288","-857.536882004908","-8057.47167654852","-501.845839334436","6823.14940258256","1306.40323050169","7532.21580520723","880.492697755051","7958.86906931477","651.691862820346","8499.70368692801","-640.00919645643","7860.68507600037","714.908937545762","-8147.54423275409","-1129.06134988967","9444.14216645952","-258.361872912925","9458.04863277881","-269.135395928568","-10242.2374059027","1363.62186930694","-9326.2546133715"
"8","575.064342235148","-7652.55407223426","1438.15268669455","-6559.89602310414","741.295365621044","-9149.39422972763","351.363113989446","9492.80273385017","218.773199795479","-8692.95243359288","1520.80613793286","9512.07518319419","1145.59614291813","8428.72858414382","356.097453955755","7738.47614310428","-1471.32843888656","7830.14978077874","-660.226080171485","-7447.63651011454","-491.240941333133","-6982.5247146503","-73.3281534531253","6669.27859985909","-273.81150585806","-8228.4096918316","-1204.86240447517","-6926.18144975716","-810.592368929988","8775.85198865352","-144.748083669264","8680.86839880445","-1169.23239112111","6906.43373196958","-1327.71486029446","-7858.94961262779","-990.864008856109","-9717.4777194443","-748.788192334254","8250.59598487711","264.248792279119","-6665.93498197869","1400.9061382721","-7957.2903861406","-14.5557884981311","-7570.1262360035","807.646603641513","-7144.75869297786","996.79530228688","8984.17368394037","-1308.0907617993","-8535.46946807958","1376.34843846309","6703.63080879511","-857.787199372185","-8059.23943002654","-502.696497971069","6820.32805895291","1305.27218847667","7530.45014906471","880.655026047448","7958.675807271","651.913149129882","8499.16056506862","-638.779925208409","7861.68495373095","715.087953009695","-8148.81533226958","-1128.84986214622","9443.06922701413","-258.633568136025","9457.88795999407","-268.74678827668","-10236.3387565776","1362.4671900471","-9320.78676346967"
"9","575.34502587182","-7653.43139991951","1439.51867734123","-6556.58593082898","740.688530843337","-9149.92646888515","351.250193487541","9492.91839137944","219.234153540422","-8693.98859968641","1520.30568885933","9513.19036894641","1145.77628871036","8428.23609340659","355.67401426481","7737.74194003547","-1470.88510762295","7827.50884653333","-660.696288541011","-7449.49469929225","-491.20415452807","-6981.21803029832","-72.8684872483818","6667.24568682714","-273.442327939806","-8228.80026667631","-1204.43459713411","-6924.39658368245","-810.344975907272","8776.72667363947","-145.585003194014","8679.44769499424","-1169.58945158327","6902.63146839393","-1327.77317357318","-7858.07616613852","-990.881461121172","-9718.58062990581","-749.354751690211","8250.65106669092","263.886821354195","-6663.8080104815","1401.28861965521","-7956.53802666829","-15.2534031136513","-7570.04882110507","808.065780194008","-7144.30702499164","996.593676400442","8985.45390933948","-1308.0718449333","-8536.0689649912","1376.31021953497","6700.92128094676","-858.039624800745","-8061.03673043053","-503.547390776992","6817.53574329311","1304.14548703149","7528.71584023503","880.819768493721","7958.51212515705","652.136012148878","8498.6484044074","-637.552917385588","7862.7138259917","715.268700409801","-8150.11435596233","-1128.64158345893","9442.03037689248","-258.905614484579","9457.76017919896","-268.358992191778","-10230.4795704653","1361.31669546245","-9315.35622515351"
"10","575.626773626607","-7654.33509419324","1440.88702053416","-6553.30483539182","740.084326681458","-9150.48859784428","351.13828074784","9493.06539047636","219.69536375478","-8695.05392827141","1519.80989629884","9514.33679754413","1145.9594167567","8427.77410442772","355.251712978444","7737.03668649875","-1470.44534959346","7824.89795370224","-661.168234274757","-7451.37994548252","-491.168514351213","-6979.93944117298","-72.409366220147","6665.2398947685","-273.073767112366","-8229.21997757628","-1204.00810164679","-6922.64008299945","-810.099591856368","8777.631440004","-146.421360048174","8678.05844122471","-1169.94954102907","6898.8590875822","-1327.83532450122","-7857.23172261766","-990.901839721956","-9719.71471610892","-749.922571101626","8250.73578411084","263.525460996333","-6661.70942806963","1401.67435305878","-7955.81427978456","-15.9507374902348","-7569.99834655471","808.486254371064","-7143.88148005126","996.395066731847","8986.76518444687","-1308.05648317399","-8536.69736135744","1376.27564100876","6698.24045931892","-858.294160463763","-8062.86266510882","-504.398453350635","6814.77150593131","1303.02305984604","7527.01194275127","880.986871768879","7958.37710807684","652.36037390937","8498.16643398024","-636.328252004232","7863.77059399249","715.451160690626","-8151.44053872148","-1128.43652576602","9441.02486099399","-259.177979904095","9457.66440512871","-267.972013736268","-10224.659383415","1360.17041929224","-9309.96237547587"
