"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","-62.0370412736316","-6766.8586956789","-723.38837419185","-9746.26171688491","1315.35841849898","-7552.91707750285","-455.542196636747","-8049.04624191795","379.50977988381","-9203.06745225134","-1192.41821948748","-6765.7077975047","-6652.51782379039","511.998571610388","1311.11645767578","-6783.21902920988","-1409.02744891671","-8895.14096804827","-746.964842861229","-7064.71632968706","998.371870796227","-9435.57267030186","669.858120742163","-8006.93916843346","-1325.13476492013","-9462.2417809085","-1380.34215923082","-8161.08511207121","13.0968458399221","-7878.30822284458","-6829.35366498409","34.5840400041166","610.407570860036","-6773.59923373208","-10187.5042829822","601.944432887107","-99.6747450819536","-8818.90483914099","-719.05639315335","-8663.31213324217","-7720.08406031999","-73.1244588801204","-7066.79238183852","1337.87533380413","-8087.93685143889","1082.42564164289","-9603.93140376045","-565.761152449709","-8840.51829817449","-628.590970317013","-6504.24598456794","-1087.51337328166","1218.89299277843","-10146.585350376","-79.3743438697055","-11037.3980189699","-8055.49710593475","-600.240461397379","-8300.13266124617","-1445.35351791085","-9521.54877662112","1073.11588637168","-10295.7628421029","1442.07038619744","-9071.28664315339","355.559160478333","-9304.28308250408","-1231.96196295505","-10299.4156156485","-511.943258870836","-9876.61953006722","-1401.44281499133","-11039.0348708509","-92.1156562692878","-11981.8891024585","-942.873516165493"
"2","-62.5803602934104","-6764.29693944747","-723.072517587198","-9744.37307251631","1315.13104014523","-7551.13309186646","-454.909735922105","-8049.12630902332","379.585507702794","-9203.78881491784","-1192.66600756007","-6762.62986123974","-6649.39699965838","512.215499058474","1311.51049120295","-6779.61540199725","-1408.34643976094","-8894.15614437229","-746.225286929669","-7063.48235645442","998.433348592303","-9436.32205146711","669.861157734983","-8006.88287482631","-1325.55576016037","-9463.88913051396","-1379.33047101361","-8158.51894514279","13.5850220565989","-7876.01076894274","-6827.37400318367","33.8094135330491","610.744360223581","-6769.44705280864","-10176.2070422717","601.344354432234","-98.8046212173491","-8817.60699770373","-718.814562554749","-8662.50106203424","-7719.44384999174","-73.124390943495","-7058.44866540505","1336.98160736146","-8078.74348890984","1081.86535604599","-9595.91343956516","-565.027649687963","-8827.36848445525","-628.534131245605","-6502.13626162442","-1087.82204512577","1219.08061810523","-10135.7765631349","-79.8973459875284","-11027.7222391342","-8051.65119277134","-601.114679446431","-8292.01620974735","-1444.14998613872","-9511.64653273641","1072.96074854253","-10288.2488882618","1441.90421482185","-9061.40098286674","356.485093445969","-9296.41358275321","-1231.86607101668","-10294.0403908912","-511.557579135341","-9868.83967406879","-1401.01072815256","-11028.7104061309","-91.4064271362804","-11973.2601833428","-942.593415569172"
"3","-63.1238503254183","-6761.77066580186","-722.759122006131","-9742.5228276281","1314.90808860188","-7549.38578755","-454.278848992331","-8049.24220281179","379.661830641426","-9204.54693459451","-1192.91754768741","-6759.58682805844","-6646.3145390951","512.433728823524","1311.90859261121","-6776.04812104113","-1407.66964776453","-8893.20812451201","-745.488887155489","-7062.28319232866","998.49695337339","-9437.10919934888","669.865922274436","-8006.86099233547","-1325.9805359516","-9465.57284872346","-1378.32299112871","-8155.99127127989","14.0726410353766","-7873.75097811667","-6825.42983157055","33.034766457338","611.082579382606","-6765.3308817378","-10164.9574802221","600.746630449338","-97.9363969529404","-8816.3473354646","-718.575698696645","-8661.72634295198","-7718.83849507277","-73.124648564585","-7050.14449485111","1336.09234695046","-8069.59267836508","1081.30840428074","-9587.93851702554","-564.297138766096","-8814.26555808164","-628.479222207881","-6500.06097516004","-1088.13386763787","1219.27189349947","-10125.0154866144","-80.420701519937","-11018.0939899503","-8047.84212208822","-601.990036092679","-8283.94038248403","-1442.95128285001","-9501.78873483551","1072.80856036139","-10280.7805549198","1441.7425818303","-9051.55972086203","357.410896929261","-9288.58583969904","-1231.77355353404","-10288.7083879515","-511.173729723001","-9861.10410500329","-1400.58451924512","-11018.435552082","-90.6980516609443","-11964.6805921955","-942.315646955379"
"4","-63.6674678148785","-6759.27883918559","-722.448167566755","-9740.7102438655","1314.68953585824","-7547.67415365254","-453.64954836032","-8049.39294869825","379.738760404194","-9205.34096359293","-1193.1727468362","-6756.57774842563","-6643.26925052392","512.653157951506","1312.31069944817","-6772.51607052757","-1406.99716269344","-8892.29601351718","-744.755662915148","-7061.11792796978","998.56272988677","-9437.93320630209","669.872420703999","-8006.87256693967","-1326.40901322402","-9467.29206419737","-1377.31971109906","-8153.5010719643","14.5596965578215","-7871.52788751967","-6823.52010914676","32.2601421222414","611.422217841747","-6761.24982627609","-10153.7550913076","600.151273260531","-97.0700374689217","-8815.12490129209","-718.339692835646","-8660.98718285178","-7718.26706395827","-73.1252110213019","-7041.87909176885","1335.20755353354","-8060.4837711737","1080.75471175765","-9580.0061276823","-563.569560770141","-8801.2089055111","-628.42623457622","-6498.01906806856","-1088.44881695784","1219.4667540553","-10114.3015245686","-80.9443550952454","-11008.512684371","-8044.06915424352","-602.866479985253","-8275.90451298268","-1441.75743593439","-9491.97475979074","1072.65933052323","-10273.3571161508","1441.58546410604","-9041.76231377445","358.336590532705","-9280.79920456504","-1231.68434914402","-10283.41887252","-510.791738778601","-9853.41211794419","-1400.16408650758","-11008.2096625908","-89.9905517683287","-11956.1497022045","-942.040217945278"
"5","-64.2111692365037","-6756.82042308712","-722.139634279453","-9738.93458161666","1314.47535369877","-7545.99717818607","-453.021846461807","-8049.57757100977","379.816308676877","-9206.17005301702","-1193.43151176748","-6753.60167163292","-6640.25994131901","512.873683430829","1312.71674909942","-6769.01813350488","-1406.32907411231","-8891.41891527473","-744.025633400018","-7059.98565291808","998.630722728885","-9438.79316340006","669.880659259586","-8006.91664353298","-1326.84111275169","-9469.04590442193","-1376.32062234878","-8151.04732753828","15.0461824943862","-7869.34053314496","-6821.6437937403","31.4855838973828","611.76326506574","-6757.20299115748","-10142.5993683168","599.558295095545","-96.2055078333826","-8813.93874283214","-718.106436106105","-8660.28278745699","-7717.72862402334","-73.1260576085226","-7033.65167652933","1334.32722784913","-8051.41611718098","1080.20420381916","-9572.11576155125","-562.844856680387","-8788.19791161035","-628.375159625599","-6496.00948229742","-1088.76686903784","1219.66513472693","-10103.6340789744","-81.4682513262242","-10998.977733593","-8040.33154835912","-603.743959764496","-8267.90793330552","-1440.56847307468","-9482.20398287858","1072.51306756924","-10265.9778444207","1441.43283834523","-9032.00821667296","359.262193889575","-9273.05302712451","-1231.59839636393","-10278.1711086868","-510.411634409486","-9845.76300641449","-1399.74932795244","-10998.0320897312","-89.2839493708427","-11947.6668846057","-941.767136057448"
"6","-64.7549111001067","-6754.39438020279","-721.833502050666","-9737.1951001385","1314.26551370769","-7544.35384823214","-452.395755654972","-8049.79509312979","379.89448712622","-9207.03335288849","-1193.69374905317","-6750.657645951","-6637.28541799368","513.095202212597","1313.12667879989","-6765.55319206333","-1405.66547136644","-8890.575932651","-743.298817614066","-7058.88545572789","998.700976340244","-9439.68816057208","669.890644071618","-8006.99226607332","-1327.27675517128","-9470.83349583858","-1375.32571621028","-8148.62901737231","15.5320928063566","-7867.18794997852","-6819.79984216291","30.7111351745431","612.105710481182","-6753.1894802368","-10131.4898024613","598.967708090785","-95.3427730047382","-8812.78790666097","-717.875819542547","-8659.61236147524","-7717.22224176512","-73.1271676419345","-7025.46146841147","1333.45137041535","-8042.38906481708","1079.65680575944","-9564.26690721703","-562.122967382862","-8775.23195977862","-628.325988537911","-6494.03115901022","-1089.08799964106","1219.86697033956","-10093.0125501539","-81.9923348190864","-10989.488547183","-8036.62856243752","-604.622424071253","-8259.94997417692","-1439.38442174517","-9472.47577790422","1072.36977988694","-10258.6420107187","1441.28468105866","-9022.29688315671","360.187726656914","-9265.34665582516","-1231.51563360729","-10272.9643590716","-510.03344468525","-9838.15606252032","-1399.34014138243","-10987.9021838965","-88.5782663668997","-11939.2315088125","-941.496408712041"
"7","-65.298649956198","-6751.99967259889","-721.529750686622","-9735.4910576817","1314.05998727349","-7542.74315009753","-451.77128822001","-8050.04453764132","379.973307399595","-9207.93001227138","-1193.95936509261","-6747.74471878103","-6634.34448638777","513.317611230824","1313.54042564506","-6762.12012751402","-1405.00644356361","-8889.76616763313","-742.575234371486","-7057.81642410052","998.773535000322","-9440.61728674012","669.902381167073","-8007.09847773014","-1327.71586100059","-9472.65396397241","-1374.3349839313","-8146.24512003196","16.0174215477943","-7865.06917215103","-6817.98721036712","29.9368393654473","612.449543478278","-6749.20839663225","-10120.4258834837","598.379524288333","-94.4817978341305","-8811.67143843701","-717.647734102018","-8658.97510871483","-7716.74698294426","-73.1285204618653","-7017.30768573017","1332.57998153364","-8033.40196120469","1079.11244284421","-9556.45905192591","-561.403833680754","-8762.31043206977","-628.278712406251","-6492.08303874831","-1089.41218434061","1220.0721956002","-10082.4363368952","-82.5165501824652","-10980.0445332016","-8032.9594534777","-605.501821556123","-8252.0299651089","-1438.20530920983","-9462.789517325","1072.22947571012","-10251.348884689","1441.14096857335","-9012.62776545047","361.113208510524","-9257.67943791288","-1231.43599919964","-10267.7978849538","-509.657197637374","-9830.59057708351","-1398.9364244065","-10977.8192939292","-87.8735246395403","-11930.8429425431","-941.228043234903"
"8","-65.8423424015697","-6749.63526187278","-721.228359897027","-9733.82171161478","1313.85874559336","-7541.16406946917","-451.14845635868","-8050.32492646935","380.052781124657","-9208.85917939574","-1194.22826612896","-6744.86193680527","-6631.43595185405","513.540807422629","1313.95792660219","-6758.71782056681","-1404.35207955594","-8888.98872146954","-741.854902294282","-7056.77764501637","998.848442822417","-9441.57962995461","669.915876471504","-8007.23432103126","-1328.15835065711","-9474.50643355977","-1373.3484166818","-8143.89461344375","16.5021628674709","-7862.98323308893","-6816.20485360229","29.1627398995463","612.794753412537","-6745.25884286703","-10109.4070997645","597.793755634913","-93.6225470678013","-8810.58838305191","-717.422070686376","-8658.3702322003","-7716.30191272531","-73.1300954370958","-7009.18954596341","1331.71306129228","-8024.45415226586","1078.57104033034","-9548.69168167762","-560.68739630576","-8749.43270931341","-628.233322239162","-6490.16406159149","-1089.73939851819","1220.28074510839","-10071.9048365722","-83.040842036379","-10970.645098327","-8029.32347759024","-606.382100888671","-8244.14723452568","-1437.0311625205","-9453.14457237295","1072.09216311883","-10244.0977347602","1441.00167703413","-9003.00031449906","362.038659139954","-9250.05071955448","-1231.35943139415","-10262.6709464011","-509.28292125881","-9823.06583977317","-1398.53807445589","-10967.7827672508","-87.1697460550327","-11922.5005519472","-940.962046861638"
"9","-66.385945084865","-6747.30010931314","-720.929309298704","-9732.18631854723","1313.66175967749","-7539.61559156795","-450.527272193815","-8050.6352810224","380.132919908978","-9209.8200017805","-1194.50035826563","-6742.00834613684","-6628.55861944362","513.764687748374","1314.37911852134","-6755.34515150738","-1403.70246792159","-8888.24269480957","-741.137839809793","-7055.76820486617","998.925743748498","-9442.57427752941","669.931135811027","-8007.39883800895","-1328.60414447636","-9476.39002867497","-1372.36600556073","-8141.57647506008","16.9863110107952","-7860.92916566447","-6814.45172656994","28.3888802217924","613.14132960645","-6741.33992101001","-10098.4329384276","597.210413980795","-92.7649853494381","-8809.53778478069","-717.198720164491","-8657.79693428716","-7715.88609581643","-73.1318719686569","-7001.1062658785","1330.8506095698","-8015.54498282774","1078.03252348542","-9540.96428131625","-559.97359592936","-8736.5981712349","-628.189808964842","-6488.27316731786","-1090.06961736286","1220.49255336689","-10061.4174452637","-83.5651550211835","-10961.2896479771","-8025.71989011156","-607.263210766611","-8236.30110988734","-1435.86200851492","-9443.54031317629","1071.95785003928","-10236.8878282743","1440.86678240504","-8993.41398006082","362.964098243487","-9242.45984595954","-1231.28586838722","-10257.5828023973","-508.910643503517","-9815.58113923618","-1398.14498879991","-10957.7919499899","-86.4669524614506","-11914.2037017325","-940.69842674163"
"10","-66.9294147121328","-6744.99317605921","-720.63257841919","-9730.58413445173","1313.46900035337","-7538.09670130175","-449.907747768813","-8050.97462233312","380.213735339682","-9210.81162635539","-1194.77554748251","-6739.1829924686","-6625.71129409033","513.989149211775","1314.80393814638","-6752.00100037339","-1403.05769694651","-8887.52718784216","-740.424065148185","-7054.78718958148","999.005481544018","-9443.60031617581","669.948164914276","-8007.59107034501","-1329.0531627303","-9478.30387285619","-1371.38774160278","-8139.28968202311","17.469860321732","-7858.90600234492","-6812.72678357813","27.615303790409","613.489261351123","-6737.4507328155","-10087.502885445","596.629511078674","-91.9090772224925","-8808.51868743085","-716.977573394375","-8657.25441677571","-7715.49859660811","-73.1338294936087","-6993.05706165726","1329.99262603839","-8006.67379672751","1077.49681760725","-9533.27633462014","-559.262373174022","-8723.8061965743","-628.148163435301","-6486.40929556276","-1090.40281586967","1220.70755479231","-10050.9735578712","-84.0894338065084","-10951.9775864307","-8022.1479457173","-608.145099924927","-8228.4909178125","-1434.69787381474","-9433.97610887991","1071.82654424363","-10229.7184316146","1440.73626047073","-8983.86821080009","363.889545523133","-9234.90616150119","-1231.21524833398","-10252.5327109693","-508.540392285934","-9808.13576322678","-1397.75706456168","-10947.8461871086","-85.7651656872306","-11905.9517552885","-940.437189942006"
