"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","5434.85836913214","9343.72028109414","5058.72054869937","10637.7976981784","3751.50506898706","9092.40276215565","5754.05498959431","8592.08673801786","5133.83335859313","9963.97975190421","4415.23283504676","8881.75966510956","3746.86430918015","9898.00547279218","4483.73934703683","11625.1677330455","6017.70172026468","9586.27961797065","4993.07852626777","8390.50161180453","3849.39454092707","10486.4722817327","818.692558100162","11273.4782036033","-800.323046783392","11642.7233287985","852.322912470513","9959.77457356285","3091.90635283926","9537.34756936199","1160.06718779028","10788.9868361045","4423.72520792136","10090.2981865011","4231.34453435983","11137.3689997706","-716.160990595766","10095.6659508943","5133.54931690347","11221.5291789334","95.5495772864549","9831.87801558249","-1219.93621058584","9871.84687391531","-26.445149689644","10787.7941738382","-112.878351960929","12417.9096731819","1390.56113208328","11635.4145483748","-1624.74293002297","11481.935007379","1118.74169862482","13282.2168704338","-227.089962777666","13008.8537365458","415.85276653511","13830.2132728583","-1043.4284554543","13800.0686706096","-1174.73685469074","14498.1737926839","6599.38007940384","12331.556070002","7170.02523050828","11631.5646226205","-6.45068605530908","14517.7329687789","1442.64454690228","13451.0153480689","6404.72984164753","10711.95828423"
"2","5435.02714861976","9343.85273939313","5060.07380854271","10637.635105218","3747.89828482881","9087.32365936484","5753.87119532465","8590.55631035224","5132.96058115605","9962.97755728768","4414.85698680787","8880.2556940129","3746.26395866956","9896.23808274064","4484.12575347943","11625.9226957633","6018.13077786974","9585.82508895954","4991.89237006175","8388.18645810276","3848.22075540585","10485.0155328801","819.033337044484","11271.7490969408","-799.103882114288","11636.4587144961","853.25681791195","9958.60150944492","3090.13141233807","9536.38580512572","1162.18638052416","10785.5193908631","4422.99178168086","10089.2532605873","4230.86694689742","11137.1383146971","-715.679277724372","10089.6853053313","5134.48029660731","11222.7691304321","95.3345872631958","9828.36773467005","-1220.48418731608","9870.82965063621","-26.5407714911991","10786.0613258194","-111.278562811481","12410.3352940568","1390.65586900508","11634.8383836718","-1623.82402524837","11476.7833144659","1118.69481341982","13273.7089426874","-226.88967363638","12999.3404303079","415.146560098531","13819.9616185676","-1044.10789654388","13787.7146862338","-1174.71396208384","14487.1078530225","6594.97669468828","12323.2026892795","7164.60316904164","11622.9288662408","-7.4515705138362","14506.7487948806","1442.37107647065","13444.8962805886","6405.452918832","10712.849155588"
"3","5435.21620050581","9344.02304806277","5061.44622986654","10637.5128702451","3744.31022244246","9082.28613848307","5753.71037932374","8589.0648244826","5132.10843807566","9962.01571377347","4414.49973570736","8878.78971625539","3745.6804841329","9894.51226030445","4484.52918972606","11626.7198636728","6018.58187082089","9585.40871584369","4990.72839589402","8385.90972005077","3847.06359155243","10483.6000318492","819.377089681313","11270.0660174044","-797.88763661728","11630.2437990273","854.192943658243","9957.47154054702","3088.37257852361","9535.46236896314","1164.30825354875","10782.0950288371","4422.27653856983","10088.2479082812","4230.4064828634","11136.9499667869","-715.199637534269","10083.7518745477","5135.43034271683","11224.0499802057","95.120053188619","9824.9031950284","-1221.03591760838","9869.85560912129","-26.6363617501989","10784.3736638707","-109.680557464427","12402.811662384","1390.75484081553","11634.3068250852","-1622.91044743471","11471.6806951227","1118.65197219214","13265.2541228176","-226.690122075242","12989.8816923976","414.442243951832","13809.7670393253","-1044.78949560211","13775.4206240189","-1174.69480532635","14476.1015292059","6590.59983954972","12314.8993607197","7159.20925094675","11614.3406720834","-8.45209933609385","14495.8246644411","1442.10245163807","13438.8279331568","6406.19856944646","10713.7792844314"
"4","5435.42509166956","9344.23028191529","5062.83731294191","10637.4301422032","3740.74051241302","9077.28936426084","5753.5719850021","8587.61131068956","5131.27649062023","9961.09332820317","4414.16061778402","8877.36086058049","3745.11342575163","9892.82705538779","4484.94930833543","11627.5583242195","6019.0544946585","9585.02961780502","4989.58607453148","8383.67043459621","3845.92274979669","10482.2249164033","819.723722718244","11268.4279499825","-796.674365156893","11624.0777746906","855.131252534649","9956.38358834673","3086.62947253845","9534.57634494597","1166.43262121842","10778.7130086723","4421.57903784511","10087.2813071885","4229.96274227885","11136.8031067355","-714.7220733218","10077.8646581007","5136.39901447531","11225.3708779742","94.9059703986357","9821.48328894663","-1221.59130442056","9868.92363784935","-26.7319390645647","10782.7301128998","-108.084282569015","12395.338225042","1390.85799757388","11633.8189179549","-1622.00217764633","11466.6263387105","1118.61305946215","13256.8518714215","-226.491345934058","12980.4769270239","413.739837329485","13799.6288786609","-1045.47321094664","13763.1857547114","-1174.67933055272","14465.1541378994","6586.24916770666","12306.6454456186","7153.84325336368","11605.7994757179","-9.45226920684866","14484.9598443191","1441.83862169778","13432.8097261676","6406.96633739432","10714.7478572431"
"5","5435.65338830083","9344.47351455041","5064.24655738938","10637.3860686235","3737.18878467051","9072.33250004376","5753.45545498446","8586.19479806469","5130.46429936307","9960.20950605302","4413.83916844442","8875.96825443682","3744.56232323392","9891.18151647186","4485.38576131237","11628.4371633421","6019.54814415099","9584.68691273733","4988.46487601523","8381.46763747273","3844.79792995293","10480.8893228862","820.073142756349","11266.8338780607","-795.464122448071","11617.9598320214","856.0717072756","9955.33657290664","3084.9017149212","9533.72681596619","1168.55929785261","10775.3725875341","4420.8988381928","10086.3526335589","4229.5353245782","11136.6968838142","-714.246588285894","10072.0226539746","5137.38587046225","11226.7309719985","94.6923342229242","9818.1069072863","-1222.15025053351","9868.03262392666","-26.8275219921775","10781.1295964161","-106.489684685965","12387.9144270282","1390.96528913882","11633.3737060844","-1621.09919672001","11461.6194328702","1118.57795959235","13248.5016470764","-226.293382994099","12971.1255363442","413.039359361499","13789.5464779417","-1046.15900080956","13751.0093468384","-1174.66748374883","14454.264993528","6581.92433188435","12298.4403033577","7148.5049523629","11597.304710934","-10.4520767419384","14474.1535990745","1441.57953574177","13426.841078053","6407.75576578984","10715.7540590798"
"6","5435.90065597036","9344.75181850092","5065.67346225172","10637.3797957617","3733.65466855457","9067.41470791533","5753.36023120321","8584.81431466202","5129.67142425627","9959.36335157773","4413.53492253704","8874.61102411881","3744.02671589239","9889.57469077195","4485.83820016016","11629.3554656192","6020.06231337844","9584.37971738846","4987.36426974645","8379.30036335621","3843.68883126692","10479.5923863677","820.425256304568","11265.282783586","-794.256963052663","11611.8891599325","857.014270526025","9954.32941304321","3083.1889256683","9532.9128638874","1170.68809776445","10772.073021235","4420.23549780366","10085.4610624219","4229.12382867628","11136.6304460071","-713.773185534126","10066.2248587534","5138.39046865864","11228.1294092126","94.4791399885782","9814.77293965997","-1222.71265856783","9867.18145326017","-26.923129045475","10779.5710367084","-104.896710306125","12380.5397115583","1391.07666517638","11632.9702318974","-1620.2014852735","11456.6591636502","1118.54655680954","13240.2029064529","-226.096270970666","12961.8269205817","412.3408290697","13779.5191765128","-1046.84682334567","13738.8906668648","-1174.6592107613","14443.4334084263","6577.62498388945","12290.283291536","7143.19412300681","11588.8558098612","-11.4515184808091","14463.405191122","1441.3251426707","13420.9214053975","6408.56639703129","10716.7970737001"
"7","5436.16645969957","9345.06426537726","5067.11752606617","10637.4104687353","3730.13779287864","9062.53514883877","5753.28575499143","8583.46888764861","5128.89742470406","9958.55396795326","4413.24741442591","8873.28829490634","3743.50614272131","9888.00562439353","4486.30627593244","11630.3123144151","6020.59649581563","9584.10714750149","4986.28372457171","8377.16764602008","3842.59515246262","10478.3332407883","820.779969794023","11263.7736472314","-793.052941375856","11605.8649458522","857.95890484263","9953.36102649479","3081.49072429555","9532.13356969541","1172.81883528931","10768.813564361","4419.58857444803","10084.6057677222","4228.72785303495","11136.6029401485","-713.30186808873","10060.4702677919","5139.41236651175","11229.5653353541","94.266383023741","9811.48027460867","-1223.27843100025","9866.36901072968","-27.0187786860628","10778.0533550223","-103.305305869085","12373.2135201643","1391.19207516774","11632.6075365946","-1619.30902371401","11451.7447156334","1118.51873522708","13231.9551044274","-225.900047505657","12952.5804781423","411.644265363991","13769.5463118353","-1047.53663664071","13726.8289793496","-1174.65445730666","14432.6586929876","6573.35077468411","12282.1737661016","7137.91053941058","11580.4522030871","-12.4505908790856","14452.7138808839","1441.07539120365","13415.0501230526","6409.39777287356","10717.8760836922"
"8","5436.45036402997","9345.40992601133","5068.57824693624","10637.4772316591","3726.63778599378","9057.6929827979","5753.23146717529","8582.15754345422","5128.14185963565","9957.78045741872","4412.97617806382","8871.99919120359","3743.00014247349","9886.47336248737","4486.78963928476","11631.306792025","6021.15018441468","9583.8683179551","4985.22270886788","8375.06851848968","3841.51659178848","10477.1110191032","821.13718959227","11262.3054485577","-791.852111662554","11599.8863758629","858.90557269513","9952.43033008845","3079.80672989917","9531.38801364784","1174.95132481329","10765.5934703972","4418.95762555041","10083.7859224537","4228.34699572932","11136.6135120583","-712.83263889257","10054.7578753863","5140.45112099956","11231.0378950938","94.0540586612216","9808.22779977826","-1223.84747018008","9865.59418035903","-27.1144893193383","10776.5754717361","-101.715417781754","12365.9352927914","1391.31146841697","11632.2846603086","-1618.42179224657","11446.875272063","1118.49437886686","13223.757694193","-225.704750160132","12943.38560573","410.94968703859","13759.627219624","-1048.22839871948","13714.823547101","-1174.65316898052","14421.9401558109","6569.10135445944","12274.1110814816","7132.65397480236","11572.0933197758","-13.4492903011796","14442.0789269411","1440.83022988785","13409.2266442491","6410.24943450026","10718.9902705999"
"9","5436.75193309205","9345.78787059928","5070.05512260314","10637.5792277795","3723.15427585197","9052.88736893699","5753.19680816594","8580.87930791992","5127.40428757752","9957.0419214173","4412.72074706518","8870.74283667701","3742.50825373667","9884.97694940372","4487.2879405257","11632.3379798188","6021.72287168704","9583.66234290304","4984.18069062636","8373.0020131957","3840.45284706339","10475.9248534252","821.496822017479","11260.8771661753","-790.654527993706","11593.9526348373","859.854236467455","9951.53623990592","3078.13656121658","9530.67527542281","1177.08538080156","10762.4119918525","4418.34220826349","10083.000698793","4227.98085451355","11136.6613066772","-712.365500815045","10049.086674943","5141.50628869472","11232.5462321649","93.8421622420926","9805.01440209473","-1224.41967834552","9864.85584548618","-27.2102792891301","10775.136306535","-100.126992436885","12358.7044678938","1391.43479405871","11632.000642258","-1617.53977088229","11442.0500149672","1118.47337168139","13215.6101273698","-225.510416406869","12934.2416984609","410.257112768237","13749.7612339834","-1048.92206755398","13702.8736313295","-1174.65529126653","14411.277103848","6564.87637270841","12266.0945907117","7127.42420158294","11563.778587784","-14.4476130129377","14431.4995861836","1440.58960710829","13403.4503807096","6411.1209225953","10720.1388150482"
"10","5437.07073067367","9346.19716884348","5071.54765051663","10637.7155996087","3719.68689006908","9048.11746569967","5753.18121805084","8579.63320644584","5126.68426672535","9956.3374607363","4412.48065477827","8869.51835439228","3742.03001500948","9883.51542884545","4487.8008296676","11633.4049583837","6022.31404978505","9583.48833591267","4983.15713753688","8370.96716212666","3839.40361572226","10474.7738751662","821.858773352542","11259.4877779045","-789.460244282583","11588.0629065741","860.8048584589","9950.67767144837","3076.47983668671","9529.99443426662","1179.22081782667","10759.2683803829","4417.74187954179","10082.2492682319","4227.6290268863","11136.7454682003","-711.900456657949","10043.4556591466","5142.57742582806","11234.0894894903","93.6306891192671","9801.83896793829","-1224.99495763988","9864.15288893227","-27.3061668723548","10773.7347785857","-98.5399762315557","12351.5204825295","1391.5620010658","11631.7545209004","-1616.66293944649","11437.2681252828","1118.45559757557","13207.5118541135","-225.317083622929","12925.1481499764","409.566561104401","13739.9476875422","-1049.61760107144","13690.9784918003","-1174.66076954543","14400.6688425477","6560.67547829814","12258.1236455638","7122.22099138474","11555.5074337771","-15.445555174333","14420.9751139591","1440.35347109718","13397.7207427586","6412.01177741395","10721.3208968681"
