"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","609.199903689537","-9600.25935331081","-1032.68276572877","-10966.868826146","-2881.01805494075","-9600.35674544516","-5327.34800413028","-9150.09087889442","-196.642037436302","-8621.07096854718","-5597.87040381837","-7279.87788319529","-5697.32718575521","-10386.1721059657","-4811.55063815733","-9600.89649474216","-3811.75635330439","-8265.14990346997","-106.157351994867","-10921.8178966863","-1018.08120930688","-9290.49341582314","-1693.3590839113","-8514.28257608869","-3516.17352941187","-9583.99925864265","-6134.36036456544","-9857.01003256068","-4310.35527269787","-10887.0638201322","-3095.61129257625","-8724.78490382274","547.419523411868","-11768.8538419843","-3755.00090795676","-10097.2526506367","-6087.88295191741","-8077.36399307742","911.750369023421","-8613.96968336777","-3444.86468559786","-10637.9526872455","-4884.90130226892","-10411.9576326089","-4679.53533166202","-7898.1647987927","-458.754921418828","-10419.6824700689","1227.9051605606","-10858.0550912059","-4318.91778913573","-9968.1978848884","-7065.04328095775","-13056.4107721883","1828.71374215493","-10893.5332366149","-4007.19556979926","-11723.7949536262","1101.22237834539","-12376.5042769286","1769.7592586939","-8892.30101052695","-6340.84785100247","-9646.63261211361","1860.91694717916","-12087.4500786088","-8012.60839560612","-12227.267382684","-1366.82402638628","-9936.41812702933","1031.72958922531","-10312.5532009408","292.266276650342","-10285.0572319222","738.705834097105","-13730.9618095277"
"2","608.994490245812","-9601.12652028294","-1033.55356759689","-10967.7299482393","-2880.73594583823","-9601.61616848305","-5326.81577385409","-9149.9614165341","-196.711437410801","-8621.61001480554","-5598.06220492639","-7279.86199724924","-5697.65464437737","-10387.1877619412","-4811.20837169232","-9600.2876487892","-3812.08507143267","-8265.73626402394","-106.128577213039","-10923.3859853616","-1017.80566198807","-9291.32652620967","-1693.72362370743","-8513.77414137741","-3516.83938067904","-9584.542143105","-6134.80370409349","-9857.4943303654","-4311.00777208604","-10888.6551843696","-3095.72017629368","-8725.22153288037","546.681991048782","-11770.4281967581","-3755.86097853404","-10098.5791752971","-6087.16824383623","-8078.87309545415","911.885026795976","-8614.54239588987","-3446.03728328991","-10639.2300924111","-4885.75949863281","-10413.6904393844","-4679.24948918502","-7897.43744915185","-458.418594449828","-10420.9975543854","1228.80995607116","-10860.215562803","-4319.59795838163","-9968.27850082342","-7059.91868493962","-13048.1912883454","1828.75738250654","-10887.5417248322","-4005.75613898033","-11724.1477546237","1102.47817543499","-12373.3483314185","1769.58428739328","-8892.26275335713","-6338.10339493456","-9641.9262031153","1861.36112927549","-12083.0402404111","-8008.51991977513","-12217.6152368872","-1366.85978364345","-9937.89173980087","1031.95302031507","-10314.0658518529","292.358323979975","-10286.6572064116","739.519163703499","-13719.0041432569"
"3","608.791369194673","-9602.03320503232","-1034.42732234707","-10968.6313900472","-2880.46604022833","-9602.91026954156","-5326.30568802112","-9149.87005391535","-196.781419260165","-8622.18806472223","-5598.27667354365","-7279.88017482878","-5698.0039107808","-10388.242797491","-4810.88736803073","-9599.71866171821","-3812.42918333036","-8266.35687279985","-106.100239302624","-10924.9953061062","-1017.53380582445","-9292.19935644121","-1694.09388178267","-8513.30245020282","-3517.51944731605","-9585.12177257061","-6135.27012810639","-9858.01683280278","-4311.67655289505","-10890.2856018519","-3095.84161546987","-8725.6929102522","545.946952937381","-11772.0455548472","-3756.73537945797","-10099.9419203358","-6086.4776096236","-8080.41489816153","912.022484220824","-8615.15404799694","-3447.22439049311","-10640.5460835878","-4886.63639012408","-10415.4619737797","-4678.98295697101","-7896.74463622402","-458.083175989816","-10422.3519715025","1229.7179196206","-10862.416484079","-4320.29558063607","-9968.39756718039","-7054.82392555506","-13040.0249106529","1828.80640142904","-10881.597254827","-4004.33340079488","-11724.5435487542","1103.73571824528","-12370.2397058935","1769.41427603737","-8892.26356886843","-6335.38494560619","-9637.25966801221","1861.81030544248","-12078.6788874099","-8004.46371724636","-12208.013583614","-1366.89993034039","-9939.4054452266","1032.17957643123","-10315.6186904043","292.451954747539","-10288.2980567001","740.335002387185","-13707.1056929755"
"4","608.590506336734","-9602.97844456837","-1035.30389941689","-10969.5723414243","-2880.20801958978","-9604.23828992835","-5325.81723681947","-9149.81579057218","-196.851946884179","-8622.80396528293","-5598.51320527305","-7279.93145770607","-5698.37447911135","-10389.3363078638","-4810.58709077011","-9599.18857107278","-3812.78828261627","-8267.01083757798","-106.072318014798","-10926.6450393378","-1017.26559314332","-9293.11084983845","-1694.46975720101","-8512.86654436176","-3518.21336594798","-9585.73735047746","-6135.75908582897","-9858.5766765735","-4312.36128112109","-10891.9542677033","-3095.97532351558","-8726.19821885006","545.214360397094","-11773.7051145813","-3757.62379284644","-10101.3401497234","-6085.81056409056","-8081.9885493492","912.162709079068","-8615.80354243208","-3448.4255701072","-10641.899832496","-4887.53155294271","-10417.2713883851","-4678.73527583931","-7896.08547051596","-457.748709142884","-10423.7448952395","1230.62896843032","-10864.6569889987","-4321.01023112105","-9968.55424828386","-7049.75858368147","-13031.9109140154","1828.86072514405","-10875.6991389384","-4002.9271290329","-11724.9816047998","1104.99498665253","-12367.1777494136","1769.24923490236","-8892.30245500772","-6332.69210446148","-9632.63243637607","1862.26443046106","-12074.3653074882","-8000.43930444169","-12198.4618208011","-1366.94439684563","-9940.95830237801","1032.40923336731","-10317.2108069029","292.547091847974","-10289.978800139","741.153272655061","-13695.2656963652"
"5","608.391867387466","-9603.96127463555","-1036.18316813823","-10970.5519906867","-2879.96156503412","-9605.5994698251","-5325.34990966316","-9149.79762484347","-196.922984152513","-8623.45656237509","-5598.77119498039","-7280.01488662881","-5698.76584276081","-10390.4673869718","-4810.30700272917","-9598.69641308224","-3813.16196243879","-8267.69726499029","-106.04479310911","-10928.3343640021","-1017.00097613526","-9294.05994852085","-1694.85114874162","-8512.46546450849","-3518.92077273954","-9586.3880789911","-6136.27002562651","-9859.17299713895","-4313.06162217473","-10893.6603756325","-3096.12101345026","-8726.73664045052","544.484164636774","-11775.4060728118","-3758.52590032395","-10102.7731261716","-6085.16662119549","-8083.59319614808","912.305669040976","-8616.48978078092","-3449.64038454333","-10643.2905095212","-4888.44456265267","-10419.1178344628","-4678.50598597846","-7895.45906149657","-457.415237019407","-10425.1754980804","1231.54301958112","-10866.9362101607","-4321.7414844501","-9968.74770716424","-7044.72223909437","-13023.8485713033","1828.92027959202","-10869.8466878557","-4001.53709686664","-11725.4611899209","1106.25596048569","-12364.1618092791","1769.08917403063","-8892.37840855656","-6330.02447199793","-9628.0439363206","1862.72345888817","-12070.0987867842","-7996.44619652597","-12188.9593444823","-1366.99311331501","-9942.54936895658","1032.64196676464","-10318.8412903722","292.643658102711","-10291.698452728","741.973896914679","-13683.4833889233"
"6","608.195417984628","-9604.98072985421","-1037.06499775728","-10971.569524736","-2879.72635735695","-9606.99304840408","-5324.90319527281","-9149.81455402965","-196.994494911078","-8624.14470095593","-5599.05003688887","-7280.12950145858","-5699.17749444599","-10391.6351275274","-4810.0465660278","-9598.24122281613","-3813.54981553739","-8268.41526065297","-106.01764435824","-10930.0624576896","-1016.73990686472","-9295.04559355937","-1695.23795491571","-8512.09825030341","-3519.64130344613","-9587.07315912637","-6136.80239509037","-9859.80492885521","-4313.77724092901","-10895.4031180539","-3096.27839794626","-8727.30735582041","543.75631676801","-11777.1476250288","-3759.44138306629","-10104.2401112437","-6084.54529412074","-8085.22798479051","912.451331673024","-8617.21166363003","-3450.86839578057","-10644.7172838407","-4889.37499424435","-10421.0004620716","-4678.29462701773","-7894.86451773334","-457.082802733929","-10426.6429512947","1232.45999002854","-10869.2532789215","-4322.4889146884","-9968.97710569222","-7039.71447055245","-13015.8371534989","1828.98499045064","-10864.0392107302","-4000.16307688291","-11725.9815697659","1107.51861953099","-12361.1912311418","1768.93410323075","-8892.49042527875","-6327.3816478316","-9623.49359459709","1863.18734506739","-12065.8786098097","-7992.48390749859","-12179.5055489202","-1367.04600970572","-9944.17770142534","1032.87775211681","-10320.5092286829","292.741576270866","-10293.4560292542","742.796797482241","-13671.7580041225"
"7","608.001123695634","-9606.03584386051","-1037.94925745437","-10972.6241291836","-2879.50207708876","-9608.41826394386","-5324.47658175577","-9149.86557454846","-197.066442988358","-8624.86722521955","-5599.34912467301","-7280.27434130827","-5699.60892628737","-10392.8386211781","-4809.80524216676","-9597.82203433767","-3813.95143430366","-8269.16392929824","-105.990851552721","-10931.8284967515","-1016.48233728046","-9296.06672512834","-1695.63007398336","-8511.76394056095","-3520.37459346466","-9587.79179086822","-6137.35564112308","-9860.47160510611","-4314.50780176719","-10897.1816862069","-3096.44718937292","-8727.90954484168","543.030767818383","-11778.9289654768","-3760.36992184493","-10105.7403654641","-6083.94609534872","-8086.89206072962","912.599664444878","-8617.9680907244","-3452.10916542201","-10646.1793235493","-4890.32242219666","-10422.9184201916","-4678.10073809805","-7894.30094702799","-456.751449403013","-10428.1464250575","1233.37979661809","-10871.6073255197","-4323.25209541235","-9969.24160471232","-7034.73485588196","-13007.8759298422","1829.05478315314","-10858.2760152864","-3998.80484111511","-11726.5420085788","1108.78294353665","-12358.2653591149","1768.78403207742","-8892.63750006689","-6324.76323076167","-9618.98083668898","1863.65604313955","-12061.7040595684","-7988.55195028432","-12170.0998267359","-1367.10301579043","-9945.84235513942","1033.1165647741","-10322.2137086827","292.840769060409","-10295.2505434301","743.621896590545","-13660.0887735694"
"8","607.80895002488","-9607.12564944544","-1038.83581636379","-10973.7149884729","-2879.28840454555","-9609.87435394424","-5324.06955668581","-9149.94968208973","-197.138792201742","-8625.62297876302","-5599.66785155208","-7280.44844467878","-5700.05962988724","-10394.0769586418","-4809.58249210675","-9597.43788085639","-3814.36641084208","-8269.94237490525","-105.964394505661","-10933.6316564142","-1016.22821922595","-9297.12228265629","-1696.02740397023","-8511.46157339645","-3521.12027788391","-9588.54317329172","-6137.929210023","-9861.17215843534","-4315.2529686301","-10898.9952702746","-3096.62709984025","-8728.54238663536","542.307468744665","-11780.7492872706","-3761.3111970711","-10107.2731484267","-6083.36853673747","-8088.58456875797","912.750634736316","-8618.75796112395","-3453.36225475058","-10647.6757957844","-4891.28642053865","-10424.870856847","-4677.92385794256","-7893.76745655132","-456.421220143068","-10429.6850885679","1234.30235610036","-10873.9974791982","-4324.03059976887","-9969.54036417557","-7029.78297206041","-12999.9641679743","1829.12958290644","-10852.5564079321","-3997.46216107484","-11727.1417693075","1110.04891221745","-12355.3835358823","1768.63896991135","-8892.81862708816","-6322.1688188344","-9614.5050869057","1864.12950705316","-12057.5744176725","-7984.64983682343","-12160.7415690381","-1367.16406117119","-9947.54238447576","1033.3583799478","-10323.9538163264","292.941159139288","-10297.0810080307","744.44911639688","-13648.4749271619"
"9","607.618862421002","-9608.24917869278","-1039.72454359349","-10974.8412860013","-2879.08501987911","-9611.36055524032","-5323.68160718219","-9150.0658717693","-197.211506363838","-8626.41080475151","-5600.00561038298","-7280.65084959485","-5700.52909640734","-10395.3492298397","-4809.37777634711","-9597.08779487966","-3814.79433703034","-8270.74970083024","-105.938253057423","-10935.4711108933","-1015.97750444963","-9298.21120497589","-1696.42984268408","-8511.19018637227","-3521.8779915347","-9589.32650468121","-6138.52254756835","-9861.90572067777","-4316.01240506322","-10900.843059502","-3096.81784124231","-8729.20505968466","541.586370445964","-11782.6077825085","-3762.26488883952","-10108.8377189029","-6082.81212959561","-8090.30465312536","912.904209844085","-8619.58017335911","-3454.62722478454","-10649.2058668502","-4892.26656291071","-10426.8569192288","-4677.76352492667","-7893.26315297712","-456.092158068142","-10431.2581101679","1235.22758514618","-10876.4228683261","-4324.82400053419","-9969.87254327129","-7024.85839529969","-12992.1011340805","1829.20931470921","-10846.8796938672","-3996.13480778318","-11727.7801137097","1111.31650525927","-12352.5451028064","1768.498925839","-8893.03279992895","-6319.59800940658","-9610.06576847554","1864.60769057479","-12053.4889644583","-7980.77707816114","-12151.4301655511","-1367.22907529328","-9949.27684296184","1033.60317271448","-10325.7286368042","293.042669146536","-10298.9464350294","745.278378990864","-13636.9156932455"
"10","607.430826284092","-9609.40546311629","-1040.6153082448","-10976.0022042416","-2878.89160312701","-9612.87610411585","-5323.31221998834","-9150.21313828202","-197.284549288771","-8627.22954608242","-5600.36179375254","-7280.88059373997","-5701.01681664593","-10396.6545240294","-4809.19055500394","-9596.77080836341","-3815.23480457935","-8271.58500993592","-105.9124070803","-10937.3460335068","-1015.73014461519","-9299.33243047289","-1696.83728773131","-8510.94881664293","-3522.64736903958","-9590.1409826486","-6139.13509910082","-9862.67142308971","-4316.78577426325","-10902.7242423126","-3097.01912530036","-8729.89674195737","540.867423776805","-11784.5036423862","-3763.23067697177","-10110.4333349487","-6082.27638475685","-8092.05145765585","913.060356988701","-8620.43362558539","-3455.90363633258","-10650.7687023405","-4893.26242262533","-10428.8757538162","-4677.61927714768","-7892.78714261529","-455.764306287686","-10432.8646574589","1236.1554003616","-10878.8826205196","-4325.63187017236","-9970.23730055791","-7019.96070112839","-12984.2860930321","1829.29390336985","-10841.2451771914","-3994.82255180161","-11728.4563024586","1112.5857023236","-12349.7494000352","1768.36390873228","-8893.27901173865","-6317.05039920837","-9605.66230363769","1865.0905472993","-12049.4469791011","-7976.93318453634","-12142.1650047409","-1367.29798745904","-9951.04478340353","1033.8509180202","-10327.537254669","293.145221703334","-10300.8458357332","746.109606402234","-13625.4102987677"
