"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-2474.66069201275","-7923.42207096957","-3073.41113522292","-5532.33389772326","-5971.78283118685","-145.781816313438","-6781.78236960932","-1140.19355816028","-6595.43861148964","485.829149809079","-3021.50469339687","-8562.79035025582","-2938.32353830383","-4439.42597068712","-5484.17651116177","1878.52689393172","-2995.66762803034","-6299.98324967016","-658.867945610991","-5779.9671815963","-1362.65358606472","-7059.39493693041","-1186.10698073858","-5906.08305293273","-2557.64184542981","-7252.42557415416","-8008.30079740084","-499.807472859053","-2112.14973951589","-5891.07063713164","-4290.5943787721","-6954.35091811707","-4142.41280213604","-6239.72392814236","-5451.96804107876","-1784.09343541882","-7856.28561548161","-1940.78328957094","-7641.07361844615","-1057.19246626421","-3993.66287014622","-3827.01633029766","-4135.95610959707","-5100.82742755627","-8263.70607367899","627.421488222904","-3300.07906784885","-6904.08718495939","-5334.56408978487","736.164985322612","-7102.44283809792","-1930.33199513863","-5703.45281143298","-826.358649483125","-1954.10189736838","-8546.46676553628","-7239.09165794138","219.684427178485","-5900.03953080001","1301.9957997257","-3565.07421009988","-7582.81672113231","-1887.35300904992","-5103.7884576009","-8126.43229665298","1475.42136267679","-7337.63348305877","-428.846952711538","-6888.08133248868","1774.41710931813","-7028.94290123756","1173.18754806625"
"2","-2473.71653818735","-7921.74929641274","-3070.19437702653","-5525.81442797064","-5965.99720150942","-145.54347941265","-6776.83432264645","-1139.11474498247","-6589.71598193428","485.392868406737","-3021.4856502488","-8563.98017956543","-2935.01161416111","-4432.26808215035","-5477.52884464744","1879.66634800335","-2993.83496888804","-6296.36131484351","-655.161102080843","-5772.66112693513","-1360.71044852179","-7057.09620184604","-1184.15844664696","-5904.39768524683","-2555.86934749409","-7249.85214189975","-8006.62168018009","-498.185381567681","-2111.707284541","-5887.70917492145","-4290.79264188894","-6953.60216224636","-4141.84785910536","-6236.55898159415","-5445.43159205395","-1785.2417849906","-7854.53484956142","-1940.750073124","-7636.75513306397","-1056.25498258432","-3988.56972932486","-3819.30910779166","-4131.75422592777","-5094.92490726005","-8260.11719450964","627.860375775854","-3298.4036460961","-6903.04497540152","-5328.32632392832","736.102998060595","-7095.14334831243","-1929.89063842844","-5696.09199323867","-826.032322779604","-1952.77327633262","-8544.55715805883","-7235.44207466584","220.728778875439","-5894.92925250673","1302.51494301982","-3564.11247977851","-7582.28378274979","-1883.60536663259","-5097.96854505447","-8124.24053098748","1476.91921767172","-7334.23936182458","-428.50455814751","-6883.94776718941","1774.61672631225","-7029.43615502182","1174.22115498542"
"3","-2472.78544769655","-7920.10997928337","-3066.99422618505","-5519.32537148936","-5960.24386207283","-145.305453579641","-6771.92054146139","-1138.04005025729","-6584.02832685786","484.958196534751","-3021.47939785265","-8565.20204941583","-2931.71883085042","-4425.13958671604","-5470.91189715051","1880.81015413069","-2992.01739096301","-6292.7689470217","-651.465436117322","-5765.39181823432","-1358.77835117281","-7054.83133239991","-1182.2242373252","-5902.74321248931","-2554.11179085057","-7247.31242281443","-8004.9770322466","-496.565889520561","-2111.27949417015","-5884.37942840706","-4291.00722830492","-6952.88266268112","-4141.30102341588","-6233.42305083834","-5438.92447627506","-1786.39519394265","-7852.82034499643","-1940.72299265537","-7632.47186399945","-1055.32071398165","-3983.50142613133","-3811.63143678894","-4127.5774963771","-5089.05252507945","-8256.56429701499","628.302204665413","-3296.74456127799","-6902.03396751823","-5322.118609042","736.043824483647","-7087.88104840065","-1929.45599950041","-5688.76161653405","-825.708193128991","-1951.45710218991","-8542.68486904329","-7231.82767800294","221.772914362374","-5889.8510380618","1303.03761906903","-3563.16585855127","-7581.7820773697","-1879.87286856936","-5092.1793526599","-8122.08312530302","1478.42101015156","-7330.87897025207","-428.163935908233","-6879.84974019334","1774.82158874002","-7029.96096793594","1175.2579675107"
"4","-2471.86702692367","-7918.50337602119","-3063.81036826252","-5512.86611729318","-5954.52205954068","-145.067741409445","-6767.04029652295","-1136.96947066279","-6578.37483723838","484.525176068922","-3021.48561750382","-8566.45527990774","-2928.44470106124","-4418.03981402901","-5464.32491762218","1881.95824524545","-2990.2144579537","-6289.20537574201","-647.780547300501","-5758.15832890367","-1356.85697771812","-7052.59949111993","-1180.30378175311","-5901.11874772983","-2552.36876534571","-7244.80563633027","-8003.36604810358","-494.949001959333","-2110.86580522531","-5881.08052651956","-4291.2377569943","-6952.19171094257","-4140.77189356052","-6230.31546530688","-5432.4460191844","-1787.55356974697","-7851.14117010054","-1940.70198415422","-7628.22313740598","-1054.38968264812","-3978.4574160583","-3803.98257080988","-4123.42529616438","-5083.20953285666","-8253.04664874187","628.746872086267","-3295.10139846865","-6901.05328132869","-5315.9402387377","735.987443553642","-7080.65524835704","-1929.02800614364","-5681.46106904158","-825.386322863501","-1950.15301989966","-8540.84905470841","-7228.24756102226","222.816787960001","-5884.80401120603","1303.56375294905","-3562.23398721038","-7581.31090527682","-1876.15515008362","-5086.42014291656","-8119.95937627901","1479.92666574942","-7327.55153860119","-427.8250648393","-6875.78636699532","1775.03164222605","-7030.51646164605","1176.29795645757"
"5","-2470.96088183193","-7916.92874189707","-3060.64248833176","-5506.43605335042","-5948.83103944715","-144.830345509148","-6762.19285709758","-1135.90300267642","-6572.7547028321","484.093848812814","-3021.50399009446","-8567.73918998401","-2925.18873690747","-4410.96809294662","-5457.76715401778","1883.11055415201","-2988.42573310582","-6285.66982960293","-644.10603496981","-5750.95973134717","-1354.94601168015","-7050.39983948703","-1178.39650858179","-5899.52340321877","-2550.63986033729","-7242.33100077085","-8001.78792114697","-493.334723985715","-2110.46565424955","-5877.81159734843","-4291.48384634794","-6951.52859759041","-4140.26006739932","-6227.2355533682","-5425.99554533421","-1788.71681977859","-7849.49639195414","-1940.68698327746","-7624.00827827586","-1053.46191062704","-3973.43715379338","-3796.36176256089","-4119.29699976024","-5077.39518161169","-8249.56351608956","629.194275061275","-3293.47374220861","-6900.10203578741","-5309.79050576381","735.933834129456","-7073.46525678074","-1928.606585852","-5674.18973765522","-825.066774290793","-1948.86067419984","-8539.04887015689","-7224.70081571934","223.860353998655","-5879.7872947092","1304.09326962219","-3561.31650614112","-7580.86956570635","-1872.45184601938","-5080.69017747702","-8117.86857949114","1481.43610993979","-7324.25629605924","-427.487923712318","-6871.75676192482","1775.24683214922","-7031.1017568736","1177.34109250657"
"6","-2470.06661802648","-7915.38533113432","-3057.49027103198","-5500.03456669567","-5943.17004632445","-144.593268501389","-6757.37749137277","-1134.84064258069","-6567.16711231252","483.664256494071","-3021.53419615993","-8569.05309752921","-2921.9504500058","-4403.92375165448","-5451.23785343021","1884.26701354193","-2986.65077928594","-6282.16153639767","-640.441498289828","-5743.79509711692","-1353.04513645035","-7048.23153806633","-1176.50184621445","-5897.95629052082","-2548.92466475816","-7239.88773347927","-8000.2418437947","-491.723060567851","-2110.07847758812","-5874.57176828444","-4291.74511423506","-6950.8926123358","-4139.7651422236","-6224.18264243999","-5419.57237851239","-1789.88485133314","-7847.8850765501","-1940.67792536564","-7619.82661055798","-1052.53741981328","-3968.44009330713","-3788.76826405754","-4115.19198099109","-5071.60872167078","-8246.11416443608","629.64431045027","-3291.86117657202","-6899.1793489221","-5303.66870212965","735.882974968537","-7066.31038099573","-1928.19166583994","-5666.94700855516","-824.749609686693","-1947.57970965469","-8537.28346951272","-7221.18653317032","224.903566824653","-5874.800010521","1304.62609395493","-3560.41305538495","-7580.45735695235","-1868.76259089925","-5074.98871726806","-8115.81002952845","1482.94926804961","-7320.9924708724","-427.15249122828","-6867.76003829157","1775.46710365009","-7031.71597352055","1178.3873462036"
"7","-2469.18384081597","-7913.87239702936","-3054.35340062598","-5493.6610435408","-5937.53832382955","-144.356513027847","-6752.59346657953","-1133.78238646868","-6561.61125340854","483.236440760717","-3021.57591592495","-8570.39631946852","-2918.72935155375","-4396.9061177813","-5444.73626222265","1885.42755600833","-2984.88915905461","-6278.67972324716","-636.786536315775","-5736.66349706603","-1351.15403533589","-7046.0937466376","-1174.61922288688","-5896.41652064793","-2547.22276717972","-7237.47505094558","-7998.727007615","-490.114016546594","-2109.7037114691","-5871.36016616193","-4292.02117806463","-6950.28304415372","-4139.28671481975","-6221.15605910144","-5413.17584186752","-1791.05757164423","-7846.3062889388","-1940.67474545862","-7615.67745727479","-1051.61623195332","-3963.46568794043","-3781.20132674699","-4111.10961314309","-5065.849402794","-8242.69785826369","630.096874958804","-3290.26328523344","-6898.2843379708","-5297.57411922912","735.834844728392","-7059.18992717026","-1927.78317305823","-5659.73226732187","-824.434891287859","-1946.30977070214","-8535.55200605768","-7217.70380368562","225.946380806671","-5869.84127992106","1305.16215073542","-3559.52327470237","-7580.07357647546","-1865.08701898202","-5069.315022611","-8113.78302010969","1484.46606526938","-7317.75929047655","-426.818746020919","-6863.79530853033","1775.6924016382","-7032.35823079387","1179.43668796016"
"8","-2468.31215527389","-7912.3891920715","-3051.2315610569","-5487.31486938533","-5931.9351148702","-144.120081752725","-6747.84004911421","-1132.7282302495","-6556.08631304178","482.810443177413","-3021.62882934941","-8571.76817186592","-2915.52495240712","-4389.91451851305","-5438.26162616053","1886.59211406022","-2983.14043473923","-6275.22361673213","-633.140748058697","-5729.56400150067","-1349.27239160595","-7043.98562432482","-1172.74806674746","-5894.90320419136","-2545.53375587499","-7235.09216893316","-7997.242603454","-488.507596641755","-2109.34079208366","-5868.17591740009","-4292.31165484638","-6949.6991813946","-4138.82438153249","-6218.1551292047","-5406.80525803319","-1792.23488790076","-7844.75909337239","-1940.67737831121","-7611.56014063836","-1050.69836864528","-3958.51339049138","-3773.66020162974","-4107.04926906538","-5060.11647430215","-8239.31386128352","630.551865146862","-3288.67965153427","-6897.41611951837","-5291.50604796358","735.789421968036","-7052.10320043537","-1927.3810342096","-5652.54489904937","-824.122681284381","-1945.05050170092","-8533.85363236691","-7214.25171696287","226.988750342114","-5864.91022366826","1305.70136469085","-3558.64680363533","-7579.71752100989","-1861.4247643199","-5063.66835334124","-8111.78684419875","1485.98642666411","-7314.55598162722","-426.486666660016","-6859.86168434488","1775.92267079935","-7033.02764732917","1180.48908805354"
"9","-2467.45116629955","-7910.934968062","-3048.12443600465","-5480.99542912594","-5926.35966173013","-143.883977366212","-6743.11650465945","-1131.67816965364","-6550.5914774631","482.38630522168","-3021.69261617388","-8573.16797002162","-2912.33676315708","-4382.94828070639","-5431.81319054272","1887.76062013662","-2981.40416850644","-6271.79244302463","-629.503732550332","-5722.49568033117","-1347.39988853776","-7041.90632972498","-1170.88780593689","-5893.41545145297","-2543.8572188813","-7232.73830260452","-7995.78782156245","-486.903805458282","-2108.9891556659","-5865.01814814356","-4292.61616125153","-6949.14031189528","-4138.37773832779","-6215.17917798581","-5400.45994925159","-1793.41670726401","-7843.24255344821","-1940.68575840866","-7607.47398216557","-1049.7838513389","-3953.58265330141","-3766.14413938047","-4103.01032127284","-5054.40918520283","-8235.96143655927","631.009177437528","-3287.10985854879","-6896.57380963213","-5285.46377886393","735.746685149356","-7045.04950500261","-1926.9851757641","-5645.38428845769","-823.813041812328","-1943.80154697726","-8532.18750044351","-7210.82936223887","228.03062986348","-5860.00596214922","1306.24366050484","-3557.78328156931","-7579.3884866697","-1857.77546081531","-5058.04796892697","-8109.82079411933","1487.51027718424","-7311.38177052875","-426.156231654681","-6855.95827685107","1776.15785560269","-7033.72334131363","1181.54451662698"
"10","-2466.60047867871","-7909.50897623235","-3045.0317089418","-5474.70210716537","-5920.81120619353","-143.648202587945","-6738.42209830428","-1130.63220023828","-6545.12593238828","481.964068280093","-3021.76695596488","-8574.59502856885","-2909.16429420666","-4376.00673100123","-5425.39020033205","1888.93300662067","-2979.67992243414","-6268.38542801869","-625.875088907637","-5715.45760322209","-1345.53620946226","-7039.85502103603","-1169.03786866741","-5891.95237257574","-2542.19274406269","-7230.41266664607","-7994.36185172158","-485.302647492386","-2108.64823857228","-5861.88598440209","-4292.93431367297","-6948.60572308925","-4137.94638085537","-6212.22753017481","-5394.13923749635","-1794.60293688471","-7841.75573225127","-1940.69981998203","-7603.41830279255","-1048.87270133542","-3948.672928341","-3758.65239046826","-4098.99214204802","-5048.72678431575","-8232.63984663014","631.468708125615","-3285.55348914974","-6895.75652399677","-5279.44660221197","735.706612638442","-7038.02814428089","-1926.59552397446","-5638.2498200046","-823.506034946231","-1942.56255087132","-8530.55276185224","-7207.43582844073","229.071973844734","-5855.1276155259","1306.78896283455","-3556.93234779488","-7579.08576905429","-1854.13874227727","-5052.4531285872","-8107.88416166872","1489.0375416764","-7308.2358829626","-425.827419456597","-6852.0841967191","1776.39790030776","-7034.4444306081","1182.6029436897"
