"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","-4733.7197070768","-5862.37945241374","6271.17382135328","-1586.19706446424","8159.31339907948","-1753.58300795629","-3745.90738023943","-4168.42248908248","7994.69849015812","657.264700490765","-1792.84073924656","-4494.22257434865","-3319.69565239945","-6844.76974526444","-2825.10273592264","-4424.30960339294","-3046.7941217791","-5293.47017867411","6591.9226272578","2013.53217018189","5245.42118192328","-1871.36196631222","-2940.37332916531","-3529.33983086917","-2466.48331940325","-6435.06452724033","8052.76293961019","1342.66527637208","4981.92350745418","-253.134325981538","-2962.26612689542","-7260.54778519286","-4302.92130975019","-6363.54847889695","-1653.12023601608","-5765.72991524637","6978.50780468775","-301.577607381305","-4517.76533945797","-5133.52556557491","4858.62691345087","1883.77940122726","6347.14509923307","796.118832064239","7779.36174416802","-439.43114535905","6253.01033038986","1530.06197296831","7164.09353476205","567.664585313875","-3580.66994185313","-3136.61636750505","-2265.54007964189","-7472.36942360869","-2660.82732250314","-5621.3828413411","-926.413615348892","-6384.03722345524","-1812.51124539295","-6865.31814918196","7472.69236186044","2180.16313683123","8770.44886840246","390.939003127548","-913.897506434038","-5338.04750791701","8570.84276028475","-569.889301444283","-3558.36718469854","-5822.51481719934","8856.83773325997","-972.106361597228","7442.61004719731","-1278.92845660225","6624.08495454662","326.991804049562"
"2","-4728.20690840801","-5854.74830670964","6261.78570208218","-1584.47267254789","8150.90158510446","-1753.86561816313","-3741.03366692527","-4159.04774167691","7990.00058173201","658.491298519656","-1785.96528903746","-4484.89195385707","-3316.07174283263","-6838.99201652609","-2821.15162660807","-4415.03079772113","-3042.99113546624","-5285.61130381216","6584.34256251786","2014.6231704654","5236.08006194382","-1870.75092271416","-2936.09229240962","-3516.23061842276","-2462.31282234191","-6429.52935422015","8047.02004825703","1342.50935271425","4970.74820762263","-252.596648067911","-2958.1484734308","-7255.0208505332","-4299.40366803323","-6357.42344999133","-1647.96728555244","-5758.86131067138","6971.05726618249","-301.928103599991","-4513.53985584473","-5125.1057190061","4847.06215470532","1883.39034607906","6337.82998651298","796.830131378796","7774.07673749933","-438.389349663206","6249.2175057021","1530.43000973057","7158.94663033737","568.468369155899","-3575.7192519863","-3126.87589806965","-2261.34416865669","-7466.07990443675","-2657.15190843968","-5613.76722223165","-920.455861707081","-6374.34817961007","-1807.72664629329","-6857.97123665228","7464.70689724851","2183.62607475623","8764.46625401503","393.070806545139","-908.822660819373","-5326.7482820691","8566.11679788374","-569.193328472778","-3554.98682280356","-5814.5625049539","8848.95566106617","-973.461881023127","7435.28579344367","-1278.1810282732","6615.63389615738","326.494937707309"
"3","-4722.71613111415","-5847.14805086335","6252.43256087137","-1582.75371104774","8142.5296081225","-1754.15291398477","-3736.17922213318","-4149.69979945072","7985.33892160032","659.720033509107","-1779.10353602494","-4475.588697464","-3312.46422684875","-6833.24930569176","-2817.21803100216","-4405.77824062178","-3039.20509934831","-5277.78184434983","6576.80103719954","2015.72069408242","5226.76957075238","-1870.14621621527","-2931.82785117433","-3503.15274983245","-2458.15626599657","-6424.02512519291","8041.31425971896","1342.35670850581","4959.60457418437","-252.061681677194","-2954.04580108774","-7249.52894006094","-4295.90592784073","-6351.3308376917","-1642.82799512959","-5752.02210253109","6963.64143576071","-302.280091973799","-4509.33601708783","-5116.71487956102","4835.53051586592","1883.0092618972","6328.55138658902","797.543865626452","7768.82808679808","-437.34934037824","6245.45404991057","1530.80268999223","7153.83391715788","569.274587420008","-3570.78611497825","-3117.15938351203","-2257.16222000978","-7459.8252788128","-2653.49184213852","-5606.18180392139","-914.509267568078","-6364.69378111565","-1802.95457853786","-6850.65818533925","7456.76189431556","2187.09240311471","8758.5240060279","395.201522240085","-903.757496160699","-5315.48050619839","8561.4288616174","-568.50055915069","-3551.62392153461","-5806.64185276965","8841.11381693945","-974.820258206619","7427.99676176953","-1277.43789521391","6607.2182678641","325.996755315431"
"4","-4717.24709068211","-5839.57814102761","6243.11382158277","-1581.04024296256","8134.19676098559","-1754.44481529907","-3731.3437354035","-4140.37827880656","7980.71276965813","660.950866683066","-1772.25523920083","-4466.31229555917","-3308.87276585511","-6827.54084909538","-2813.30169972446","-4396.55150644168","-3035.43571423501","-5269.98120312184","6569.29716735125","2016.82460823641","5217.48915216609","-1869.54783093983","-2927.57976885605","-3490.10572027376","-2454.01346650544","-6418.55126543748","8035.6448689491","1342.20735868853","4948.49207077179","-251.529360380693","-2949.95790417952","-7244.07144929231","-4292.42772474344","-6345.26998027755","-1637.70217108184","-5745.21176770145","6956.25972825294","-302.633471838966","-4505.15346773736","-5108.35255978203","4824.0314534539","1882.63605985845","6319.30867222935","798.259964112618","7763.61501680708","-436.311186807544","6241.71931655564","1531.17992426369","7148.75464503293","570.083259741367","-3565.87029222702","-3107.46651710747","-2252.99395811591","-7453.60488957172","-2649.84681710085","-5598.62604822711","-908.573664960503","-6355.07349633434","-1798.19483388408","-6843.37844934488","7448.85651229318","2190.56211042158","8752.6213873281","397.331257886382","-898.701814801527","-5304.24377476554","8556.77821562773","-567.810942908031","-3548.27819024806","-5798.75230759293","8833.31161261839","-976.181355326144","7420.74237721537","-1276.69904160783","6598.83743982704","325.497358010335"
"5","-4711.79950175622","-5832.03803222664","6233.82890688655","-1579.3323310584","8125.90233515478","-1754.74124177763","-3726.5268957058","-4131.08279532926","7976.12138454366","662.18375916815","-1765.42015710322","-4457.06223778688","-3305.29702078007","-6821.86588194466","-2809.40238274173","-4387.35016873407","-3031.68268034392","-5262.20878203764","6561.83006792777","2017.934779859","5208.23824909639","-1868.9557507325","-2923.34780839952","-3477.08902396033","-2449.88423946913","-6413.1071991035","8030.01116954789","1342.06131813289","4937.41016005628","-250.999617701216","-2945.88457644718","-7238.64777247849","-4288.96869363637","-6339.24021490164","-1632.58961928044","-5738.42978208443","6948.91155732386","-302.9881424158","-4500.99185159467","-5100.01827113382","4812.5644230607","1882.27065071563","6310.10121508021","798.978356039352","7758.43675092172","-435.27495808438","6238.01265800703","1531.56162282648","7143.70806261802","570.89440566055","-3560.97154459332","-3097.79699137479","-2248.83910693758","-7447.41807841346","-2646.21652632092","-5591.09941598359","-902.648885550634","-6345.48679241309","-1793.44720366817","-6836.13148162462","7440.98990919171","2194.0351849295","8746.75765928011","399.460121195249","-893.655418691484","-5293.03768119766","8552.16412267252","-567.124428994704","-3544.94933770681","-5790.89331531912","8825.54845835334","-977.545034446152","7413.52206351236","-1275.96445142709","6590.4907811251","324.996846924676"
"6","-4706.37307819863","-5824.52717845851","6224.57723837018","-1577.630037865","8117.6456208347","-1755.04211290465","-3721.72839150091","-4121.81296386276","7971.56402376644","663.418671992573","-1758.59804787316","-4447.8380131468","-3301.73665214384","-6816.22363845536","-2805.51982940593","-4378.17380034895","-3027.94569735026","-5254.46398219693","6554.39885293845","2019.05107562809","5199.01630365566","-1868.36995916073","-2919.13173234255","-3464.10215424009","-2445.76839998505","-6407.69234931325","8024.41245389008","1341.91860163929","4926.35830385482","-250.472387124092","-2941.82561110265","-7233.25730271195","-4285.52846880955","-6333.24087770665","-1627.49014516902","-5731.67562071093","6941.5963355789","-303.344002825632","-4496.85081178044","-5091.71152409745","4801.12887945406","1881.91294480625","6300.92838577997","799.698970517984","7753.29251132884","-434.240723160444","6234.33342557587","1531.94769574778","7138.6934175455","571.708044612066","-3556.08963245302","-3088.15049813873","-2244.69739003716","-7441.2641860271","-2642.60066233834","-5583.60136714494","-896.734760678048","-6335.93313539091","-1788.71147884374","-6828.91673409306","7433.16124195165","2197.5116146183","8740.93208185378","401.588219884781","-888.618109427083","-5281.8618179761","8547.58584425395","-566.440966485723","-3541.63707213539","-5783.06432089564","8817.8237630218","-978.911157541067","7406.33524319241","-1275.23410844074","6582.17765987559","324.495323175915"
"7","-4700.96753314915","-5817.04503279668","6215.35823664661","-1575.93342567202","8109.42590710729","-1755.34734799564","-3716.94791080249","-4112.56839858653","7967.03994383475","664.655566085038","-1751.78866931099","-4438.63911009416","-3298.19132012887","-6810.61335198462","-2801.65378849168","-4369.02197352275","-3024.22446443617","-5246.74620400448","6547.00263559455","2020.17336198585","5189.82275726307","-1867.79043951701","-2914.93130286051","-3451.14460369082","-2441.66576268125","-6402.3061382627","8018.84801325095","1341.77922393935","4915.33596323603","-249.947602108118","-2937.78080087146","-7227.89943203195","-4282.10668401834","-6327.27130394106","-1622.40355379877","-5724.94875784305","6934.31347466999","-303.700952107736","-4492.7299908024","-5083.43182826373","4789.72427668329","1881.56285206106","6291.78955407241","800.421736581702","7748.18151914465","-433.208550794424","6230.68096962605","1532.33805289494","7133.7099565544","572.524195912846","-3551.22431574921","-3078.52672859176","-2240.56853062853","-7435.14255221397","-2638.99891729014","-5576.13136088527","-890.831121390994","-6326.41199030544","-1783.98745002013","-6821.73365772894","7425.36966659416","2200.99138718423","8735.1439137514","403.715661649636","-883.589688292282","-5270.71577672353","8543.04264074627","-565.760504286379","-3538.34110127486","-5775.26476842431","8810.13693424291","-980.279586519184","7399.18133769733","-1274.50799622277","6573.89744335321","323.992887854922"
"8","-4695.58257908465","-5809.59104749097","6206.17132146162","-1574.24255652526","8101.24248206455","-1755.65686621606","-3712.18514123818","-4103.34871309118","7962.54840038219","665.894402273591","-1744.99177893235","-4429.46501663925","-3294.66068464977","-6805.03425516349","-2797.80400823352","-4359.89425996732","-3020.51868033965","-5239.05484728424","6539.64052845559","2021.30150515652","5180.65705074978","-1867.21717482103","-2910.74628181044","-3438.21586421488","-2437.57614175017","-6396.94798732199","8013.31713793168","1341.64319969699","4904.34259862524","-249.425196096415","-2933.74993803513","-7222.57355152922","-4278.70297255334","-6321.33082807433","-1617.32964986325","-5718.24866707565","6927.06238540053","-304.058889236225","-4488.62903062238","-5075.17869242591","4778.35006818382","1881.22028201248","6282.68408891906","801.146583198066","7743.10299455195","-432.178509540553","6227.05463968499","1532.73260394992","7128.7569256194","573.34287875068","-3546.37535404394","-3068.9253733553","-2236.45225162858","-7429.05251601005","-2635.41098296239","-5568.68885569872","-884.937798481513","-6316.92282129887","-1779.27490750036","-6814.58170267933","7417.61433837048","2204.47449002932","8729.39241253381","405.842554130774","-878.569956298831","-5259.59914829036","8538.53377152271","-565.08299113735","-3535.0611324371","-5767.49410126297","8802.48737849105","-981.650183246482","7392.05976748731","-1273.78609816009","6565.64949810812","323.48964201463"
"9","-4690.21792787797","-5802.16467406773","6197.0159118004","-1572.55749222268","8093.09463294035","-1755.97058659979","-3707.43977011021","-4094.15352045355","7958.08864829337","667.135141284445","-1738.2071340239","-4420.31522044619","-3291.14440542294","-6799.48558002863","-2793.97023636261","-4350.79023095832","-3016.8280434031","-5231.38931139271","6532.31164357468","2022.43537116409","5171.5186244633","-1866.65014782164","-2906.57643077472","-3425.31542713319","-2433.49935098199","-6391.61731713516","8007.81911738385","1341.51054350954","4893.37766990898","-248.905102527215","-2929.7328144733","-7217.27905144995","-4275.31696730973","-6315.41878391125","-1612.26823773293","-5711.57482143721","6919.84247782953","-304.417713136911","-4484.54757272304","-5066.95162467179","4767.00570688083","1880.88514380283","6273.6113586107","801.873439281478","7738.05615693643","-431.150667737162","6223.45378455369","1533.13125842362","7123.83357007912","574.164112172607","-3541.54250656935","-3059.34612254041","-2232.34827570818","-7422.99341580745","-2631.83655084147","-5561.27330949864","-879.054622520292","-6307.46509172292","-1774.57364131895","-6807.46031836302","7409.8944119104","2207.9609102506","8723.67683474566","407.969004885239","-873.558714226395","-5248.51152284034","8534.05849508144","-564.408375619775","-3531.79687255881","-5759.75176212635","8794.87450120849","-983.02280957037","7384.96995214854","-1273.06839746046","6557.43319008312","322.985686658747"
"10","-4684.87329085637","-5794.76536342937","6187.8914259933","-1570.87829431043","8084.9816462414","-1756.2884280676","-3702.7114844556","-4084.9824333111","7953.65994182879","668.377743740759","-1731.43449169863","-4411.18920893105","-3287.64214203557","-6793.96655815307","-2790.15222014312","-4341.70945742298","-3013.15225162152","-5223.74899533157","6525.01509264295","2023.57482584989","5162.40691837116","-1866.08934099882","-2902.42151110433","-3412.44278327846","-2429.43520379768","-6386.31354771914","8002.35324033313","1341.38126990865","4882.44063653851","-248.387254844555","-2925.7292217054","-7212.01532129887","-4271.94830085617","-6309.5345047056","-1607.21912148937","-5704.92669348996","6912.65316137496","-304.777322704124","-4480.4852581739","-5058.75013247508","4755.69064529204","1880.55734619256","6264.57073087793","802.602233705582","7733.04022502216","-430.12509349524","6219.87775241618","1533.53392567009","7118.93913476348","574.987915073271","-3536.72553227856","-3049.78866580792","-2228.25632534297","-7416.96458947506","-2628.27531216505","-5553.88417971616","-873.181423891251","-6298.03826424312","-1769.88344127931","-6800.36895357311","7402.20904136962","2211.45063462943","8717.99643603976","410.095121356012","-868.555762662459","-5237.45248993549","8529.61606917073","-563.736606160276","-3528.54802825509","-5752.03719318612","8787.29770691718","-984.397327343343","7377.91131050004","-1272.35487716028","6549.24788473005","322.481122730522"
