"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-4234.54076023841","-9580.10217263572","-5047.53838429459","-8677.20146537955","-1576.97178214211","-10606.7276940493","-5509.21280214647","-6903.45142853489","492.060790553492","-10724.4227760898","-3799.20308783729","-10085.8357657118","-5924.22397577608","-10603.9790253214","-1425.53970242041","-12460.7108995943","-999.200070910532","-9726.63248207633","-4280.71735545231","-8775.96337920599","-2988.52832528868","-10218.8496699933","-6140.10077807305","-8058.301812669","-206.35783718829","-9070.01974178071","-3896.09037563079","-10770.0931341986","-4554.10307310264","-10071.0522926932","-1823.6318994093","-11372.2681167561","-3606.0149411025","-8024.79004367595","811.212445969892","-9847.29772817553","-304.544459296675","-10263.1031761239","-4678.06597670508","-7809.3818790714","-2471.51356281261","-8600.91093710078","-6418.89626428234","-9078.46608183513","-134.818015745984","-9614.93629901173","1735.14125472677","-11578.0276763451","-1100.13014900807","-8645.11222811386","-118.803138001526","-11165.3781557713","-924.546549933444","-11636.7881301294","-5124.66740038326","-10649.3429477333","-3419.06230696529","-9108.43759510964","-1498.63617693928","-11713.1905919601","-6654.04151843285","-10051.4340920782","528.180623269648","-12379.6966452092","645.155839916208","-8601.335599809","1273.29398351881","-9140.69097124481","-5928.2018355494","-8722.35370846008","1887.50976948811","-9039.27461867844"
"2","-4233.84329361338","-9579.36134794405","-5045.41976879872","-8674.85225240354","-1577.09995053131","-10604.5750321568","-5505.99943115114","-6898.86155254869","491.830496412882","-10721.3449246604","-3799.27584459228","-10086.2277623979","-5924.7746202499","-10602.7257100681","-1425.71180705146","-12461.1813535638","-999.04568209998","-9723.7731516518","-4279.73820962383","-8773.83271448991","-2989.14408243637","-10217.6278721696","-6138.2686211646","-8056.16220089611","-205.601874465914","-9064.20314641906","-3896.56658418802","-10770.0532524115","-4553.58866124215","-10071.6450838043","-1822.8060593429","-11371.1092901478","-3604.13332154414","-8020.62771564715","809.677930871201","-9842.79978837948","-305.372966876667","-10261.4020393237","-4675.67537194275","-7807.55307650386","-2470.54256707785","-8598.75786962116","-6419.26191816596","-9079.10761623122","-135.717142730694","-9611.09665146469","1736.36853741644","-11575.8940425538","-1100.85089030095","-8642.34683256675","-117.907318194867","-11165.8910569786","-923.462356861729","-11635.6153361155","-5125.25427167561","-10650.0304512151","-3418.40783080266","-9107.25810887074","-1499.36659328901","-11714.0505423164","-6655.63390468832","-10052.6800762426","528.940119801393","-12377.29551584","645.373313979745","-8594.84598860773","1272.71218149773","-9136.8101788421","-5928.76467380628","-8723.77159225155","1887.96575999112","-9036.03381803782"
"3","-4233.16316536923","-9578.65918211206","-5043.32278690938","-8672.54056367636","-1577.23221037254","-10602.4667571902","-5502.81167138449","-6894.30809081644","491.601444882546","-10718.3125272777","-3799.36317775735","-10086.6581179863","-5925.34647626845","-10601.5128392941","-1425.8918490856","-12461.6989202775","-998.893799513599","-9720.95359520251","-4278.77823573139","-8771.74048678883","-2989.77194990575","-10216.4450013317","-6136.46259421468","-8054.06070302014","-204.846573108971","-9058.42877220834","-3897.05650712204","-10770.053668099","-4553.09119435653","-10072.2774636583","-1821.98599664038","-11369.9938456656","-3602.26832986995","-8016.50291770775","808.146544130552","-9838.3454221974","-306.201969778008","-10259.7433629109","-4673.30603921269","-7805.75975865724","-2469.58346566408","-8596.64031484623","-6419.65151589333","-9079.78696460987","-136.616690595814","-9607.29970168491","1737.60048997307","-11573.807743248","-1101.5744829673","-8639.61984738055","-117.013373541549","-11166.4478157083","-922.38203864241","-11634.4890355864","-5125.85977334572","-10650.7572699954","-3417.76877564538","-9106.116279008","-1500.10262009404","-11714.9545654189","-6657.25030463545","-10053.9649818007","529.700737251832","-12374.9432039776","645.592217994395","-8588.39908593514","1272.13468775606","-9132.9707875851","-5929.35058999463","-8725.22639983954","1888.42752429219","-9032.83447062137"
"4","-4232.49999440267","-9577.99477937229","-5041.24702932267","-8670.26551248511","-1577.36851259026","-10600.4018843937","-5499.64894667424","-6889.79011762638","491.373622486097","-10715.3245568899","-3799.46474776009","-10087.1259988295","-5925.93907284508","-10600.3397053238","-1426.07946595898","-12462.2626439765","-998.744470903424","-9718.172933287","-4277.83695191446","-8769.68576039228","-2990.41160501941","-10215.3002544728","-6134.68210427629","-8051.99628540729","-204.091959785973","-9052.69569271055","-3897.55979811609","-10770.0936352574","-4552.61032237142","-10072.9485378275","-1821.17170180464","-11368.920899579","-3600.41955597739","-8012.41490133786","806.61831359549","-9833.93373695062","-307.031386587988","-10258.1260894562","-4670.95751229119","-7804.00104785672","-2468.63591344979","-8594.55750895846","-6420.06452845736","-9080.50319737401","-137.516561531743","-9603.54452515818","1738.83703847757","-11571.7678174019","-1102.30086866504","-8636.93029854925","-116.121292017828","-11167.0473121323","-921.305553631651","-11633.4081686371","-5126.48352543186","-10651.5225764061","-3417.14475205744","-9105.01121475883","-1500.84407064496","-11715.9017164472","-6658.89016494655","-10055.2879597759","530.462417182357","-12372.6387349451","645.812553201095","-8581.99399360977","1271.56141892422","-9129.17183886619","-5929.95905956299","-8726.71712101638","1888.89499611748","-9029.67563418151"
"5","-4231.85339900385","-9577.36724272299","-5039.19208596495","-8668.02621093029","-1577.50880788573","-10598.3794273724","-5496.51068004487","-6885.30670619639","491.147015695481","-10712.3799849108","-3799.5802145552","-10087.6305699239","-5926.55193820435","-10599.205599011","-1426.27429484853","-12462.8715672112","-998.597743889826","-9715.43028511742","-4276.91387561849","-8767.66759834594","-2991.06272473067","-10214.1928272176","-6132.92655753824","-8049.96791332761","-203.338061133576","-9047.00298010617","-3898.07611037067","-10770.1724064712","-4552.14569465347","-10073.6574105556","-1820.36316504818","-11367.8895665429","-3598.58658926105","-8008.36291684115","805.093266952992","-9829.56383848494","-307.861135878338","-10256.5491600687","-4668.62932419078","-7802.27606525715","-2467.69956503971","-8592.50868689013","-6420.50042605578","-9081.25538370002","-138.416657706999","-9599.83019594656","1740.07810876654","-11569.7733023559","-1103.02998896739","-8634.27721089468","-115.231061508118","-11167.68842499","-920.232860076752","-11632.3716737627","-5127.12514727632","-10652.3255414053","-3416.53537009888","-9103.94202409168","-1501.59075800588","-11716.8910490099","-6660.55293142269","-10056.6481598098","531.225101089931","-12370.3811323251","646.034320808358","-8575.62981210646","1270.99229145343","-9125.4123727469","-5930.58955713859","-8728.24274442098","1889.368108924","-9026.55636507983"
"6","-4231.22299691922","-9576.77567407479","-5037.15754606375","-8665.82177007779","-1577.65304674865","-10596.3983982574","-5493.39629382006","-6880.85692882491","490.921610934426","-10709.4777813984","-3799.70923767965","-10088.1709950439","-5927.18459986144","-10598.1098098518","-1426.47597272615","-12463.5247309926","-998.453665953142","-9712.72476871478","-4276.00852367149","-8765.68506260596","-2991.72498567341","-10213.1219139587","-6131.195359428","-8047.97455111979","-202.584903755528","-9041.34970535951","-3898.60509666429","-10770.289233029","-4551.69696007117","-10074.403184892","-1819.56037630028","-11366.8989597488","-3596.7690186849","-8004.34621347036","803.571431731218","-9825.23483132225","-308.691136218815","-10255.0115145709","-4666.32100724258","-7800.58393098455","-2466.7740748211","-8590.49308245258","-6420.95867817638","-9082.04259167689","-139.316881282016","-9596.15578684286","1741.32362644307","-11567.8232339671","-1103.76178537066","-8631.65960823025","-114.342669807929","-11168.3700317705","-919.163916125669","-11631.3784880343","-5127.78425758447","-10653.1653347131","-3415.94023938739","-9102.90781385404","-1502.34249504062","-11717.9216152904","-6662.23804907772","-10058.0447302812","531.988730415733","-12368.1694181263","646.257521997206","-8569.30564070942","1270.42722163275","-9121.69142812029","-5931.24155660524","-8729.80225767798","1889.84679590995","-9023.47571843883"
"7","-4230.60840541397","-9576.21917439651","-5035.14299821829","-8663.65130011001","-1577.80117946881","-10594.4578078685","-5490.30520972445","-6876.43985704099","490.697394581871","-10706.6169152323","-3799.85147630744","-10088.7464368741","-5927.8365847011","-10597.0516260951","-1426.68413641272","-12464.2211749404","-998.31228442526","-9710.05550106322","-4275.12041236018","-8763.73721419242","-2992.39806421151","-10212.0867079909","-6129.48791471397","-8046.01516235511","-201.832514221614","-9035.73493838298","-3899.14640941386","-10770.4433650397","-4551.26376705523","-10075.1849628262","-1818.76332521398","-11365.9481910743","-3594.9664328541","-8000.36403955179","802.052835301208","-9820.94581881126","-309.521306190765","-10253.5120916734","-4664.03209317804","-7798.92376427683","-2465.85909701961","-8588.50992846458","-6421.43875368178","-9082.86388844449","-140.217134422928","-9592.52036952404","1742.5735168874","-11565.9166467589","-1104.49619930204","-8629.07651352379","-113.456104626766","-11169.0910088942","-918.098679836453","-11630.4275472731","-5128.4604744834","-10654.0411249467","-3415.35896915947","-9101.90768991954","-1503.09909443862","-11718.9924661923","-6663.94496222166","-10059.4768184249","532.753246553771","-12366.0026129496","646.482157926066","-8563.02057766436","1269.86612560602","-9118.00804287238","-5931.91453118055","-8731.3946475361","1890.33099002515","-9020.43274829275"
"8","-4230.00924133412","-9575.69684386003","-5033.1480304695","-8661.51391047607","-1577.95315614758","-10592.5566658766","-5487.23684898488","-6872.05456175346","490.474352975369","-10703.7963542893","-3800.00658930408","-10089.356057141","-5928.50741905602","-10596.0303348529","-1426.89842263183","-12464.9599374324","-998.173646481172","-9707.42159826344","-4274.24905750573","-8761.82311334176","-2993.08163648807","-10211.0864016455","-6127.80362760707","-8044.08871000044","-201.080919066595","-9030.15774820042","-3899.69970073479","-10770.6340515466","-4550.84576365858","-10076.0018454201","-1817.97200117301","-11365.0363712324","-3593.17842008641","-7996.41564260898","800.537504878527","-9816.69590327711","-310.351564400677","-10252.0498291483","-4661.76211321033","-7797.29468362367","-2464.95428575496","-8586.55845687994","-6421.94012089357","-9083.71834033093","-141.117319315335","-9588.92301470368","1743.82770526754","-11564.0525740696","-1105.23317212724","-8626.52694905944","-112.571353590995","-11169.8502318931","-917.037109186586","-11629.5177862246","-5129.15341558014","-10654.9520797543","-3414.79116833119","-9100.94075733426","-1503.86036874089","-11720.102651483","-6665.67311454363","-10060.9435704495","533.518590859489","-12363.8797361527","646.708229735622","-8556.77372032948","1269.30891938863","-9114.36125404255","-5932.60795349283","-8733.01890000564","1890.82062398119","-9017.42650773732"
"9","-4229.42512116813","-9575.20778198419","-5031.17223036944","-8659.40871004107","-1578.10892670942","-10590.6939809649","-5484.19063243095","-6867.70011339913","490.252472414465","-10701.0150656192","-3800.17423528063","-10089.9990167443","-5929.1966287849","-10595.0452222101","-1427.11846806345","-12465.7400557506","-998.03779913049","-9704.82217568507","-4273.39397453903","-8759.94181965841","-2993.77537847433","-10210.120186423","-6126.14190186171","-8042.19415658022","-200.330144789126","-9024.61720310942","-3900.26462250077","-10770.8605406416","-4550.44259761603","-10076.8529329404","-1817.18639329858","-11364.1626099193","-3591.40456848321","-7992.50026948551","799.025467524852","-9812.48418617002","-311.181829493715","-10250.623664002","-4659.51059811507","-7795.69580690552","-2464.05929509619","-8584.63789891427","-6422.46224767594","-9084.60501298912","-142.017338178056","-9585.36279228335","1745.08611654974","-11562.2300481994","-1105.97264515811","-8624.00993659851","-111.688404246664","-11170.6465755898","-915.979162082231","-11628.6481387302","-5129.86269801951","-10655.8973659485","-3414.23644555867","-9100.00612046199","-1504.62613036573","-11721.2512199367","-6667.42194919421","-10062.444131654","534.28470465834","-12361.7998060138","646.935738553611","-8550.56416532555","1268.75551888437","-9110.75009798294","-5933.32129565725","-8734.67400049498","1891.31563026163","-9014.45604907862"
"10","-4228.85566110819","-9574.75108777778","-5029.21518505041","-8657.33480723446","-1578.26844091329","-10588.868760989","-5481.16598059486","-6863.37558209014","490.031739164051","-10698.2720156182","-3800.35407264747","-10090.6744758865","-5929.90373934981","-10594.0955733324","-1427.34390939728","-12466.5605662276","-997.904789208931","-9702.2563481182","-4272.55467857556","-8758.09239226533","-2994.47896601823","-10209.1872531255","-6124.50214087617","-8040.33046433751","-199.58021785067","-9019.11237084253","-3900.84082640314","-10771.1220795775","-4550.05391640341","-10077.7373249891","-1816.4064904561","-11363.3260159609","-3589.64446600003","-7988.61716646673","797.5167501495","-9808.30976821285","-312.012020167219","-10249.2325326464","-4657.27707831069","-7794.12625153171","-2463.17377911663","-8582.74748517086","-6423.00460151865","-9085.52297153227","-142.917093276853","-9581.83877150303","1746.34867550897","-11560.4481005571","-1106.7145596602","-8621.52449753949","-110.807244062293","-11171.4789142758","-914.924796367386","-11627.8175378988","-5130.58793854145","-10656.8761496383","-3413.69440929814","-9099.1028831287","-1505.39619163438","-11722.4372194761","-6669.19090886727","-10063.9776465441","535.051529254346","-12359.7618398943","647.164685499577","-8544.39100868487","1268.20583990199","-9107.17361051686","-5934.05402935167","-8736.3589339463","1891.8159411319","-9011.52042398087"
