File_Name;Computed_Angle;Deviation_angle;File_Name_1;Computed_Angle_1;Deviation_angle_1;File_Name_2;Computed_Angle_2;Deviation_angle_2;File_Name_3;Computed_Angle_3;Deviation_angle_3;File_Name_4;Computed_Angle_4;Deviation_angle_4;File_Name_5;Computed_Angle_5;Deviation_angle_5
CF102.csv;0.6581153549827288;0.6581153549827288;CF2021.csv;27.791618323661346;2.2083816763386537;CF2020.csv;63.99996751071707;3.9999675107170702;CF203.csv;89.85632764522875;0.14367235477125462;CF2009.csv;116.14053807961449;3.859461920385513;CF2008.csv;153.84597838167053;3.845978381670534
CF103.csv;0.9237548558492596;0.9237548558492596;CF2023.csv;26.403467698670603;3.596532301329397;CF116.csv;64.37408078558425;4.374080785584255;CF217.csv;90.95821195453296;0.9582119545329562;CF129.csv;116.85515789405405;3.144842105945955;CF214.csv;154.56549793966116;4.565497939661157
CF101.csv;0.32134139794926553;0.32134139794926553;CF2022.csv;26.079371024953794;3.920628975046206;CF117.csv;65.07670338658532;5.076703386585322;CF1013.csv;91.31522041191147;1.3152204119114685;CF128.csv;115.41436678153002;4.5856332184699795;CF212.csv;153.6407417192251;3.6407417192251046
CF104.csv;1.103058683649014;1.103058683649014;CF110.csv;26.131850348635087;3.868149651364913;CF115.csv;63.72654607262561;3.7265460726256094;CF216.csv;89.78313385475738;0.21686614524261927;CF211.csv;116.90625863163748;3.0937413683625152;CF213.csv;154.67563709416456;4.675637094164557
CF138.csv;0.3751279293169509;0.3751279293169509;CF111.csv;26.047938496346216;3.952061503653784;CF114.csv;63.109558964082765;3.1095589640827654;CF202.csv;89.472563774193;0.5274362258069942;CF210.csv;117.92547141541382;2.074528584586176;CF1024.csv;154.0408676092559;4.040867609255912
CF105.csv;0.8736816811465442;0.8736816811465442;CF107.csv;26.344488925561887;3.655511074438113;CF2019.csv;63.473100157185684;3.4731001571856837;CF201.csv;88.43150953095954;1.568490469040455;CF1017.csv;117.51737803782517;2.482621962174832;CF1021.csv;153.84914760049364;3.8491476004936374
CF106.csv;0.37419045616627195;0.37419045616627195;CF112.csv;25.587061193223636;4.4129388067763635;CF113.csv;63.94773563117542;3.9477356311754193;CF1014.csv;89.74545678254897;0.2545432174510296;CF209.csv;115.67569183562689;4.324308164373107;CF1022.csv;153.98202755328393;3.9820275532839275
CF1004.csv;2.50110628766483;2.50110628766483;CF2024.csv;26.46724015546619;3.5327598445338104;CF2018.csv;65.09560280566082;5.095602805660818;CF1015.csv;90.35647201901423;0.35647201901423387;CF1018.csv;116.3146259405969;3.6853740594031024;CF1023.csv;153.99363584641185;3.9936358464118484
CF205.csv;0.08574165885300467;0.08574165885300467;CF1006.csv;25.875741054422175;4.124258945577825;CF1012.csv;63.312717645139145;3.312717645139145;CF1016.csv;89.44109071195882;0.5589092880411783;CF1019.csv;116.82122696185768;3.1787730381423245;CF136.csv;154.27771830957815;4.277718309578148
CF1028.csv;0.5148044618136083;0.5148044618136083;CF1007.csv;24.81374251112908;5.186257488870918;CF1011.csv;64.08829367225563;4.088293672255631;CF218.csv;90.46284571605901;0.4628457160590074;CF208.csv;118.1261753946133;1.8738246053867016;CF134.csv;155.03297965631916;5.0329796563191564
CF1001.csv;3.5172814086885165;3.5172814086885165;CF1005.csv;23.88192965365982;6.118070346340179;CF1010.csv;64.37966634047875;4.3796663404787495;CF2015.csv;91.01858260924061;1.0185826092406103;CF1020.csv;116.85538656710754;3.1446134328924558;CF135.csv;153.68254044063772;3.682540440637723
CF204.csv;0.0834979997390136;0.0834979997390136;CF224.csv;25.190517013021832;4.809482986978168;CF222.csv;63.73079348409858;3.7307934840985766;CF122.csv;90.47904192086118;0.479041920861178;CF125.csv;116.8160956944927;3.1839043055072977;CF2007.csv;153.21332314570336;3.213323145703356
CF206.csv;0.6143941256570251;0.6143941256570251;CF1008.csv;25.093921639534308;4.906078360465692;CF223.csv;63.19759072788728;3.197590727887281;CF2014.csv;90.7062884576777;0.7062884576777009;CF130.csv;116.13771943827223;3.862280561727772;CF131.csv;153.49212408683837;3.4921240868383734
CF1003.csv;1.7126076125389755;1.7126076125389755;CF225.csv;25.392629489040537;4.607370510959463;CF221.csv;64.72577990048852;4.725779900488519;CF2016.csv;90.23405891803422;0.23405891803422207;CF2010.csv;117.07226977571248;2.927730224287515;CF2006.csv;154.30024883704405;4.300248837044052
CF1002.csv;0.9674980373412171;0.9674980373412171;CF227.csv;25.20395842070522;4.79604157929478;CF220.csv;62.336660672169764;2.3366606721697636;CF120.csv;89.91040645921095;0.08959354078905335;CF126.csv;115.86612457318599;4.133875426814015;CF132.csv;155.02981287679617;5.029812876796171
CF207.csv;0.9138761912965288;0.9138761912965288;CF226.csv;26.04227641032014;3.9577235896798584;CF1009.csv;64.38753063169722;4.387530631697217;CF121.csv;90.64757139791149;0.6475713979114914;CF127.csv;118.14579562990417;1.8542043700958288;CF133.csv;154.47345321338867;4.473453213388666
CF140.csv;0.3201353157892216;0.3201353157892216;CF108.csv;27.702985404953466;2.2970145950465337;CF2017.csv;63.622032973446466;3.6220329734464656;CF2013.csv;89.5193588981667;0.48064110183329944;CF2011.csv;116.83654518102283;3.163454818977172;CF2005.csv;154.7469821461088;4.746982146108792
CF141.csv;0.2936529924921281;0.2936529924921281;CF109.csv;26.132940278363126;3.867059721636874;CF118.csv;63.42658490244947;3.42658490244947;CF124.csv;90.1146024755682;0.11460247556820491;;;;;;
CF1026.csv;0.323453624278581;0.323453624278581;;;;;;;;;;;;;;;
CF142.csv;0.19007688109941204;0.19007688109941204;;;;;;;;;;;;;;;
CF1025.csv;0.19177407163018131;0.19177407163018131;;;;;;;;;;;;;;;
CF2001.csv;0.33235901890297953;0.33235901890297953;;;;;;;;;;;;;;;
CF137.csv;0.1185590914537751;0.1185590914537751;;;;;;;;;;;;;;;
CF2002.csv;0.1619263379871149;0.1619263379871149;;;;;;;;;;;;;;;
CF2003.csv;0.12065153598446528;0.12065153598446528;;;;;;;;;;;;;;;
CF2004.csv;0.06088439888885519;0.06088439888885519;;;;;;;;;;;;;;;
