"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-4271.49521785513","-9138.55775357451","-6143.72514425473","-9383.88915199455","-4723.65208727793","-7919.64517249174","-1362.91016392636","-10561.869221148","-3463.65811836225","-8623.08329992821","176.261505048499","-8574.4853611244","-1592.34259875007","-11075.3957790222","-4570.55869064116","-7257.8897492547","-213.991408408601","-9202.92544712741","-3937.57150497686","-8299.40855063477","-5236.59947955237","-9444.33332989234","-1667.0807191469","-9125.82014635276","-4209.09818456833","-7560.30092879101","-5630.76625397664","-10157.0078900377","-1198.87243512606","-8557.88918955715","-5577.55434002943","-7372.07250449712","1898.10050552832","-10218.7918572101","2069.12634800523","-8539.14012349569","-417.053648794919","-8424.21131367766","7.33111425338712","-11740.8665191243","-2264.87348203665","-8472.69044774993","-3899.04945087242","-10690.9693571557","-604.26383255983","-10554.1989367114","720.236890251173","-8641.95509463386","-204.404570365612","-10096.7247980143","-661.546927533195","-9326.5330152558","762.819840844507","-9939.40675604136","-3527.92713751684","-9287.17686221476","1623.06209600122","-11891.2109507517","-5418.37231829073","-7863.45568732626","-2898.29515452928","-9714.23109136789","-1054.19999858748","-12640.5135162998","-4564.7101429593","-12109.6080359825","-4397.16165785006","-12756.0750630184","-7441.61101210513","-10253.8231093576","1391.44354565672","-8523.63374032059"
"2","-4271.32789622556","-9137.36223825931","-6143.64803344943","-9381.64187224273","-4722.03960960612","-7918.35180471804","-1362.99501403276","-10560.4602198101","-3461.61247348448","-8620.31816702979","176.080121234993","-8570.72081656265","-1592.8602142214","-11075.9499119144","-4569.37833644172","-7254.68875801764","-212.634343234505","-9201.66981977063","-3937.58930638871","-8299.42190241255","-5236.16453209888","-9443.62862704893","-1666.47326773033","-9124.12921567227","-4206.89113204974","-7558.20742526334","-5630.75483874609","-10156.6026079189","-1198.71243716179","-8553.35804552687","-5576.03246676912","-7368.54336208412","1899.22445487073","-10216.5866004862","2069.60947395566","-8536.79261289379","-417.222190042134","-8419.86227430226","6.98417450370466","-11740.0523366918","-2261.84013432085","-8466.58218041605","-3897.41969615755","-10689.2911524767","-604.595066870091","-10552.7154054573","719.626233951652","-8638.68701427255","-204.723737350435","-10096.3850336872","-661.688624037225","-9323.72491116476","762.9717331437","-9938.83149231498","-3527.32344008611","-9286.13674019338","1622.73718943972","-11890.0431956684","-5415.44387702418","-7859.67387774318","-2896.57593254347","-9712.44684175073","-1053.9888114634","-12641.1983623255","-4564.96768240459","-12107.1096970781","-4393.23014782762","-12749.6076987881","-7438.2086833604","-10250.6139883264","1392.01946633358","-8524.67100189006"
"3","-4271.17771380459","-9136.20253042215","-6143.59466115278","-9379.43394792099","-4720.4477706973","-7917.09280286611","-1363.08404057885","-10559.0932017866","-3459.58404938813","-8617.59173159928","175.899499609834","-8566.99553345334","-1593.38309208794","-11076.5463954145","-4568.21826709995","-7251.52251578267","-211.278806212821","-9200.45456445437","-3937.62385916207","-8299.46913146579","-5235.74954660664","-9442.96191199331","-1665.87131322467","-9122.47770644746","-4204.70359673436","-7556.15032514077","-5630.76388251528","-10156.2371091299","-1198.55599278472","-8548.8685263077","-5574.53274939713","-7365.0473846132","1900.35399440702","-10214.4234211104","2070.09848963292","-8534.48502417803","-417.392145691095","-8415.55409372889","6.63730234188517","-11739.284506745","-2258.82249369165","-8460.51737600103","-3895.80670497399","-10687.6549604347","-604.927855390193","-10551.27385976","719.017923933147","-8635.45880822221","-205.043730849983","-10096.0874270227","-661.832885584965","-9320.9599954632","763.126129689118","-9938.29804573329","-3526.73531993716","-9285.13373263915","1622.41804357796","-11888.9224179856","-5412.53788508354","-7855.92751435689","-2894.87111548282","-9710.70220707916","-1053.78044982797","-12641.928633679","-4565.24264214817","-12104.657005953","-4389.31797293443","-12743.1902237918","-7434.83548035818","-10247.4468342464","1392.59927107604","-8525.74617729096"
"4","-4271.04426578422","-9135.07791604966","-6143.56445278057","-9377.2644515325","-4718.87610331844","-7915.86739121961","-1363.1772191776","-10557.7672203","-3457.57239534487","-8614.90309391818","175.719630684601","-8563.30854243237","-1593.91110260062","-11077.1842635698","-4567.07804324001","-7248.39020041269","-209.924864769915","-9199.27876831664","-3937.67467901584","-8299.54941286215","-5235.35409132529","-9442.3323298554","-1665.27476636203","-9120.86464753267","-4202.53511947947","-7554.12867318851","-5630.79298040511","-10155.9104842086","-1198.40311118598","-8544.41964799124","-5573.05474498893","-7361.58385517894","1901.48895064309","-10212.301401796","2070.59332795308","-8532.21629029723","-417.563491576652","-8411.28580364669","6.2905413221835","-11738.5619807274","-2255.82017052501","-8454.49495756888","-3894.21010986073","-10686.0599228718","-605.26224100102","-10549.8733847127","718.411981029403","-8632.26952650321","-205.36454185774","-10095.8309975048","-661.979640513825","-9318.23718386892","763.282950155351","-9937.805365337","-3526.16238174984","-9284.16701044567","1622.1045745155","-11887.8476262769","-5409.65398421749","-7852.21587738153","-2893.18036442623","-9708.99627517443","-1053.57491567498","-12642.7034063805","-4565.5346119887","-12102.2492060966","-4385.42486230243","-12736.8220724182","-7431.49098837562","-10244.3209058206","1393.18288379998","-8526.8581667183"
"5","-4270.92714678802","-9133.98767992298","-6143.55683293213","-9375.1324542741","-4717.32413950798","-7914.67479299324","-1363.27452528711","-10556.4813271734","-3455.57706004001","-8612.25135300113","175.540504903519","-8559.65887289036","-1594.44411582761","-11077.8625488764","-4565.95722473099","-7245.29098876942","-208.572586269815","-9198.14151713174","-3937.74128105728","-8299.66192054719","-5234.97773384357","-9441.73902450004","-1664.68353764793","-9119.28906656929","-4200.38524049022","-7552.14151322314","-5630.84172678905","-10155.6218223391","-1198.25380145025","-8540.01042537588","-5571.59800984629","-7358.15205582688","1902.6291498771","-10210.2196238599","2071.09392160488","-8529.98534298935","-417.736203527527","-8407.05643447647","5.94393498984857","-11737.883708464","-2252.83277481413","-8448.51384684491","-3892.62954281589","-10684.5051801477","-605.598266511975","-10548.513063972","717.808425896422","-8629.11821787923","-205.686161302547","-10095.6147632912","-662.128817133919","-9315.55539065238","763.442114127211","-9937.35239880411","-3525.60422969687","-9283.2357432692","1621.79669809327","-11886.8178275026","-5406.79181534206","-7848.53824584599","-2891.50333999315","-9707.32813250167","-1053.37221085183","-12643.5217547878","-4565.8431810858","-12099.8855392443","-4381.55054432151","-12730.5026771075","-7428.17479157691","-10241.2354602636","1393.77022823739","-8528.00586922446"
"6","-4270.8259509364","-9132.93110573542","-6143.5712254866","-9373.0370261928","-4715.79141065766","-7913.51423045035","-1363.37593421538","-10555.2345729911","-3453.5975916521","-8609.63560674564","175.36211264585","-8556.04555313784","-1594.98200167706","-11078.5802824308","-4564.85537075723","-7242.22405685028","-207.222038001463","-9197.0418954446","-3937.82317985781","-8299.80582747304","-5234.62004116647","-9441.18113866436","-1664.09753737806","-9117.74999014419","-4198.25349939889","-7550.18788825934","-5630.90971536258","-10155.3702114996","-1198.10807256007","-8535.63987213191","-5570.16209957968","-7354.75126767248","1903.7744182331","-10208.1771673805","2071.60020306326","-8527.7911129509","-417.910257369888","-8402.86501553448","5.5975268733841","-11737.2486383315","-2249.85991623001","-8442.57296440093","-3891.06463535807","-10682.9898712862","-605.935974648049","-10547.1919799128","717.207279008252","-8626.00393001188","-206.008580050834","-10095.4377413639","-662.280343740641","-9312.91352881028","763.603541116756","-9936.93809261413","-3525.0604675085","-9282.3390996649","1621.4943299105","-11885.832027173","-5403.95101860693","-7844.89389771536","-2889.8397023967","-9705.69686432812","-1053.17233706022","-12644.3827517513","-4566.1679380222","-12097.5652455039","-4377.69474669553","-12724.2314684572","-7424.88647308882","-10238.1897534214","1394.36122794954","-8529.18818287392"
"7","-4270.74027191163","-9131.90747620919","-6143.60705369865","-9370.97723634131","-4714.27744759397","-7912.38492501987","-1363.48142112517","-10554.0260072569","-3451.63353793209","-8607.05495208105","175.184444228272","-8552.46761056964","-1595.52462991972","-11079.336494081","-4563.77203988824","-7239.18857992435","-205.87328716595","-9195.97898670425","-3937.91988952839","-8299.98030572616","-5234.28057979202","-9440.6578140943","-1663.51667565497","-9116.24644394728","-4196.13943534377","-7548.26684065565","-5630.99653921207","-10155.1547386078","-1197.96593339998","-8531.30700096548","-5568.74656919035","-7351.38077101937","1904.92458169453","-10206.1731113533","2072.11210460274","-8525.63253000539","-418.085628930888","-8398.71057519525","5.25136047681092","-11736.6557174287","-2246.90120418169","-8436.67122983936","-3889.51501858734","-10681.5131341214","-606.275408036869","-10545.9092137804","716.608560652763","-8622.92570961435","-206.331788908839","-10095.2989476792","-662.434148627168","-9310.31051023813","763.767150580238","-9936.56139221128","-3524.53069853702","-9281.47624722224","1621.19738534169","-11884.8892295113","-5401.13123346146","-7841.2821100116","-2888.1891114964","-9704.10155488034","-1052.97529585688","-12645.2854687672","-4566.5084708655","-12095.2875634809","-4373.85719649787","-12718.0078753262","-7421.62561507547","-10235.1830398896","1394.95580634008","-8530.40400489704"
"8","-4270.66970302231","-9130.91607321135","-6143.6637402937","-9368.95215293265","-4712.78178065902","-7911.28609741227","-1363.59096103861","-10552.8546785521","-3449.68444628219","-8604.50848511651","175.007489907253","-8548.9240718282","-1596.07187021142","-11080.1302125761","-4562.70679014814","-7236.1837326675","-204.526400863729","-9194.95187339629","-3938.03092379461","-8300.18452665442","-5233.95891578763","-9440.16819168022","-1662.94086240462","-9114.77745292805","-4194.0425870475","-7546.37741225938","-5631.10179088333","-10154.9744896665","-1197.82739276065","-8527.01082378172","-5567.3509731517","-7348.03984547675","1906.07946613756","-10204.2065338469","2072.62955831063","-8523.50852327078","-418.262294042148","-8394.59214105339","4.90547927193234","-11736.1038917453","-2243.95624787604","-8430.80756197631","-3887.98032324583","-10680.0741054423","-606.616609195735","-10544.6638458428","716.012290927388","-8619.88260260412","-206.655778624813","-10095.197397317","-662.590160096882","-9307.74524590176","763.932861934998","-9936.22124216673","-3524.01452582071","-9280.64635269948","1620.90577955329","-11883.9884376146","-5398.33209872004","-7837.70215893328","-2886.55122685058","-9702.54128750058","-1052.78108865426","-12646.2289761299","-4566.86436722948","-12093.0517304024","-4370.0376202266","-12711.831324938","-7418.39179881257","-10232.2145731316","1395.55388666812","-8531.65223184293"
"9","-4270.61383726753","-9129.95617786893","-6143.74070756255","-9366.96084349379","-4711.30393979101","-7910.21696773485","-1363.70452884177","-10551.7196346928","-3447.74986383412","-8601.99530128799","174.831239881417","-8545.413962966","-1596.62359211546","-11080.9604657157","-4561.65917908463","-7233.20868929662","-203.181446081798","-9193.95963717455","-3938.15579607129","-8300.41766099335","-5233.65461486581","-9439.71141159162","-1662.37000739285","-9113.34204145117","-4191.962492895","-7544.51864455058","-5631.22506244957","-10154.8285499081","-1197.69245934289","-8522.7503518467","-5565.97486549027","-7344.72777007609","1907.23889736426","-10202.2765121567","2073.15249610023","-8521.41802132602","-418.440228543212","-8390.5087400844","4.55992669060372","-11735.5921063292","-2241.02465637709","-8424.9808790236","-3886.46017977792","-10678.6719211374","-606.959620518637","-10543.4549555418","715.418489734861","-8616.87365425469","-206.980539891222","-10095.1321046288","-662.748306475712","-9305.21664600788","764.100594576293","-9935.91658633986","-3523.51155214754","-9279.84858215732","1620.61942752043","-11883.1286536142","-5395.55325262705","-7834.15331997466","-2884.92570776849","-9701.01514480218","-1052.58971672108","-12647.2123430836","-4567.23521433516","-12090.8569822406","-4366.2357438592","-12705.7012429833","-7415.18460476099","-10229.283605595","1396.15539206113","-8532.93175973141"
"10","-4270.57226740058","-9129.02707068315","-6143.83737745542","-9365.00237501842","-4709.84345460412","-7909.17675560603","-1363.82209928921","-10550.619922885","-3445.82933752716","-8599.51449550445","174.655684293897","-8541.93630960694","-1597.17966512488","-11081.8262804977","-4560.62876383749","-7230.26262370297","-201.838489680879","-9193.00135899166","-3938.29401953675","-8300.67887899151","-5233.36724245956","-9439.28661341096","-1661.80402024167","-9111.93923345109","-4189.89869101087","-7542.68957878498","-5631.365945579","-10154.7160039374","-1197.56114176158","-8518.52459594837","-5564.61779986608","-7341.4438233869","1908.40270113569","-10200.3821229585","2073.68084972376","-8519.3599523765","-418.619408284954","-8386.45939880444","4.2147461170076","-11735.1193054533","-2238.10603866499","-8419.1900987696","-3884.95421839001","-10677.305716337","-607.304484263264","-10542.2816216426","714.827176778927","-8613.89790934628","-207.306063346921","-10095.1020833841","-662.908516124403","-9302.72362017352","764.270267894061","-9935.64636803842","-3523.0213801184","-9279.08210109161","1620.33824404338","-11882.3088788345","-5392.79433292129","-7830.63486804369","-2883.31221336195","-9699.52220882395","-1052.40118118299","-12648.2346379724","-4567.62059907128","-12088.7025538354","-4362.45129290684","-12699.6170537208","-7412.00361263968","-10226.3893888277","1396.76024552789","-8534.24148420402"
