"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","-2766.53587129077","-6365.47721917928","8284.90127801452","-941.749629253511","-3198.36320488598","-8862.35197108477","-1925.70130454066","-6585.7302555423","-3697.37683153095","-5732.8574679752","-4212.89827965987","-6256.30995874793","7536.98320063555","1111.46278030498","-3871.95882530831","-8605.06195272669","-3529.82590565746","-7787.29285374173","-2909.39629980179","-9292.41887613507","-4435.74189754274","-8278.98645460177","6586.84198420461","913.308916624399","6728.83806901215","341.749949111163","-4275.61613895054","-5943.34248228427","-2798.69185199824","-7821.79327817665","-3544.31846668878","-6255.52442283605","7319.56135682965","-48.0489754232477","-5080.15100334743","-6429.08009531059","-5234.07138389891","-7877.23620948071","-2841.82408120159","-7115.00435561126","-2026.02320831466","-7142.2070661794","-5305.47965547949","-6728.78056288919","-4052.24044030362","-7495.59785873339","6806.05722383054","1540.72082811231","-4076.22823298056","-6851.2767733085","9119.2088539157","1109.0490193041","7782.5192293425","-237.876130326811","8551.36057679098","-338.719819202252","8646.77194055866","256.56997190766","-5018.17004272117","-7518.22484474921","6957.07009865887","-1250.67616263035","8386.18519554843","1209.46979103094","6986.76900829305","-724.163514105168","8017.19839207238","342.359450134534","9248.15787631922","290.389174001079","8738.13472476552","-287.85150138303","9507.30115584252","441.332280140903","11624.95612893","-543.578468429443"
"2","-2766.07463481921","-6365.56728270959","8284.88208510388","-940.823289426277","-3198.22501083948","-8862.58027503261","-1923.59897484884","-6583.23278226115","-3697.44189195221","-5732.7873788129","-4213.40820781083","-6258.00290882921","7536.3575474531","1111.74064025385","-3872.49061015515","-8606.11095824729","-3530.11279616177","-7787.75388282695","-2909.9889806634","-9293.24664609844","-4436.45206739455","-8280.14387243544","6585.13060507645","913.44750587501","6727.58047274045","341.038294995003","-4275.45370958156","-5942.39823641573","-2798.65493957437","-7822.32076414583","-3543.64899884557","-6256.0671176094","7318.67608342905","-48.8075163437584","-5080.57470632105","-6430.06852553355","-5234.31066660955","-7878.4831667255","-2842.16787644317","-7115.58943221306","-2025.97113169073","-7141.6008856168","-5307.47582206037","-6730.65220916018","-4052.93669306885","-7496.91726776287","6801.1894506647","1541.48055805934","-4076.74189704496","-6852.49985484782","9119.88960827103","1109.89995451081","7781.7589801759","-238.408054112661","8551.72280067491","-337.845878850925","8648.29416662304","257.608857625831","-5018.14386097641","-7519.18914404767","6955.37462701712","-1251.34763522798","8386.9287680555","1209.00744589973","6985.85082795203","-723.943200193745","8016.84791880054","342.764477648981","9250.14749422815","290.780372900486","8731.40475298389","-288.422730531704","9501.95384457249","434.316228375176","11614.9026006828","-544.299566495661"
"3","-2765.62757840776","-6365.68727938042","8284.8979542414","-939.901028763521","-3198.10112923684","-8862.84380018304","-1921.50732038172","-6580.7731488992","-3697.52356523037","-5732.74681959536","-4213.93611894036","-6259.72496624822","7535.76659336893","1112.02059843913","-3873.03842496973","-8607.19380949542","-3530.41551309398","-7788.2474945011","-2910.59320126909","-9294.10947574381","-4437.17927234558","-8281.33393152136","6583.45083880684","913.58873063","6726.35810528463","340.328395950608","-4275.30914963931","-5941.48395003656","-2798.63058047049","-7822.880368998","-3542.99578743525","-6256.63706043653","7317.82457120967","-49.5664194204941","-5081.01887397226","-6431.08612422913","-5234.56897861611","-7879.76046970652","-2842.52566896403","-7116.20538188691","-2025.93087478363","-7141.02851524602","-5309.49171974176","-6732.55118719096","-4053.64952490413","-7498.26681971317","6796.35878891267","1542.24238449917","-4077.27272367314","-6853.75282482273","9120.60625269082","1110.75345191913","7781.03259607085","-238.941297144593","8552.11978113089","-336.973494737842","8649.85296253066","258.647715712116","-5018.13787530503","-7520.18481526354","6953.71319129539","-1252.02205340799","8387.70746943338","1208.54862468042","6984.96656142517","-723.725472792851","8016.53327899313","343.170083083372","9252.17256842223","291.171820045423","8724.70544568441","-288.991688608506","9496.64712993584","427.306169649853","11604.9011590306","-545.023328797567"
"4","-2765.19429075197","-6365.83636245458","8284.94801248276","-938.982797396379","-3197.99117172505","-8863.14174477317","-1919.42599992083","-6578.35030694479","-3697.6213334937","-5732.7348374053","-4214.4815607632","-6261.47527224031","7535.20942341588","1112.30266825786","-3873.60189908181","-8608.30973897231","-3530.73359346939","-7788.77287175218","-2911.2087224336","-9295.00668653342","-4437.92314129613","-8282.55593693839","6581.80183082475","913.732574987612","6725.16984868142","339.620219470558","-4275.1820125348","-5940.59875141284","-2798.61841858008","-7823.47129088717","-3542.35842223477","-6257.23354622292","7317.00591213193","-50.3256808179371","-5081.48306568434","-6432.13208080831","-5234.84595718349","-7881.06750709455","-2842.89705572111","-7116.85140848783","-2025.90202281686","-7140.48906552235","-5311.52688429533","-6734.47678318767","-4054.37850739827","-7499.64576667559","6791.56427853774","1543.00637810496","-4077.82021519015","-6855.03489151114","9121.35804773475","1111.60947412173","7780.33925508495","-239.475777789697","8552.55067694535","-336.102706057388","8651.44732679302","259.686539674568","-5018.15158236646","-7521.21110645182","6952.08484085193","-1252.69932962186","8388.52041450945","1208.09331764267","6984.1152499902","-723.51031491606","8016.25347023917","343.576249033817","9254.23229995675","291.563560788874","8718.03711881126","-289.558679680171","9491.38049089742","420.302212291893","11594.9510500054","-545.749627652703"
"5","-2764.7743600837","-6366.01368427893","8285.03138576145","-938.068545280323","-3197.89474951976","-8863.47330588939","-1917.35467200792","-6575.96320692182","-3697.73467839478","-5732.75047851925","-4215.04408038167","-6263.25296729729","7534.68512159041","1112.58686298357","-3874.18066130537","-8609.45797804603","-3531.0665738016","-7789.32919661394","-2911.83530460493","-9295.93759874445","-4438.68330252742","-8283.809192717","6580.18272563977","913.879022956512","6724.0145839834","338.913733088775","-4275.07185108465","-5939.74176800565","-2798.61809740264","-7824.09272692949","-3541.73649243291","-6257.85586905486","7316.2191971626","-51.0852966791997","-5081.96684011157","-6433.20558390806","-5235.14123892615","-7882.40366663037","-2843.28163322899","-7117.5267149129","-2025.88416063242","-7139.98164587427","-5313.58085077194","-6736.42828264493","-4055.12321157588","-7501.05335983444","6786.80495846086","1543.77260939941","-4078.38387335702","-6856.34526233004","9122.14425279953","1112.46798359841","7779.67813425594","-240.011414349097","8553.01464582555","-335.233551950688","8653.07625681665","260.725323002107","-5018.18447814712","-7522.26726469708","6950.48862398036","-1253.37937617463","8389.36671700754","1207.64151487228","6983.29593386349","-723.297709404436","8016.00748900803","343.982958079471","9256.32588873068","291.955640491354","8711.40008706995","-290.12400784822","9486.15340495445","413.304464372492","11585.0515177226","-546.478335252169"
"6","-2764.36737423157","-6366.21839640881","8285.14719901891","-937.158222209471","-3197.81147346283","-8863.83767959034","-1915.29299500801","-6573.6107985438","-3697.86308118927","-5732.7927885442","-4215.62322434681","-6265.05719127701","7534.1927709893","1112.87319576647","-3874.77433998957","-8610.63775705998","-3531.41399017236","-7789.91565028583","-2912.47270789647","-9296.90153157097","-4439.45938375337","-8285.09300193669","6578.59266697774","914.028058458089","6722.89119142839","338.208904389193","-4274.97821757965","-5938.91212659989","-2798.62926009796","-7824.74387332417","-3541.12958669418","-6258.50332230102","7315.46351640861","-51.8452631151014","-5082.46975524342","-6434.3058215017","-5235.45445987322","-7883.76833520763","-2843.67899761536","-7118.23050321453","-2025.87687275228","-7139.50536483138","-5315.65315356427","-6738.40497044105","-4055.88320795599","-7502.48884957057","6782.07986671688","1544.54114874062","-4078.96319944456","-6857.68314394314","9122.96412621845","1113.3289427204","7779.04840972859","-240.548125066363","8553.51084452642","-334.366071502737","8654.73874904655","261.76405916113","-5018.23605804247","-7523.35253621912","6948.9235880564","-1254.06210524332","8390.24548967841","1207.19320627811","6982.50765234491","-723.087638931656","8015.79433080087","344.390192785632","9258.45253360517","292.348104512545","8704.79466389933","-290.687977202953","9480.96534822035","406.313033720832","11575.2018045302","-547.209323673105"
"7","-2763.97292068114","-6366.44964973181","8285.29457633389","-936.251777830818","-3197.74095407957","-8864.23406102916","-1913.24062717209","-6571.29203086693","-3698.00602281434","-5732.86081255369","-4216.21853871922","-6266.88708351219","7533.73145394553","1113.16167963366","-3875.38256306954","-8611.84830544058","-3531.77537830109","-7790.53141325229","-2913.12069211889","-9297.897803225","-4440.2510121721","-8286.40666682257","6577.03079791574","914.179665328689","6721.79855060811","337.505701014369","-4274.90066385302","-5938.10895343222","-2798.65154954022","-7825.42392547367","-3540.53729322229","-6259.17519871328","7314.73795924998","-52.6055761932486","-5082.99136846816","-6435.43198100861","-5235.78525553334","-7885.16089895508","-2844.08874467608","-7118.96197471309","-2025.87974343949","-7139.05933015142","-5317.74332646912","-6740.40613093253","-4056.65806661018","-7503.95148556435","6777.38804060991","1545.31206630776","-4079.55769430659","-6859.04774236776","9123.81692536022","1114.19231375463","7778.44925688078","-241.085828135917","8554.03842897654","-333.500303739501","8656.43379910872","262.802741592128","-5018.30581693853","-7524.46616647802","6947.38877968391","-1254.74742889536","8391.15584442952","1206.7483815988","6981.74944396184","-722.880086009107","8015.61299030129","344.797935706828","9260.61143252111","292.74099820291","8698.22116144297","-291.250891777498","9475.81579550769","399.328027937702","11565.4011511591","-547.942464891129"
"8","-2763.59058663471","-6366.70659459076","8285.47264105097","-935.349161658368","-3197.68280163556","-8864.66164457486","-1911.19722669964","-6569.00585244225","-3698.16298396658","-5732.95359522295","-4216.82956912937","-6268.74178291859","7533.30025216327","1113.4523274892","-3876.00495811659","-8613.08885180418","-3532.15027361404","-7791.17566540108","-2913.77901681171","-9298.92573103675","-4441.05781451696","-8287.74948884133","6575.49626101623","914.333827321788","6720.73554063591","336.80409067402","-4274.83874134815","-5937.33137431842","-2798.68460837167","-7826.13207810309","-3539.95919982338","-6259.87079052694","7314.04161447205","-53.3662319271204","-5083.53123663608","-6436.58324940318","-5236.13326095888","-7886.58074331808","-2844.51046992998","-7119.72033010881","-2025.89235675905","-7138.64264894652","-5319.85090274921","-6742.43104804789","-4057.44735722041","-7505.44051689779","6772.72851686775","1546.08543208689","-4080.16685845287","-6860.43826308094","9124.7019067269","1115.05805886785","7777.87985044873","-241.6244417114","8554.59655440338","-332.636287624977","8658.16040195185","263.841363706306","-5018.39324929302","-7525.60740027831","6945.88324483999","-1255.4352591069","8392.09689245378","1206.30703040956","6981.02034661245","-722.67503299093","8015.46246152511","345.206169389895","9262.80178261594","293.134366895307","8691.67989051994","-291.81305550193","9470.70422041022","392.349554408981","11555.6487968707","-548.677630792725"
"9","-2763.2199590708","-6366.98838090602","8285.68051590818","-934.450323087179","-3197.63662619322","-8865.11962393283","-1909.16245180074","-6566.75121146676","-3698.33344517954","-5733.07018096347","-4217.45586083758","-6270.62042810239","7532.89824685209","1113.74515211422","-3876.64115238824","-8614.35862406322","-3532.53821131298","-7791.84758614089","-2914.44744127471","-9299.98463155414","-4441.87941710727","-8289.12076879627","6573.98819846042","914.490528110114","6719.7010403136","336.104041153491","-4274.79200118594","-5936.5785147798","-2798.72807905605","-7826.86752537879","-3539.39489396876","-6260.58938956028","7313.37357039671","-54.1272262651658","-5084.08891612223","-6437.75881332305","-5236.49811080989","-7888.02725313937","-2844.9437686733","-7120.50476959289","-2025.91429663847","-7138.25442780864","-5321.97541519452","-6744.47900538086","-4058.25064913646","-7506.95519215603","6768.10033179544","1546.86131585664","-4080.79019212162","-6861.85391112489","9125.61832605111","1115.92614013081","7777.33936465147","-242.163883914025","8555.1843754576","-331.77406205822","8659.91755198803","264.87991888221","-5018.49784921595","-7526.77548187252","6944.40602901933","-1256.12550778107","8393.06774435759","1205.86914212877","6980.31939770802","-722.472462079034","8015.3417379693","345.614876377034","9265.0227803395","293.528255896586","8685.17116059495","-292.374772157452","9465.63009538404","385.377720318969","11545.9439796035","-549.414693187578"
"10","-2762.86062480328","-6367.29415829699","8285.91732316386","-933.555211407313","-3197.60203766791","-8865.6071922646","-1907.13596075793","-6564.52705593358","-3698.51688690089","-5733.2096140567","-4218.09695879352","-6272.52215746684","7532.52451886019","1114.04016616699","-3877.29077287772","-8615.65684953158","-3532.93872644362","-7792.5463545182","-2915.12572459894","-9301.07382064138","-4442.71544589856","-8290.5198069217","6572.50575218079","914.649751287694","6718.69392829736","335.405520322153","-4274.75999423178","-5935.84950016898","-2798.78160393174","-7827.62946102631","-3538.8439628573","-6261.33028731341","7312.73291501294","-54.8885550799166","-5084.6639628887","-6438.95785917653","-5236.87943941735","-7889.49981273915","-2845.38823603377","-7121.3144929579","-2025.94514692804","-7137.89377293413","-5324.11639618329","-6746.54928628279","-4059.06751143297","-7508.49475952806","6763.50252142771","1547.63978717402","-4081.42719535155","-6863.29389121171","9126.56543839229","1116.79651952233","7776.82697331434","-242.704072840902","8555.80104633657","-330.913665870337","8661.70424323263","265.918400462354","-5018.61911054974","-7527.96965506387","6942.9561773777","-1256.81808676617","8394.06751028792","1205.43470602461","6979.64563431455","-722.27235532807","8015.24981275991","346.024039208862","9267.27362156914","293.922710479177","8678.69527974792","-292.936345330662","9460.59289182789","378.41263266358","11536.2859361195","-550.153523820871"
