"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-2618.66627459545","-6103.86117737674","-1909.42597856547","-6848.09834924511","-3571.28897673202","-5750.43701910229","-4430.28850816962","-5257.19493956376","-4182.30838363754","-4418.7977915804","499.859143445917","6180.22214345841","1575.63836952853","7406.58192565118","-1096.51573822858","8942.88924049253","-1840.2310430396","8120.41725789016","-5.72305544695486","5349.5059151286","-2666.38471463733","-9338.98731148508","-2665.89327144433","-6781.7740269981","-1021.62744584","7504.62879690926","-3717.29143449189","-7116.27155612006","938.101315913303","5689.16448372064","1759.81542688742","5565.65772444249","1890.40979036541","8262.96916196287","-2128.41045217152","5990.25176710186","-488.291725142612","8545.93809797242","-2027.16972708964","-7767.36386014186","-738.693518554076","-5877.71058009202","-5591.51817067127","-7351.09436030927","-4182.35349152688","-8229.5262004022","-4765.55081174335","-6818.89540890465","-3376.30332976687","-4500.99817546758","1485.76193481594","9269.2227978019","775.24514068586","9019.41102884648","-3045.80374900503","-4975.53275258081","428.795561382736","7475.87666392293","-1032.28312996052","5508.66395548095","-1055.8761065732","-6863.32177302304","2023.56757231708","6758.10354830199","-1749.29928673171","-5261.92511466631","-2373.8615217247","-5120.03328143289","122.491960338301","9188.81700624706","-322.707865673422","6247.35011813732"
"2","-2617.22069273125","-6103.56746830837","-1909.17473083489","-6846.21461023558","-3570.0786707088","-5749.13973013868","-4429.3130366289","-5256.05558097673","-4180.76297403271","-4416.24542748834","499.703061059835","6180.64765659589","1575.66127120442","7406.86903771717","-1097.40170691096","8942.46829558301","-1839.92540563396","8118.03735824251","-5.79187934744416","5348.28342106777","-2666.77069143425","-9338.43871321662","-2665.48098789778","-6782.02466482139","-1021.9454757998","7501.98607785909","-3716.88638314418","-7114.4928616082","938.346797405071","5685.31903650921","1760.46785582659","5564.52619520816","1890.99092317465","8262.24222664019","-2126.75562630236","5988.55858989975","-487.378091852578","8545.96047771609","-2027.46489219069","-7766.86654322045","-736.401495996236","-5873.20335659657","-5591.76059878577","-7351.19531140658","-4181.42520217552","-8229.01841901904","-4764.82664451577","-6816.4457594034","-3375.10376776577","-4498.54391974802","1485.80326242011","9267.91614162472","774.203496362139","9015.61133032323","-3043.40746161391","-4973.34874190634","429.044514116212","7474.57986580341","-1032.0448406591","5507.26936502197","-1056.25335869119","-6861.97683259477","2023.10976721615","6757.11834877227","-1747.54692163519","-5259.96604734365","-2371.70698192598","-5118.53721584976","121.898391264441","9189.8463445282","-323.286452756275","6247.03667283992"
"3","-2615.7891859742","-6103.30170978452","-1908.93525597274","-6844.36140917947","-3568.88472977378","-5747.86980354613","-4428.35734601085","-5254.94276629619","-4179.23866512416","-4413.7175617315","499.548481760134","6181.1027627307","1575.68954051676","7407.18967727758","-1098.28960473115","8942.08581961401","-1839.62509019563","8115.69381669775","-5.85992853523046","5347.08786535375","-2667.16989677134","-9337.92659218658","-2665.08254318044","-6782.30367605448","-1022.26689049206","7499.37806462964","-3716.49867516465","-7112.74590900562","938.595457911408","5681.50532997768","1761.12572288594","5563.42377034216","1891.57826366352","8261.54993194198","-2125.10757482605","5986.89560738798","-486.466071526636","8546.02009625633","-2027.77144543773","-7766.40215748605","-734.120063947356","-5868.72772603329","-5592.02461056355","-7351.32816484142","-4180.5138711122","-8228.54480878805","-4764.12335286109","-6814.02751848849","-3373.92271650317","-4496.11446305806","1485.84969696122","9266.64727181689","773.165029899342","9011.85007811888","-3041.02824277224","-4971.19079403394","429.295409564482","7473.31765880525","-1031.8097788145","5505.90402711131","-1056.64006016662","-6860.6654006097","2022.65842964106","6756.16616832727","-1745.80779684603","-5258.03391437464","-2369.56661413097","-5117.06656236469","121.305878333015","9190.91328444828","-323.865080983506","6246.7532730959"
"4","-2614.37139287132","-6103.06309826174","-1908.70705635263","-6842.53797918396","-3567.70679987089","-5746.62647833619","-4427.42094251443","-5253.85576098653","-4177.73487503556","-4411.21343751256","499.39539074377","6181.58653327253","1575.72312999385","7407.54289747432","-1099.17944238243","8941.74084846857","-1839.33008446078","8113.38578564876","-5.92723611052632","5345.91841593157","-2667.5819586275","-9337.45014211836","-2664.69756054003","-6782.61032172372","-1022.5915840509","7496.80398318843","-3716.12785902156","-7111.02989236779","938.847246106866","5677.72249439686","1761.78888448183","5562.34955959535","1892.17162300798","8260.89155797643","-2123.4663490647","5985.26198163626","-485.555703923034","8546.1159784888","-2028.08900597301","-7765.9699069021","-731.848800396654","-5864.2828851465","-5592.30973513159","-7351.49205063578","-4179.61922300495","-8228.10454614625","-4763.44038330494","-6811.63996412716","-3372.7596381919","-4493.70906566861","1485.90112139627","9265.41539213446","772.129764853017","9008.12655012926","-3038.66567923796","-4969.05822324189","429.54818607025","7472.0891800799","-1031.57792522204","5504.56702441139","-1057.03566913186","-6859.38652810173","2022.21351868617","6755.24605036636","-1744.08152374762","-5256.12800354271","-2367.44007253767","-5115.62063478875","120.714538223497","9192.01684652551","-324.443706794105","6246.49901428649"
"5","-2612.96695153637","-6102.8508293385","-1908.48963419334","-6840.74355242409","-3566.54452642002","-5745.40899267181","-4426.5033316984","-5252.79382972724","-4176.25102124696","-4408.73229734965","499.243773190685","6182.09803872433","1575.76199181745","7407.927750407","-1100.07123046521","8941.43241677314","-1839.04037590262","8111.11241631614","-5.99383520588468","5344.7742400734","-2668.00650457258","-9337.00855551699","-2664.32566277746","-6782.9438619598","-1022.91945044782","7494.26305834703","-3715.77348261197","-7109.34400474747","939.102110492816","5673.96965916642","1762.45719676945","5561.30267182143","1892.77081210746","8260.26638378326","-2121.83199997948","5983.6568738475","-484.647028688572","8546.24714809293","-2028.41719259681","-7765.56899434906","-729.587283109069","-5859.86802980919","-5592.61550084617","-7351.6860978591","-4178.74098196473","-8227.69680641238","-4762.77718169198","-6809.28237328037","-3371.61399462526","-4491.32698712486","1485.95741849935","9264.21970509966","771.097724648172","9004.44002295103","-3036.31935727205","-4966.95034299012","429.802781866793","7470.89356567812","-1031.34926053054","5503.25743872466","-1057.43964366683","-6858.13926509411","2021.77499314374","6754.35703727154","-1742.36771324133","-5254.24760179083","-2365.32701088034","-5114.19874616897","120.124487525284","9193.15605005877","-325.022286578151","6246.27299089265"
"6","-2611.57549970398","-6102.66409787847","-1908.28249163526","-6838.9773602703","-3565.39755437131","-5744.21658398643","-4425.60401856317","-5251.75623652337","-4174.78652068846","-4406.27338319862","499.093614268282","6182.63634881391","1575.80607783064","7408.34328727027","-1100.96497948465","8941.15955804428","-1838.75595173976","8108.87285888555","-6.0597589822267","5343.65450450687","-2668.44316181966","-9336.60102379977","-2663.96647229849","-6783.30355610943","-1023.25038351144","7491.75451388508","-3715.43509333213","-7107.68743832677","939.3599994049","5670.24595295549","1763.13051566696","5560.28221510912","1893.37564161301","8259.67368744233","-2120.20457817053","5982.07944448256","-483.740085355731","8546.41262767908","-2028.75562382321","-7765.19862174553","-727.335089692677","-5855.48235516044","-5592.94143536839","-7351.90943475924","-4177.8788715862","-8227.32076391739","-4762.13319327889","-6806.95402202025","-3370.48524726097","-4488.96748636334","1486.01847088176","9263.0594121312","770.068932573478","9000.78977200785","-3033.98886270489","-4964.86646602462","430.059135085176","7469.72995067922","-1031.12376524714","5501.97435113301","-1057.85144188407","-6856.92266074451","2021.34281151499","6753.49817055398","-1740.66597580141","-5252.39199532741","-2363.22708248098","-5112.80020889621","119.53584271045","9194.32991327399","-325.600776684576","6246.07429662935"
"7","-2610.19667478342","-6102.50209813321","-1908.08513081659","-6837.23863341518","-3564.26552825911","-5743.04848910228","-4424.72250763221","-5250.74224481539","-4173.3407898334","-4403.83593657467","498.944899135848","6183.20053262485","1575.85533954556","7408.78855849029","-1101.86069984835","8940.92130483432","-1838.47679894448","8106.66626264424","-6.12504062488633","5342.55837554251","-2668.89155727701","-9336.22673742624","-2663.61961116502","-6783.68866284626","-1023.58427694716","7489.27757267345","-3715.11223814759","-7106.05938454837","939.620861020442","5666.55050384257","1763.80869687961","5559.28729691375","1893.98592195543","8259.1127461815","-2118.58413387663","5980.52885338427","-482.83491333979","8546.61143893478","-2029.10391793557","-7764.8579901686","-725.09179766581","-5851.1250557419","-5593.2870657393","-7352.16118889265","-4177.03261498813","-8226.97559213401","-4761.50786282687","-6804.6541856467","-3369.37285730479","-4486.62982182847","1486.08416101191","9261.93371367365","769.043411775422","8997.17507167564","-3031.67378100201","-4962.80590448112","430.317183761437","7468.59746931942","-1030.90141974208","5500.71684213655","-1058.27052201359","-6855.73576348937","2020.91693202099","6752.66849099966","-1738.97592152973","-5250.56046973165","-2361.13994030036","-5111.42433481234","118.948720106496","9195.5374534697","-326.179133428922","6245.90202457913"
"8","-2608.83011391209","-6102.3640238641","-1907.89705394916","-6835.52660199945","-3563.14809225544","-5741.90394434812","-4423.85830303292","-5249.75111758841","-4171.91324479104","-4401.41919867349","498.797612948947","6183.78965872669","1575.90972815121","7409.2626138604","-1102.75840186389","8940.71668887626","-1838.20290425097","8104.49177611666","-6.18971333967206","5341.48501920069","-2669.35131759973","-9335.88488602711","-2663.28470114605","-6784.09844028123","-1023.92102435685","7486.83145679661","-3714.80446366281","-7104.45903424611","939.884643365787","5662.88243945455","1764.49159592368","5558.31702418811","1894.60146337316","8258.58283648364","-2116.97071697485","5979.00425990069","-481.931551935917","8546.84260277012","-2029.46169304175","-7764.5462999735","-722.856984523875","-5846.79532563361","-5593.65191845442","-7352.44048725386","-4176.20193485339","-8226.66046380566","-4760.9006346936","-6802.38213880329","-3368.27628579348","-4484.31325158842","1486.15437123525","9260.84180932589","768.021185252391","8993.59519540703","-3029.37369732957","-4960.76796998827","430.576865843737","7467.4952551194","-1030.68220425342","5499.48399179158","-1058.69634248744","-6854.57762118729","2020.49731261342","6751.86703881429","-1737.29716021003","-5248.75231005813","-2359.0652369888","-5110.07043531688","118.363235869094","9196.77768716164","-326.757313101115","6245.75526732491"
"9","-2607.47545400862","-6102.24906846361","-1907.71776339392","-6833.84049573728","-3562.04489022321","-5740.78218567627","-4423.01090857712","-5248.78211748065","-4170.50330139867","-4399.02241049161","498.651740863755","6184.4027953044","1575.96919452098","7409.76450267606","-1103.65809573645","8940.54474122765","-1837.93425416335","8102.34854719926","-6.25381034894648","5340.43360133767","-2669.82206924102","-9335.5746585325","-2662.96136376837","-6784.53214607213","-1024.26051925834","7484.41538767418","-3714.51131619042","-7102.88557777466","940.1512943236","5659.24088710495","1765.17906815038","5557.37050351254","1895.22207594017","8258.08323419281","-2115.36437698011","5977.50482300763","-481.030040316242","8547.10513946222","-2029.82856712904","-7764.26275091238","-720.630227805867","-5842.49235858892","-5594.03551953791","-7352.74645640408","-4175.38655346854","-8226.37455107441","-4760.31095292479","-6800.1371555924","-3367.19499367744","-4482.0170334504","1486.22898379397","9259.78289796872","767.002275848713","8990.0494158548","-3027.08819661929","-4958.75197377004","430.838119199477","7466.42244101099","-1030.46609889171","5498.27487984784","-1059.12836202379","-6853.44728126177","2020.08391098521","6751.0928537674","-1735.62930136207","-5246.96680094083","-2357.00262493664","-5108.73782147294","117.77950595485","9198.04963022657","-327.335271973252","6245.63311708205"
"10","-2606.13233182564","-6102.15642507588","-1907.546761736","-6832.1795440407","-3560.95556576886","-5739.68244877891","-4422.17982784098","-5247.83450689137","-4169.1103753132","-4396.64481294621","498.507268041355","6185.03901028707","1576.03368922025","7410.29327386884","-1104.5597915663","8940.4044924136","-1837.67083496368","8100.23572329432","-6.31736488772389","5339.40328777106","-2670.30343850322","-9335.29524329921","-2662.64922036684","-6784.98903753252","-1024.60265510491","7482.0285861816","-3714.23234181992","-7101.33820513848","940.420761640097","5655.62497393131","1765.87096876956","5556.44684122436","1895.84756959361","8257.61321461958","-2113.7651630445","5976.02970143041","-480.130417526908","8547.39806879879","-2030.20415811872","-7764.00654225235","-718.411105160556","-5838.2153481686","-5594.43739461605","-7353.07822259909","-4174.58619276306","-8226.1170256082","-4759.73826134504","-6797.91850968955","-3366.12844190265","-4479.74042507526","1486.30788084665","9258.75617789152","765.986706248638","8986.53700499449","-3024.81686363303","-4956.75722674764","431.100881622387","7465.3781594631","-1030.25308364459","5497.08858588508","-1059.56603971087","-6852.34379084293","2019.67668458112","6750.34497533554","-1733.97195429527","-5245.20322669649","-2354.95175632424","-5107.42580411256","117.197646094071","9199.35229804502","-327.912966307389","6245.53466582971"
