"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-3496.02013118265","-7331.20990599439","-3450.65430694203","-4840.45078066736","-1748.58534795963","5644.42479105685","1259.05949455053","6620.38454217991","-554.342401414752","9027.83348439256","-3196.49785222673","-8082.57024058579","-4370.98954937377","-5878.1172309724","816.661434297402","9439.91604079762","-4161.2003779319","-6761.38430258521","-2554.8980595289","-5612.13486538258","-1938.13480085268","-8058.41268611267","-4661.49763696047","-7310.65900967821","458.040084263395","6828.61919240132","119.136606652744","7910.82535052301","-1640.45872728694","-5944.40587861987","-3204.14905420095","-5915.17162664562","-1457.49157443258","-6842.3925679276","-3297.07952782468","-6618.62690455465","274.896749833151","9041.73505676759","-2241.36557107842","-4731.26025817287","-793.815300698213","-5917.98783898608","-5507.89065063078","-6337.26871072797","-1791.21883226484","6784.03902425822","-1259.00374277318","9406.84912387929","1110.98414826696","8486.09524242216","-1847.65311333768","7760.57366628082","-105.695613677784","5733.05410356513","-2279.20029897665","-9078.18541216092","-4137.49138159148","-8062.29047489047","1918.81369323295","9410.86318876877","-3996.97703344626","-4034.36426237271","1531.89710155197","5547.52388121483","1580.52064328937","7669.89993998836","-732.615845546357","5593.57095785979","-820.218287055353","7723.33966893762","-1892.96358960165","8702.44300747252"
"2","-3496.75685678644","-7331.44387968072","-3450.53304018133","-4838.21069521038","-1748.91365097352","5640.15692556694","1259.72206800901","6617.76763973689","-554.239038046333","9025.27258475615","-3196.64469496399","-8082.63539418726","-4371.44291707492","-5875.84269094605","816.095702790342","9439.58477532562","-4161.13482070364","-6759.88199822537","-2553.28690944792","-5611.39652380412","-1936.94985856791","-8056.31520403898","-4662.74656520917","-7311.12182814325","458.00854143296","6824.79588848758","119.222315079631","7908.94219553471","-1637.26849090648","-5941.00321427571","-3204.57581791365","-5915.58180929162","-1455.24796413565","-6840.1348101189","-3294.84460299929","-6618.05086005758","274.815998782332","9041.53858852153","-2238.14421827844","-4726.82155569775","-790.431473044972","-5911.98701502383","-5506.70285249981","-6336.36454158819","-1791.09163012363","6781.53333352122","-1258.65949459625","9404.31077512878","1111.61575882741","8484.94074191689","-1847.62749790112","7757.54082078877","-104.993301759011","5728.99033939887","-2280.14092423978","-9076.78737347495","-4137.52462750012","-8061.94923197625","1919.47450963312","9407.03442740425","-3995.45575054309","-4031.07500420933","1532.39114737824","5543.50326422765","1581.71019188069","7668.92244883139","-732.413475122809","5591.13877299096","-819.983796440663","7720.24362830767","-1892.68548964526","8702.86860414411"
"3","-3497.50918593527","-7331.70867493062","-3450.4277295212","-4835.99719208658","-1749.24661816257","5635.91951300217","1260.38824649868","6615.18384535612","-554.137352973959","9022.75179300764","-3196.8072643708","-8082.73408419755","-4371.91627244865","-5873.59735468573","815.532805973825","9439.29327850996","-4161.08862654854","-6758.41099806141","-2551.69110847534","-5610.6834637203","-1935.77713749328","-8054.25234683217","-4664.01362498563","-7311.61479663478","457.978146090866","6821.00799398777","119.308019545856","7907.09576111543","-1634.09104757249","-5937.63272194574","-3205.01853474714","-5916.01941410795","-1453.01491945892","-6837.90871977376","-3292.62732722372","-6617.50389835266","274.736867363088","9041.37997715449","-2234.94061484996","-4722.4132491879","-787.059554535506","-5906.02112410855","-5505.53726638497","-6335.48873222376","-1790.97015525503","6779.06068689339","-1258.31931728954","9401.81262979139","1112.25037359225","8483.82333503266","-1847.60806309204","7754.54366447523","-104.291783377409","5724.95643374052","-2281.09314336922","-9075.42648571143","-4137.5751193814","-8061.64029810834","1920.1410732495","9403.24718679755","-3993.95386871069","-4027.8113881337","1532.88920731123","5539.51437179728","1582.90452189305","7667.97944516959","-732.213545533494","5588.7354561995","-819.751897142922","7717.18435331704","-1892.41277617965","8703.33028380175"
"4","-3498.2767023617","-7332.00354925237","-3450.33783705129","-4833.80949464556","-1749.58416969475","5631.7117790903","1261.05796189454","6612.63230597908","-554.037367962454","9020.27014714038","-3196.9850863037","-8082.86550161033","-4372.40902299396","-5871.3804850258","814.97274700798","9439.04056047983","-4161.06127679738","-6756.97053138219","-2550.11013759904","-5609.9950342032","-1934.61621860616","-8052.22330263771","-4665.29837530509","-7312.13716989344","457.948884082641","6817.2546278686","119.393695855281","7905.28506793878","-1630.92602840314","-5934.29356529354","-3205.47668821488","-5916.48371185204","-1450.79214330467","-6835.71346162759","-3290.42721756871","-6616.98529712326","274.659331505001","9041.25833869334","-2231.75426683404","-4718.03447786292","-783.699133936668","-5900.08929005001","-5504.39342094327","-6334.64061729343","-1790.85436128246","6776.62018614955","-1257.98316318258","9399.35377705129","1112.88794067621","8482.74210553087","-1847.5946977987","7751.58139626613","-103.59109383148","5720.9516442309","-2282.05650102658","-9074.10187470841","-4137.64248620782","-8061.36301459638","1920.81330453994","9399.50052862409","-3992.4709100404","-4024.57260531176","1533.39118887996","5535.55633419264","1584.10350363568","7667.0700329216","-732.016062510265","5586.36021237547","-819.522531885862","7714.16096140576","-1892.14540617581","8703.82713074094"
"5","-3499.05898938424","-7332.32775916366","-3450.26282432635","-4831.64682545292","-1749.92622558014","5627.53294871746","1261.73114596212","6610.11216751107","-553.939104634779","9017.82668382439","-3197.17768615802","-8083.02883632495","-4372.92057557468","-5869.19134391656","814.415528916212","9438.82563009147","-4161.05225228696","-6755.55982647689","-2548.54347744999","-5609.33058363315","-1933.46668252881","-8050.22725851667","-4666.60037452287","-7312.68820169299","457.920741214228","6813.53490799308","119.479319789801","7903.50913556546","-1627.77306420615","-5930.98490704193","-3205.94976142726","-5916.97397241915","-1448.57933826781","-6833.54819943555","-3288.24379062551","-6616.49433311915","274.583367018419","9041.17278796201","-2228.58467977859","-4713.68438017622","-780.349799744588","-5894.19063570244","-5503.27084408218","-6333.81953056756","-1790.7442014757","6774.21093208396","-1257.65098442904","9396.93330477305","1113.52840805104","8481.6961359901","-1847.58729065293","7748.65321397816","-102.891268340706","5716.9752275435","-2283.03054156359","-9072.81266507076","-4137.72635646444","-8061.11672168553","1921.49112373288","9395.79351317868","-3991.00639603953","-4021.35784624338","1533.89699942004","5531.62828082487","1585.30700723412","7666.19331491554","-731.821031671906","5584.01224559138","-819.295643168977","7711.17256870133","-1891.88333636985","8704.3582281441"
"6","-3499.85562996253","-7332.68056030009","-3450.20215245057","-4829.50840641011","-1750.27270569037","5623.38224605598","1262.4077303706","6607.62257495372","-553.842584468648","9015.42043856624","-3197.38458893315","-8083.2232772694","-4373.45033650315","-5867.02919253699","813.8611545872","9438.64749508112","-4161.06103343609","-6754.17811075644","-2546.99060838433","-5608.68945979965","-1932.32810959494","-8048.263400584","-4667.91918039499","-7313.26714494932","457.89370325418","6809.84795126676","119.564867114955","7901.76698260045","-1624.63178554408","-5927.70590910491","-3206.43723716303","-5917.48946494368","-1446.37620668189","-6831.41209611172","-3286.07656258141","-6616.03028226469","274.508949599153","9041.12243871636","-2225.43135881426","-4709.36209394541","-777.01114024941","-5888.32428311048","-5502.16906304223","-6333.02480502738","-1790.63962876465","6771.83202465516","-1257.32273301796","9394.55029965597","1114.17172355314","8480.68450794898","-1847.58573005118","7745.758314447","-102.192342041905","5713.02643951025","-2284.01480908265","-9071.55798031631","-4137.82635819996","-8060.90075865872","1922.17445084074","9392.12519953745","-3989.55984770993","-4018.16630088808","1534.40654609207","5527.7293403853","1586.51490264893","7665.34839302758","-731.628458523874","5581.69075922789","-819.071173279231","7708.21829016141","-1891.62652327749","8704.92265821604"
"7","-3500.66620675215","-7333.06120752296","-3450.15528216174","-4827.39345887355","-1750.62352977792","5619.25889469165","1263.08764670593","6605.16267253699","-553.747828793129","9013.05044586778","-3197.60531929737","-8083.44801252252","-4373.99771162326","-5864.89329140673","813.30962677684","9438.50516221718","-4161.08710032105","-6752.82461087413","-2545.45101056501","-5608.07101000151","-1931.20007991591","-8046.33091414594","-4669.25435013852","-7313.87325182887","457.867755935845","6806.19287378325","119.650313585544","7900.05762684936","-1621.50182279926","-5924.45573271889","-3206.93859794021","-5918.0294578998","-1444.18245066477","-6829.30431386761","-3283.92504929479","-6615.59241976628","274.436054833149","9041.1064037781","-2222.29380872993","-4705.06675648186","-773.682743599709","-5882.48935365417","-5501.08760447908","-6332.25577296356","-1790.54059575293","6769.48256313011","-1256.99836078476","9392.2038473875","1114.81783489106","8479.70630204806","-1847.58990417559","7742.89589365477","-101.494349985581","5709.10453524663","-2285.00884749701","-9070.3369430212","-4137.94211907728","-8060.71446393824","1922.8632056732","9388.49464571884","-3988.13078562603","-4014.99715879019","1534.91973590002","5523.85864098266","1587.72705969433","7664.53436831973","-731.438348457995","5579.39495609875","-818.849064302758","7705.29723971574","-1891.37492320838","8705.5195023186"
"8","-3501.49030215909","-7333.46895502631","-3450.12167391492","-4825.30120377321","-1750.97861749541","5615.16211775003","1263.77082648372","6602.73160385012","-553.654858785228","9010.71573938407","-3197.83940165238","-8083.70222943541","-4374.56210639323","-5862.7829004975","812.760948110138","9438.39763745131","-4161.12993275052","-6751.49855284561","-2543.92416404307","-5607.47458114646","-1930.08217344678","-8044.4289838366","-4670.60544049139","-7314.50577385622","457.842884959507","6802.56879096888","119.735634951253","7898.38008547388","-1618.38280623835","-5921.233538573","-3207.45332608671","-5918.59321920151","-1441.99777216412","-6827.22401434986","-3281.78876636977","-6615.18002021909","274.364658201143","9041.12379516788","-2219.17153404771","-4700.79750471948","-770.364197866584","-5876.6849681932","-5500.02599454502","-6331.51176607411","-1790.44705473143","6767.16164622745","-1256.67781942226","9389.89303279569","1115.46668965303","8478.76059817087","-1847.59970101478","7740.06514685655","-100.797327132278","5705.20876927604","-2286.01220059074","-9069.14867496418","-4138.07326642372","-8060.55717518658","1923.55730785034","9384.90090884359","-3986.71873001247","-4011.84960920321","1535.43647570942","5520.01531027946","1588.94334805675","7663.75034117685","-731.250706752115","5577.12403857509","-818.629258136515","7702.40853040718","-1891.12849228034","8706.14784110444"
"9","-3502.32749839373","-7333.90305644322","-3450.10078796575","-4823.23086173038","-1751.33788841464","5611.09113802215","1264.45720116218","6600.32851197197","-553.563695466472","9008.41535208027","-3198.08636019732","-8083.98511475208","-4375.14292596773","-5860.69727934363","812.215121083039","9438.3239260686","-4161.18901034011","-6750.199162168","-2542.4095488385","-5606.8995198501","-1928.97397005186","-8042.5567937537","-4671.97200777194","-7315.16396202105","457.819075994524","6798.97481772634","119.820806962276","7896.7333751463","-1615.2743660766","-5918.03848693876","-3207.98090381043","-5919.18001630195","-1439.8218730026","-6825.17035877709","-3279.66722923036","-6614.79235771321","274.294735083269","9041.17372423746","-2216.06403909756","-4696.55347534276","-767.055091107415","-5870.91024721008","-5498.98375897004","-6330.79211556164","-1790.3589576918","6764.86837225994","-1256.36106049162","9387.61694000065","1116.11823531435","8477.84647558407","-1847.61500838463","7737.26526870614","-100.101308348921","5701.33839565341","-2287.02441207837","-9067.99229727025","-4138.2194272807","-8060.42822940642","1924.2566768157","9381.3430452937","-3985.32320082116","-4008.72284121366","1535.95667226561","5516.19847562756","1590.16363731328","7662.99541144268","-731.065538569706","5574.87720870887","-818.411696499917","7699.55127453197","-1890.88718643348","8706.80675464994"
"10","-3503.1773775245","-7334.36276495141","-3450.09208445335","-4821.18165317488","-1751.70126204561","5607.04517808929","1265.14670215484","6597.95253960039","-553.474359699472","9006.14831638754","-3198.34571899251","-8084.29585472922","-4375.73957527962","-5858.63568715199","811.672148064206","9438.28303283681","-4161.26381258631","-6748.92566393832","-2540.90664502063","-5606.34517253414","-1927.87504957005","-8040.71352759349","-4673.35360793793","-7315.84706688432","457.796314681429","6795.41006857761","119.905805374947","7895.11651220308","-1612.1761325417","-5914.86973779873","-3208.52081326903","-5919.78911629214","-1437.65445492278","-6823.14250807608","-3277.55995319422","-6614.42870593897","274.226260763663","9041.25530180092","-2212.97082809135","-4692.33380491395","-763.755011429276","-5865.16431095257","-5497.96042314222","-6330.09615222986","-1790.27625633977","6762.60183927606","-1256.04803543311","9385.37465256506","1116.77241924484","8476.96301307667","-1847.63571394879","7734.4954533808","-99.4063284051642","5697.49266808812","-2288.04502566421","-9066.86693055314","-4138.38022845313","-8060.32696303994","1924.96123184911","9377.82011087038","-3983.94371780795","-4005.61604386408","1536.48023221178","5512.40726420294","1591.38779694997","7662.26867855516","-730.882848959425","5572.65366835571","-818.196320946423","7696.72458377898","-1890.65096144414","8707.49532258722"
