"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-3689.59210783064","-7244.70018493288","-4190.46036758106","-6641.59690775572","-3706.85773374574","-7958.90716003242","-6426.47279787551","-1133.0547765414","-3242.87655115121","-7547.57090640486","-2781.29066625098","-8508.19003988687","-7361.68237933459","-170.884547196722","-4141.23832273001","-5614.96342976722","-5384.35647994414","-7689.58657297185","-2031.50411493805","-7135.22029413236","-3661.93151720692","-6672.6954618517","-2283.5899928858","-7783.50431016024","-4478.0939856241","-6272.88825518391","-4223.11678284952","-7401.34458473751","-4487.08933222455","-8161.97488093619","-4938.69774376719","-7106.47659020269","-6706.00705316944","1250.27183658796","-3004.8727319078","-5986.86769582267","-7012.89258707439","515.082089353349","-8029.86711104313","-348.68496350947","-2283.96552860424","-6384.29184912707","-3513.27155859231","-5834.11628138299","-7850.40824605983","-1235.05135840035","-6781.31166026624","-225.935507821293","-3632.64923862965","-8779.40055465762","-8278.79820310976","-1356.75774137906","-9602.10020026673","213.470528734884","-8025.50266069166","627.189926992052","-10150.8376793546","481.828255094017","-11124.7951254402","-941.364641351062","-8366.64814366852","1014.7182783405","-11204.638257659","1271.23366860167","-10818.2448874899","192.234433823415","-8412.95898276434","1286.99896780381","-8996.31574208574","-388.673158533409","-11040.5807213523","-213.136028460594"
"2","-3689.42671412265","-7243.34565172486","-4189.8198153474","-6639.81154993833","-3706.24138634036","-7957.79085882882","-6417.51627008007","-1131.83108755613","-3240.88141748735","-7544.50539792499","-2780.97494046749","-8507.08170663482","-7360.05282435107","-170.669761419296","-4139.08136702643","-5611.45555096219","-5383.56605908518","-7689.01636606366","-2029.70235285737","-7133.52867274068","-3660.89618853006","-6670.49439944203","-2283.2034037401","-7782.63500636678","-4476.17139808939","-6269.50606697352","-4223.73405910253","-7398.95481436996","-4486.99299890216","-8162.01698442567","-4937.2533282805","-7103.85413632289","-6702.21876922711","1249.08311362315","-3001.61717270457","-5981.62966851203","-7009.65299216431","515.798412585174","-8028.83371987294","-348.296299904884","-2280.61423482046","-6379.19276471675","-3510.55300563561","-5828.81601571078","-7846.11339414358","-1235.54035769467","-6777.6395739168","-225.945572806525","-3632.41547406888","-8779.71622661444","-8278.40495841916","-1355.65382283657","-9593.20089232525","213.532655441262","-8020.39012471077","627.610444322376","-10142.9787821951","481.78887810026","-11114.3897902001","-941.835085422552","-8367.0632089413","1015.25402084884","-11193.4559311149","1271.10390783116","-10808.3659172933","192.600430056286","-8406.09382748093","1287.4136916897","-8992.22551351785","-388.036396905892","-11031.5386178759","-213.600504106846"
"3","-3689.27835375294","-7242.02246696166","-4189.19785060378","-6638.05637945718","-3705.64206427658","-7956.70800086192","-6408.60278150087","-1130.61163542161","-3238.90296026348","-7541.47461070914","-2780.67373246543","-8506.00805599937","-7358.45961375762","-170.455259570108","-4136.94318574563","-5607.97658557094","-5382.795882059","-7688.47847486569","-2027.91541053843","-7131.87135082163","-3659.87867176825","-6668.32462011777","-2282.83079634801","-7781.80108568693","-4474.26796843812","-6266.15397736142","-4224.36852162868","-7396.5973021954","-4486.91439483004","-8162.09135162273","-4935.82831684304","-7101.26341137525","-6698.46447491858","1247.898274794","-2998.37984899897","-5976.42542683759","-7006.44920261007","516.517035389031","-8027.83530330672","-347.909231075961","-2277.27815369946","-6374.1279846619","-3507.85099252005","-5823.54571684452","-7841.85619801639","-1236.03367645396","-6774.00341875033","-225.955583763585","-3632.19800692589","-8780.06703601388","-8278.04783736483","-1354.55478320692","-9584.3443091048","213.595971024282","-8015.31570821824","628.03263046969","-10135.1618484902","481.750008785842","-11104.0340015661","-942.30708981629","-8367.51444392771","1015.79310673104","-11182.3242750388","1270.97730876897","-10798.5330668067","192.966523433015","-8399.26815292548","1287.83215262976","-8988.17329805672","-387.400946779723","-11022.5437303055","-214.064736936344"
"4","-3689.1465490953","-7240.72987412542","-4188.59398508584","-6636.33067122635","-3705.05930989177","-7955.65780938823","-6399.73117335956","-1129.3963898319","-3236.94074570427","-7538.47771102387","-2780.38667619198","-8504.96837340701","-7356.90175679448","-170.241062266212","-4134.82341313539","-5604.52575671879","-5382.04557297705","-7687.97212792971","-2026.14274831636","-7130.24738388821","-3658.87847215637","-6666.18535766737","-2282.47166765537","-7781.00163398413","-4472.38330188631","-6262.83131847773","-4225.019678909","-7394.27141297552","-4486.85310909608","-8162.19721981829","-4934.42238212356","-7098.70374025288","-6694.74332657165","1246.71738040465","-2995.1603194193","-5971.25413265144","-7003.28028812102","517.23784325346","-8026.87100788669","-347.523763233626","-2273.95685939044","-6369.09668460471","-3505.16518942953","-5818.30477310551","-7837.6356884275","-1236.53119499034","-6770.40218182537","-225.96555597919","-3631.99641216556","-8780.45214555723","-8277.72589200615","-1353.4606213444","-9575.53002143859","213.660487012241","-8010.27869460709","628.456439256325","-10127.3864643084","481.711782139111","-11093.7271456948","-942.780668442372","-8368.00086664932","1016.33547223407","-11171.2426235444","1270.85385641807","-10788.745914828","193.332707940762","-8392.48138548659","1288.25432858769","-8984.1585097177","-386.76683866531","-11013.5954465536","-214.528722836639"
"5","-3689.0308220058","-7239.46711568325","-4188.0077298792","-6634.63369917285","-3704.49266498758","-7954.63950653068","-6390.90028559897","-1128.18532028957","-3234.99433954376","-7535.5138639796","-2780.11340516276","-8503.96194313075","-7355.37826167808","-170.027190105579","-4132.72168285468","-5601.10228665113","-5381.31475528383","-7687.49655273804","-2024.38382623975","-7128.65582649996","-3657.89509438131","-6664.07584489558","-2282.12551428555","-7780.23573605375","-4470.51700296622","-6259.53742143562","-4225.6870389054","-7391.97651037132","-4486.80873019335","-8162.33382523393","-4933.03519610744","-7096.17444679816","-6691.05447950146","1245.54049055872","-2991.95814202737","-5966.11494686657","-7000.14531735886","517.960721556213","-8025.93997906272","-347.139902515413","-2270.64992565385","-6364.09803916323","-3502.49526598257","-5813.09257181","-7833.450894902","-1237.03279337068","-6766.83484921368","-225.975504777433","-3631.81026426856","-8780.87071679949","-8277.43817327154","-1352.37133587793","-9566.75759857974","213.726214839665","-8005.27836604813","628.88182441782","-10119.6522141779","481.674333095389","-11083.4686069262","-943.255835143071","-8368.52149403096","1016.88105342255","-11160.2103089347","1270.73353565358","-10779.0040384405","193.698977589137","-8385.73295020092","1288.68019734688","-8980.18056120758","-386.134102991872","-11004.6931527864","-214.992457708885"
"6","-3688.93069389458","-7238.2334332102","-4187.43859549778","-6632.96473635357","-3703.94167090419","-7953.65231340177","-6382.1089570744","-1126.97839611858","-3233.06330710018","-7532.58223367182","-2779.85355251081","-8502.98804840406","-7353.88813575042","-169.813663663877","-4130.637628037","-5597.70539686424","-5380.60305182417","-7687.05097582678","-2022.63810415221","-7127.09573241172","-3656.92804266292","-6661.99531374589","-2281.79183261314","-7779.50247576293","-4468.668675598","-6256.27161644127","-4226.37010913827","-7389.71195704431","-4486.78084608494","-8162.50040314281","-4931.6664301524","-7093.67485391407","-6687.3970881485","1244.36766515334","-2988.7728743941","-5961.0070295943","-6997.04335808231","518.685555579446","-8025.04136132449","-346.757654984394","-2267.35692593757","-6359.13122207216","-3499.84089129422","-5807.90849937504","-7829.3008459066","-1237.53835143554","-6763.30040616427","-225.985445520662","-3631.6391372971","-8781.32191027889","-8277.1837311046","-1351.28692521751","-9558.02660828525","213.793165842394","-8000.31400360348","629.308739611413","-10111.9586811768","481.637796513153","-11073.2577679125","-943.732603694667","-8369.07534204731","1017.42978618627","-11149.226661842","1270.61633123238","-10769.3070131124","194.065326411141","-8379.02227085164","1289.10973650914","-8976.23886402084","-385.502770102143","-10995.8362335508","-215.455937469714"
"7","-3688.84568579725","-7237.02806751141","-4186.88609196159","-6631.32305507173","-3703.40586859417","-7952.69545022592","-6373.3560257438","-1125.77558647696","-3231.14721335028","-7529.68198332157","-2779.60675103527","-8502.04597153417","-7352.43038562748","-169.600503491251","-4128.57088135312","-5594.33430823529","-5379.91008491007","-7686.63462290821","-2020.90504177349","-7125.56615472161","-3655.97682083468","-6659.94299542221","-2281.47011883734","-7778.80093618963","-4466.83792316101","-6253.03323290307","-4227.06839676363","-7387.47711475707","-4486.76904426837","-8162.69618798985","-4930.31575504387","-7091.20428367486","-6683.7703062158","1243.19896387308","-2985.60407367454","-5955.929540281","-6993.97347729076","519.412230524879","-8024.17429833279","-346.377026628084","-2264.07743345259","-6354.19540632287","-3497.20173403748","-5802.75194142374","-7825.18456901447","-1238.04774881796","-6759.7978372664","-225.995393610333","-3631.48260496022","-8781.80488564558","-8276.96161460932","-1350.20738756048","-9549.33661689914","213.861351252649","-7995.38488733916","629.737138424507","-10104.3054470217","481.602307150227","-11063.0940097445","-944.210987809242","-8369.66142586884","1017.98160624765","-11138.291011367","1270.50222780265","-10759.6544127954","194.431748464088","-8372.34877006603","1289.54292349344","-8972.33282853516","-384.872870247057","-10987.0240719012","-215.919158053109"
"8","-3688.77531844583","-7235.85025874366","-4186.34972887428","-6629.70792699247","-3702.88479869592","-7951.7681364611","-6364.64032885681","-1124.57686036948","-3229.24562300331","-7526.81227541507","-2779.37263324963","-8501.13499401446","-7351.00401734688","-169.387730109102","-4126.52107507354","-5590.98824115167","-5379.23547638711","-7686.24671899239","-2019.18409878028","-7124.06614601814","-3655.04093242379","-6657.91812050981","-2281.15986905488","-7778.13019976074","-4465.02434856456","-6249.82159954006","-4227.78140864992","-7385.27134447296","-4486.77291183963","-8162.9204135111","-4928.98284104982","-7088.76205743595","-6680.17328680533","1242.0344461839","-2982.45129668254","-5950.88163784384","-6990.93474136718","520.140631528901","-8023.33793305005","-345.998023357306","-2260.81102124842","-6349.28976430259","-3494.57746250439","-5797.62228288975","-7821.10109106923","-1238.5608649622","-6756.32612661178","-226.005364487869","-3631.34024067871","-8782.31880178954","-8276.77087219452","-1349.13272089773","-9540.68718943463","213.930782194092","-7990.4902964368","630.166974383098","-10096.6920921562","481.567999639988","-11052.9767120782","-944.691001136447","-8370.27876000673","1018.53644916908","-11127.4026852171","1270.3912099133","-10750.0458100224","194.798237830526","-8365.71186941217","1289.97973553453","-8968.46186410588","-384.244433580427","-10978.2560495239","-216.382115412279"
"9","-3688.71911233928","-7234.69924653601","-4185.82901550001","-6628.11862325778","-3702.37800160662","-7950.86959091963","-6355.96070314287","-1123.38218666016","-3227.35810057448","-7523.97227184245","-2779.15083142969","-8500.25439663609","-7349.60803651448","-169.175364006864","-4124.48784113041","-5587.66641563964","-5378.57884770029","-7685.88648850809","-2017.47473488649","-7122.59475852643","-3654.11988073091","-6655.91991909549","-2280.86057933268","-7777.48934838939","-4463.22755431835","-6246.63604448982","-4228.5086514543","-7383.09400645519","-4486.79203555678","-8163.17231285248","-4927.66735797521","-7086.34749594306","-6676.60518255349","1240.87417132697","-2979.31409996491","-5945.86248080576","-6987.92621622008","520.870643677634","-8022.53140786997","-345.620651005046","-2257.55726228789","-6344.41346793267","-3491.96774466672","-5792.51890812107","-7817.0494383479","-1239.0775791424","-6752.88425795583","-226.015373635496","-3631.21161764964","-8782.86281696757","-8276.61055171727","-1348.06292301983","-9532.0778896554","214.001469676869","-7985.6295093045","630.598200960159","-10089.1181958377","481.535008467584","-11042.9052532589","-945.172657265221","-8370.92635845697","1019.09425036033","-11116.5610098431","1270.28326202336","-10740.4807760039","195.16478861914","-8359.11098949472","1290.4201496815","-8964.62537915979","-383.617490153605","-10969.5315468617","-216.844805521544"
"10","-3688.67658781361","-7233.57427010978","-4185.32346084009","-6626.55441460068","-3701.88501755486","-7949.99903188819","-6347.31598499806","-1122.19153408473","-3225.48421045811","-7521.16113403568","-2778.94097766115","-8499.40345959875","-7348.24144845009","-168.963425638786","-4122.47081117894","-5584.36805149218","-5377.93981995944","-7685.55315542283","-2015.77640992318","-7121.15104425348","-3653.21316890941","-6653.94762088699","-2280.57174577999","-7776.87746361129","-4461.44714260232","-6243.47589541542","-4229.24963169859","-7380.94446036507","-4486.82600190315","-8163.45111868759","-4926.36897521599","-7083.95991944056","-6673.06514576577","1239.71819831248","-2976.19203987516","-5940.87122742953","-6984.94696742448","521.602152021949","-8021.75386474629","-345.244915325263","-2254.31572952175","-6339.56568880596","-3489.37224823624","-5787.44120098311","-7813.02863672303","-1239.59777048115","-6749.47121487787","-226.025436577074","-3631.09630891042","-8783.4360889295","-8276.47970062554","-1346.99799152303","-9523.50828015588","214.073424592654","-7980.80180368672","631.030771583994","-10081.5833362236","481.503467946188","-11032.8790104459","-945.655969725486","-8371.60323484355","1019.65494508577","-11105.7653105752","1270.17836851127","-10730.9588807239","195.531394965659","-8352.54555004987","1290.86414279635","-8960.82278128792","-382.992069910157","-10960.8499432369","-217.307224378217"
