"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","81.0822010289399","6312.36053002601","-2205.16017627289","7850.67564925313","-2137.49702414968","-8727.66471466339","-2237.0373595584","-6488.56147069713","-2210.80581837245","-5609.78537965978","-1895.1352315178","5442.35544618025","-16.4817215397262","8954.96226508823","-3728.41688150039","-8024.81017006364","-2508.93733261395","-7538.03515428989","746.069948950083","6182.31902045541","-1857.47668794251","6046.01912411314","1754.84600314078","6620.67178254685","-3042.98949368579","-6766.64739746279","-3083.76480929594","-4696.86777487466","-1279.37762500561","-5833.81728483064","408.241657298959","5195.45973666256","-540.816641101463","5578.69348112617","-4051.16503573101","-5456.00401488512","-4380.01364516014","-7780.20608829766","-3681.12741242929","-4708.90200420361","1186.55356422017","5378.06775700986","768.500245279478","8606.55846644141","-5458.21369030732","-7148.08383644222","-4423.08552773503","-4461.29955687416","-3464.45137160871","-6200.21327923492","2072.70734130438","5124.73962875017","-1188.7731398984","-6637.60531188611","401.083784826493","7055.98634342232","-928.35048932477","9559.92814416188","-4937.18522406145","-5855.59274637257","-1904.00317406964","9355.00496521866","-671.296381720085","8062.51180661521","-3486.26122601084","-9041.30715423468","-4042.67946803887","-6573.5189872327","-1480.56353041802","-7322.17967394948","1052.18411138514","6825.71709997053","-1075.06189695839","6422.8668574684","-2853.92955886181","-5482.94715798373"
"2","81.4905835969644","6309.4827447256","-2210.19008054779","7841.70334301118","-2136.66453142043","-8724.55065971204","-2233.46277867482","-6483.33793159934","-2207.36134456258","-5603.92749816294","-1895.28959957944","5433.94957298768","-15.6570312684262","8951.4436605045","-3726.58696792142","-8021.31728459642","-2506.09862556482","-7534.12344430455","746.144458786754","6178.73247485381","-1857.78801213727","6043.36861035376","1755.42832751194","6615.3584080246","-3041.01689538621","-6763.08248523525","-3079.59439163586","-4688.77979235477","-1274.92882474237","-5826.83275605179","407.978655015761","5189.07296182986","-541.653206088147","5574.76976782345","-4050.01372043788","-5452.14855973611","-4378.79871409846","-7776.63041216715","-3677.2297104751","-4701.6708857255","1187.62687679226","5369.19069240092","768.423545184099","8602.71040796404","-5457.98424727678","-7145.00577286668","-4423.13154262856","-4462.02043587947","-3463.6270568892","-6197.50465509328","2074.16812499344","5115.99792003909","-1187.00614222224","-6633.33017983425","401.219603344218","7054.40869886127","-929.150888157459","9556.81773971193","-4936.23881063185","-5853.8281789941","-1903.93892269773","9349.73368787352","-671.693110537934","8060.62424397555","-3484.62389870552","-9038.96523608293","-4042.64991367669","-6572.08848161704","-1479.06264532899","-7319.33788952326","1052.14852235997","6822.36853804354","-1074.88201021303","6418.6958361001","-2852.45423750843","-5478.96598395356"
"3","81.8991567182663","6306.63611692243","-2215.22032278238","7832.77388555147","-2135.84295132684","-8721.47445585366","-2229.90200634548","-6478.14857777447","-2203.93275455322","-5598.10271591082","-1895.4488183662","5425.5774302487","-14.8327782840698","8947.96499211553","-3724.7740488575","-8017.86117092495","-2503.27391830399","-7530.24685610477","746.221306740908","6175.17751371399","-1858.10441563843","6040.75055241568","1756.01550947661","6610.08059756342","-3039.06030455498","-6759.55140404595","-3075.44091295027","-4680.72372182428","-1270.49048018876","-5819.88079717723","407.7185647081","5182.71578025399","-542.488134001717","5570.87685158351","-4048.88199539154","-5448.32305506153","-4377.60228133135","-7773.08852992296","-3673.35132564813","-4694.4704666803","1188.70195431797","5360.34765059443","768.348064924317","8598.90258001406","-5457.77608541697","-7141.95860833991","-4423.19449836606","-4462.76163571393","-3462.81874489359","-6194.82711431644","2075.63351894636","5107.28763922724","-1185.24813158815","-6629.08945447817","401.356293208484","7052.8642674861","-929.954448168689","9553.74876002417","-4935.31257699671","-5852.08942676877","-1903.8801733316","9344.50534325078","-672.09177734207","8058.77221227876","-3483.00326452577","-9036.66028005863","-4042.63810129367","-6570.68799202002","-1477.57208478361","-7316.53059042896","1052.11550659956","6819.0528446038","-1074.70483219144","6414.5573101632","-2850.99332924514","-5475.01463390773"
"4","82.3078875024178","6303.81985800562","-2220.25092813045","7823.88645866323","-2135.03195752344","-8718.43530753862","-2226.35478116166","-6472.99263251121","-2200.51973765714","-5592.31017264819","-1895.61284639853","5417.23827736995","-14.0090080642366","8944.52536034095","-3722.97776153502","-8014.44098971277","-2500.46288822908","-7526.40461418067","746.300461783272","6171.65329798122","-1858.42586708234","6038.1640062334","1756.60748795561","6604.83745532629","-3037.11934580345","-6756.05327908951","-3071.30399804229","-4672.69885141687","-1266.06240342105","-5812.96077901476","407.46133727153","5176.38755350275","-543.321442050905","5567.01378680663","-4047.76938071902","-5444.52668604241","-4376.423898572","-7769.57981145741","-3669.49182618449","-4687.29996518151","1189.77871626772","5351.5379278615","768.273869232405","8595.13399326611","-5457.58873624677","-7138.94170962673","-4423.27400806305","-4463.52259486538","-3462.02601345182","-6192.17978626775","2077.10346214363","5098.60823558517","-1183.49860441814","-6624.88226179527","401.493833894386","7051.35217177971","-930.76107814159","9550.7202801404","-4934.40607623505","-5850.375909255","-1903.8268580483","9339.31900977587","-672.492319674707","8056.95486349183","-3481.39893149805","-9034.39150143724","-4042.64352683739","-6569.31674162424","-1476.09151770595","-7313.75691722064","1052.08509997672","6815.7692294451","-1074.53037841287","6410.450494534","-2849.54639511716","-5471.0922625017"
"5","82.7167430179069","6301.03317839221","-2225.28192171239","7815.04024279661","-2134.23122337327","-8715.43241794927","-2222.82084138065","-6467.86931808229","-2197.12198273319","-5586.54900721451","-1895.78164195522","5408.93137288327","-13.1857661752785","8941.12386426005","-3721.19774261933","-8011.05590042163","-2497.66521235748","-7522.5959419027","746.381892840433","6168.15898769446","-1858.75233484269","6035.60802674749","1757.20420163985","6599.62808450932","-3035.19364309184","-6752.58723451016","-3067.1832711264","-4664.70446843663","-1261.64440627113","-5806.07207135118","407.206923445633","5170.08764229411","-544.153147448942","5563.17962710333","-4046.67539587163","-5440.75863705479","-4375.26311692227","-7766.10362548422","-3665.6507795979","-4680.15859854949","1190.85708208212","5342.76081950681","768.201022728738","8591.40365699521","-5457.42173050844","-7135.95444246659","-4423.36968415958","-4464.30275129764","-3461.24843985845","-6189.56179941194","2078.57789338887","5089.95915744484","-1181.75705708285","-6620.70772672491","401.632204848118","7049.87153315783","-931.570686725904","9547.73137367955","-4933.51886058545","-5848.68704526","-1903.77890866919","9334.17376445517","-672.89467494085","8055.17134840716","-3479.81050711074","-9032.15811422037","-4042.66568571348","-6567.97395271051","-1474.6206127556","-7311.0160094354","1052.057338342","6812.51690132432","-1074.35866420601","6406.37460308292","-2848.11299567322","-5467.19802360825"
"6","83.1256902981944","6298.27528765125","-2230.31332860287","7806.23441720243","-2133.44042199793","-8712.46498913406","-2219.29992497399","-6462.77785587281","-2193.73917823876","-5580.81835768966","-1895.95516308726","5400.65597458326","-12.3630982679919","8937.75960176495","-3719.43362827902","-8007.70506145003","-2494.88056738172","-7518.82006165172","746.465568799266","6164.69374212465","-1859.08378703397","6033.08166804956","1757.80558899914","6594.45158749415","-3033.28281979016","-6749.15239354455","-3063.07835589714","-4656.73985948324","-1257.23630036528","-5799.2140430615","406.955273818536","5163.81540661056","-544.983267418588","5559.37342545216","-4045.59955969968","-5437.01809180036","-4374.11948695316","-7762.65933964519","-3661.82775275457","-4673.04558344826","1191.93697118816","5334.0156199947","768.129589911695","8587.71057923537","-5457.27459824588","-7132.99617168319","-4423.48113848157","-4465.10154252607","-3460.48560094547","-6186.97228145062","2080.05675131845","5081.33985229913","-1180.02298599042","-6616.56497331425","401.771385495684","7048.42147210426","-932.383182449715","9544.78111299463","-4932.65048151725","-5847.02225293714","-1903.73625677672","9329.06868303666","-673.298780421569","8053.42081678015","-3478.23759837745","-9029.95933127531","-4042.70407286451","-6566.65884678066","-1473.15903837631","-7308.30700573309","1052.03225751831","6809.29506808956","-1074.18970470833","6402.32884880366","-2846.69269103943","-5463.33107046032"
"7","83.5346963477731","6295.54539462714","-2235.34517381853","7797.468160071","-2132.65922632739","-8709.53222214061","-2215.79176967524","-6457.71746650776","-2190.3710122819","-5575.1173615388","-1896.1333676316","5392.41133966409","-11.541050073256","8934.43166971298","-3717.68505424976","-8004.38763027092","-2492.10862972451","-7515.07619494821","746.551458511297","6161.25671991225","-1859.42019151494","6030.5839835265","1758.4115882909","6589.30706599949","-3031.38649873884","-6745.74787866375","-3058.98887559726","-4648.80431057633","-1252.83789716268","-5792.3860622174","406.70633883139","5157.57020581282","-545.811819197206","5555.59423435664","-4044.54139052664","-5433.30423343645","-4372.99255878486","-7759.24632061602","-3658.02231194764","-4665.9601360215","1193.01830301543","5325.30162307445","768.059635147561","8584.05376693733","-5457.14686888246","-7130.0662612935","-4423.6079823018","-4465.91840569256","-3459.7370731546","-6184.41035945708","2081.53997441102","5072.74976690053","-1178.2958876751","-6612.45312486322","401.911355251597","7047.00110830529","-933.198473731121","9541.86856932882","-4931.80048980135","-5845.38094988265","-1903.6988337309","9324.00284016979","-673.704573287225","8051.70241746589","-3476.67981189982","-9027.79436447364","-4042.75818284837","-6565.37064467978","-1471.7064628443","-7305.62904403519","1052.00989329561","6806.10293680754","-1074.02351486532","6398.31244394152","-2845.28504099283","-5459.49055579311"
"8","83.9437281482268","6292.84270756231","-2240.37748230567","7788.74064866987","-2131.88730914954","-8706.63331714806","-2212.29611302752","-6452.68736997873","-2187.01717267299","-5569.4451557565","-1896.31621322479","5384.19672485538","-10.719667397639","8931.13916407798","-3715.95165589777","-8001.10276356847","-2489.3490755934","-7511.36356258067","746.639530797013","6157.84707920403","-1859.76151589195","6028.11402600391","1759.02213756877","6584.19362123168","-3029.50430230894","-6742.37281171448","-3054.91445308553","-4640.89710727902","-1248.44900799362","-5785.58749619487","406.460068782778","5151.35139875274","-546.638820041875","5551.84110600141","-4043.50040622291","-5429.61624470513","-4371.88188216634","-7755.8639342115","-3654.23402297118","-4658.90147202778","1194.10099701226","5316.61812190469","767.99122266042","8580.43222612529","-5457.03807129836","-7127.16407461597","-4423.74982640064","-4466.75277764007","-3459.00243260936","-6181.87516001021","2083.027500997","5064.18834735912","-1176.57525888562","-6608.37130406869","402.052093527543","7045.60956078338","-934.016468889834","9538.99281297047","-4930.96843558055","-5843.76255323165","-1903.66657068584","9318.97530956413","-674.111990610678","8050.01529855503","-3475.13675393009","-9025.66242482905","-4042.82750991626","-6564.10856671762","-1470.26255431633","-7302.98126166272","1051.99028142538","6802.93971389013","-1073.86010942975","6394.32460012097","-2843.88960503456","-5455.67563198544"
"9","84.3527526642889","6290.16643421902","-2245.41027892792","7780.05105948061","-2131.12434315943","-8703.7674735984","-2208.81269243059","-6447.68678576971","-2183.67734697606","-5563.80087700987","-1896.50365731659","5376.01138655721","-9.89899611897182","8927.88118010069","-3714.23306828281","-7997.84961737403","-2486.60158103518","-7507.68138473313","746.72975445011","6154.46397778899","-1860.10772752221","6025.67084788874","1759.63717469114","6579.11035403437","-3027.6358524621","-6739.02631405939","-3050.85471090419","-4633.01753482069","-1244.06944409745","-5778.81771178112","406.216413833071","5145.15834388552","-547.464287234553","5548.11309240756","-4042.47612427914","-5425.95330806164","-4370.78700655446","-7752.51154548983","-3650.46245119377","-4651.86880697497","1195.18497266175","5307.96440917696","767.924416522059","8576.84496205276","-5456.94773390743","-7124.28897437804","-4423.90628112626","-4467.60409498663","-3458.28125518663","-6179.3658093278","2084.5192692679","5055.65503923976","-1174.86059667316","-6604.31863316778","402.193579741003","7044.24594802992","-934.837076158713","9536.15291340721","-4930.15386843951","-5842.16647975356","-1903.63939860604","9313.98516414713","-674.520969380454","8048.35860750886","-3473.60803043312","-9023.56272263425","-4042.91154809026","-6562.87183278926","-1468.82698087758","-7300.36279547346","1051.97345761513","6799.80460522018","-1073.69950296081","6390.36452847245","-2842.50594246268","-5451.88545120031"
"10","84.7617368498981","6287.51578200044","-2250.44358845404","7771.39856833447","-2130.37000100823","-8700.93389032698","-2205.34124518755","-6442.71493298208","-2180.35122255966","-5558.18366178092","-1896.69565718345","5367.8545809742","-9.07908218189106","8924.65681243816","-3712.52892622083","-7994.6273472011","-2483.86582198977","-7504.02888111182","746.822098241695","6151.10657323351","-1860.45879351696","6023.25350131107","1760.25663732956","6574.05636503729","-3025.78077081002","-6735.70750671659","-3046.80927134594","-4625.16487821874","-1239.69901666024","-5772.07607528065","405.975324008726","5138.9903993811","-548.28823808728","5544.40924558715","-4041.46806187901","-5422.31460580197","-4369.70748119264","-7749.18851885612","-3646.70716163159","-4644.86135625379","1196.27014949785","5299.33977723839","767.859280641861","8573.29097935743","-5456.87538473351","-7121.44032282292","-4424.07695645458","-4468.47179419884","-3457.57311658783","-6176.88143339888","2086.01521728561","5047.14928765849","-1173.15139847905","-6600.29423408026","402.335793323848","7042.90938813728","-935.660203695223","9533.34793947904","-4929.35633747426","-5840.59214594689","-1903.61724828265","9309.03147622073","-674.931446513875","8046.73149129344","-3472.09324714808","-9021.49446759693","-4043.00979124035","-6561.65966249508","-1467.39941058913","-7297.77278199813","1051.9594575228","6796.69681627643","-1073.54170982331","6386.43143975827","-2841.13361244465","-5448.11916552457"
