"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","1452.20942423117","6984.8903578392","-1973.9025606204","8682.10561099278","-1651.70348461372","-9183.50522231225","1080.24845322745","-5498.6579388494","-372.750040705721","-5659.91192333097","431.570524073964","5445.22370303629","965.104347823689","6255.62725241696","-1226.72287463599","-7395.12999245751","73.0072493739326","-7618.09962253145","1621.18199024662","-5359.64289868985","-1789.62124524405","7179.2511480757","-242.765623758838","-8164.67767115113","-243.2553057089","-6392.18111852688","607.491885564007","-6113.45359334454","727.409399277882","6919.57467343514","1809.10153135031","5712.04891885163","26.5748412939359","5900.07106156611","-1077.79931414207","-6041.23799048355","-1597.49709981892","-5611.79270190191","437.311027384539","7106.08272440829","1113.09191860225","5460.84096903746","1538.58360573867","-8692.46013248639","-1836.42039239106","-7055.45241828005","-493.511901344683","-7195.62915928222","656.246062224336","-8079.83951771011","489.815854938431","-5490.23651342943","-444.34708702225","6711.89875174678","2108.86004446349","-6153.06564353269","-1198.55859765219","8478.06299123582","-1859.03508626999","-8249.29761566088","47.3064567475012","7866.54413899192","-714.348889546725","6158.33436711044","-1835.2771419968","5506.76830241483","1215.61112701434","-6359.33247220563","-218.888502070713","7291.46462987751","-1311.06251286224","5730.64388298256","-505.974508854583","5464.28194362288","441.346414876866","-6713.48997455812"
"2","1454.08599073063","6983.77394690154","-1976.43874070781","8680.52865171148","-1651.96376824054","-9184.62386377077","1079.3684335426","-5497.61903705038","-373.137198637003","-5659.65218329334","432.121474102426","5444.96369098998","965.07487728532","6255.69349820439","-1226.94079525339","-7395.26061344212","73.2564887009874","-7619.17232102609","1621.09301927282","-5358.85844882366","-1790.47075433985","7179.32884535821","-243.38957185173","-8165.95994644314","-243.752440548733","-6393.42435085349","607.460767446809","-6114.40926109866","727.896400024346","6921.19811596183","1810.65806589633","5709.16253015263","26.8151171730933","5899.75757366563","-1078.18899876149","-6041.80104427458","-1597.07719405827","-5611.66306243562","437.568684483865","7107.61664140155","1113.73750925553","5459.90894652445","1539.44685866203","-8689.92671869811","-1836.89215950377","-7056.29188696994","-493.409136650439","-7196.4058466378","656.535721431737","-8080.30925135111","488.80700793941","-5488.72345810375","-444.731512761311","6713.28609639207","2108.87367667227","-6153.27542446103","-1198.61964810982","8478.51352858498","-1859.42504595752","-8250.4845179622","47.3292121092231","7867.137623382","-715.047222889787","6157.63369654845","-1835.11648624065","5507.19451688213","1214.09664232429","-6359.95594387594","-219.142142350641","7293.01488222754","-1311.2172542345","5730.70608618972","-505.831884682212","5465.38572545796","441.099675937012","-6715.1042510924"
"3","1455.96523989745","6982.69040338609","-1978.97699781307","8678.99169252656","-1652.22977630959","-9185.77802459546","1078.49280135288","-5496.61065448296","-373.525666016848","-5659.42343715417","432.673520293548","5444.73250257241","965.047685048762","6255.79091377646","-1227.16280436144","-7395.42461980581","73.5053395968025","-7620.27752220929","1621.00835470723","-5358.10306833728","-1791.32553181571","7179.43851320116","-244.013462119821","-8167.27572860355","-244.249830013826","-6394.69735760819","607.431088120399","-6115.39529747397","728.385330143397","6922.85160773938","1812.2176620977","5706.30563436373","27.055782549495","5899.47410210126","-1078.58196877636","-6042.39332740831","-1596.66299053111","-5611.56275227435","437.828162202611","7109.18172241226","1114.3855541245","5459.00750403135","1540.31412585705","-8687.42899189609","-1837.36916726542","-7057.16280071525","-493.308025422014","-7197.21359525821","656.827050904445","-8080.81337298424","487.80041290829","-5487.24250225813","-445.11763936374","6714.70541255529","2108.89372015262","-6153.51424420276","-1198.68510564852","8478.99878065106","-1859.82128059819","-8251.70596377448","47.3517621194585","7867.76176158232","-715.747462648467","6156.96323250912","-1834.9596956877","5507.64824329404","1212.58639626096","-6360.60907168756","-219.395556420121","7294.59561408889","-1311.37510783182","5730.79840610524","-505.690018238315","5466.51795667486","440.85406531772","-6716.7486819196"
"4","1457.84711625459","6981.63884209409","-1981.51740324071","8677.49372780291","-1652.50142349905","-9186.96694840451","1077.62153399971","-5495.63179244892","-373.915419907175","-5659.22469921814","433.226586149364","5444.52918180594","965.022795534735","6255.9185389565","-1227.3888148315","-7395.62113011319","73.7537938054011","-7621.4144116495","1620.9279630114","-5357.37579806829","-1792.18542471667","7179.57934298098","-244.637339398646","-8168.62420835248","-244.747439218519","-6395.99928012623","607.402813101696","-6116.41075680861","728.876131343245","6924.53440105585","1813.78028141551","5703.47742875592","27.2968332039913","5899.21984111427","-1078.97817637481","-6043.0139679967","-1596.25436816661","-5611.49074981239","438.089376844016","7110.7771899531","1115.03600525207","5458.13558688884","1541.1853059208","-8684.96636651508","-1837.8513360661","-7058.06426181001","-493.208554820568","-7198.05163977127","657.12002744561","-8081.35101800975","486.796073658707","-5485.79267320015","-445.505425537445","6716.15585522093","2108.92012640277","-6153.78129386084","-1198.75493959538","8479.51787962681","-1860.2236907362","-8252.96113182577","47.3741027368295","7868.41602327437","-716.449566175238","6156.32214322763","-1834.80681519068","5508.1286843176","1211.08047320475","-6361.29098664439","-219.64878397457","7296.20615565295","-1311.53600282499","5730.91985827047","-505.54892998838","5467.67760331437","440.609624410162","-6718.42248805094"
"5","1459.73156411805","6980.61837682088","-1984.06002812825","8676.03375068453","-1652.77862426395","-9188.1898776502","1076.75460853759","-5494.68145152102","-374.306437322151","-5659.05498277447","433.78059514376","5444.3527718226","965.000232967496","6256.07541267391","-1227.61873934961","-7395.84926188031","74.0018431004521","-7622.58217394297","1620.8518104405","-5356.67567811029","-1793.05027983907","7179.75052512524","-245.261248575045","-8170.0045753603","-245.245233297947","-6397.32925888668","607.375907769187","-6117.45469262637","729.368745308427","6926.24574725025","1815.34588513523","5700.67710976936","27.5382648935826","5898.99398389608","-1079.37757355227","-6043.66209335183","-1595.85120566305","-5611.44603272163","438.352244635982","7112.40226550247","1115.68881453189","5457.29213968817","1542.06029721238","-8682.53825580055","-1838.33858615719","-7058.99537159935","-493.11071195824","-7198.91921386817","657.414627787641","-8081.92132069258","485.793993940044","-5484.37299715156","-445.894829866622","6717.63657833461","2108.95284665238","-6154.0757637019","-1198.8291189574","8480.06995660682","-1860.6321767003","-8254.24919974746","47.3962299805952","7869.09987714659","-717.153490728271","6155.70959601627","-1834.65788934142","5508.63504192653","1209.57895735517","-6362.00081886579","-219.901864616505","7297.84583621763","-1311.69986816827","5731.06945744154","-505.408640343333","5468.86363065869","440.366394465444","-6720.124889484"
"6","1461.61852760172","6979.62812048863","-1986.60494343722","8674.61075324564","-1653.06129284571","-9189.44605372628","1075.89200174018","-5493.75863168322","-374.698695229679","-5658.91330023648","434.335470737293","5444.20231500154","964.980021371151","6256.26057309895","-1227.85249043228","-7396.10813170243","74.2494792869943","-7623.77999282636","1620.77986305373","-5356.00174795486","-1793.9199437594","7179.9512492279","-245.885234579096","-8171.4160183622","-245.743177412273","-6398.68643362719","607.350337373101","-6118.52615776359","729.863113710209","6927.98489680518","1816.91443437438","5697.9038731415","27.7800733483468","5898.79572269913","-1079.78011211949","-6044.33683010526","-1595.45338151278","-5611.42757810102","438.616681744962","7114.05616960621","1116.34393371584","5456.47610643485","1542.93899787614","-8680.14407190422","-1838.83083766623","-7059.95523060546","-493.014483900945","-7199.81555040917","657.710828599073","-8082.52341428912","484.794177444031","-5482.98249938554","-446.285810814532","6719.14673490838","2108.99183187286","-6154.39684327168","-1198.90761242756","8480.65414171951","-1861.04663861878","-8255.56934418491","47.4181399332768","7869.81279096561","-717.859193477103","6155.12475738414","-1834.51296246704","5509.16651750693","1208.0819327234","-6362.73769770655","-220.154837848928","7299.51398427068","-1311.86663261545","5731.24621772487","-505.269169659338","5470.07500337511","440.124416590678","-6721.85510529887"
"7","1463.50795062216","6978.66718527826","-1989.15221994412","8673.22372664085","-1653.3493432816","-9190.73471707446","1075.03369010646","-5492.86233247018","-375.092170552851","-5658.79866328032","434.891136391982","5444.07685310587","964.962184565938","6256.47305777679","-1228.08998044231","-7396.39685538102","74.4966942031649","-7625.00705128857","1620.71208672481","-5355.35304663291","-1794.79426286304","7180.18070416369","-246.509342376032","-8172.8577252721","-246.241236750903","-6400.06994345796","607.326067045564","-6119.62420449534","730.359178216939","6929.75109943872","1818.48589009012","5695.15691403445","28.022254268363","5898.62424894713","-1080.18574371038","-6045.0373043267","-1595.06077402695","-5611.43436262532","438.882604289796","7115.73812197856","1117.0013144215","5455.68643070165","1543.82130586466","-8677.78322597877","-1839.3280106116","-7060.9429386528","-492.919857671126","-7200.73988152868","658.008606491386","-8083.15643117337","483.796627811288","-5481.62020436324","-446.67832672625","6720.68547712527","2109.03703278765","-6154.74372150967","-1198.99038839083","8481.26956425824","-1861.46697643424","-8256.92074090731","47.4398287432731","7870.55423164661","-718.566631508282","6154.5667931562","-1834.37207862595","5509.72231196225","1206.58948312471","-6363.50075187611","-220.40774306875","7301.20992757242","-1312.03622473589","5731.44915271199","-505.13053823759","5471.31068565877","439.883731745064","-6723.61235375367"
"8","1465.39977690338","6977.73468276059","-1991.70192823137","8671.8716612544","-1653.64268941408","-9192.05510729019","1074.17964986673","-5491.99155310592","-375.486840171379","-5658.71008298311","435.447515586059","5443.97542741883","964.946746164506","6256.71190376078","-1228.33112160445","-7396.71454804988","74.7434797219342","-7626.26253168177","1620.6484471523","-5354.72861285529","-1795.67308337285","7180.43807820183","-247.133616958157","-8174.32888329569","-246.73937653669","-6401.478926975","607.30306181075","-6120.74788466077","730.856880504336","6931.54360419572","1820.06021308677","5692.43542716161","28.2648033206303","5898.47875334448","-1080.59441978985","-6045.76264164193","-1594.67326136016","-5611.46536269305","439.149928355514","7117.44734160253","1117.66090813948","5454.92205578075","1544.70711896174","-8675.45512827167","-1839.83002491714","-7061.95759499253","-492.826820250471","-7201.69143873952","658.307938025798","-8083.81950296206","482.801348637802","-5480.28513586963","-447.072335831405","6722.25195644316","2109.08839988238","-6155.11558686317","-1199.07741493009","8481.91535281162","-1861.89308991826","-8258.30256491668","47.4612926274667","7871.32366532314","-719.275761830961","6154.03486859146","-1834.23528160402","5510.30162581754","1205.10169217084","-6364.28910955713","-220.66061956024","7302.93299323761","-1312.20857293055","5731.67727561353","-504.992766324093","5472.56964137493","439.64438073596","-6725.39585237927"
"9","1467.29394998161","6976.82972402666","-1994.25413867822","8670.5535468484","-1653.94124489999","-9193.40646322751","1073.32985698856","-5491.14529264165","-375.882680922992","-5658.64656996019","436.004531828687","5443.8970788792","964.933729568165","6256.97614774497","-1228.57582602102","-7397.06032430059","74.9898277528439","-7627.54561583171","1620.58890986982","-5354.12748515247","-1796.55625137773","7180.72255911889","-247.758103336741","-8175.82867904272","-247.237562030132","-6402.91252237271","607.281286595013","-6121.89624978779","731.356162265727","6933.36165953829","1821.6373640233","5689.73860691355","28.5077161359865","5898.35842598515","-1081.0060916616","-6046.51196735002","-1594.29072153501","-5611.51955457367","439.418570007097","7119.18304682938","1118.32266624082","5454.18192483506","1545.59633480532","-8673.15918821823","-1840.33680042655","-7062.9982984262","-492.735358582585","-7202.66945303647","658.60879972001","-8084.51176063918","481.808343481345","-5478.97631714851","-447.467796246902","6723.84532369783","2109.14588341481","-6155.51162740049","-1199.16865983197","8482.59063539301","-1862.32487868584","-8259.7139905561","47.4825278738187","7872.12055741613","-719.986541382465","6153.52814850059","-1834.10261491048","5510.90365932305","1203.61864326234","-6365.10189852323","-220.913506488519","7304.68250781674","-1312.38360544793","5731.92959939251","-504.855874109429","5473.85083420027","439.406404214962","-6727.20481807347"
"10","1469.19041320997","6975.95141981733","-1996.80892145165","8669.2683727101","-1654.24492321972","-9194.78802310317","1072.48428718277","-5490.32255009292","-376.27966960482","-5658.60713450173","436.562108674641","5443.84084821599","964.923157963133","6257.26482619579","-1228.82400568746","-7397.43329830705","75.2357302437511","-7628.85548514715","1620.53344025624","-5353.54870201369","-1797.44361286096","7181.03333431091","-248.382846533914","-8177.35629863844","-247.735758533552","-6404.36986755566","607.260706237008","-6123.06835121692","731.85696522222","6935.20451343563","1823.2173034208","5687.06564748313","28.7509883060252","5898.2624564607","-1081.42071047586","-6047.28440653973","-1593.91303246647","-5611.59591455402","439.688445303192","7120.94445547751","1118.98653998429","5453.46498104878","1546.48885091021","-8670.89481453386","-1840.84825691774","-7064.06414742864","-492.645459575628","-7203.67315499904","658.911168054914","-8085.2323346795","480.817615867832","-5477.69277103676","-447.864665979617","6725.46472920532","2109.20943342474","-6155.9310309235","-1199.26409059274","8483.29453956909","-1862.76224220983","-8261.15419161706","47.5035308439534","7872.94437270225","-720.698927033808","6153.04579736261","-1833.97412177392","5511.52761255709","1202.14041958071","-6365.93824625607","-221.166442893077","7306.45779737646","-1312.56125039996","5732.20513689677","-504.719881728521","5475.15322776363","439.169842673981","-6729.03846719437"
