"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","1724.35593931464","-9588.92886207565","-5728.040766915","-7675.42746485235","-2450.72816089504","-9442.71574645655","-565.880811904209","-8747.84703890209","-3440.53439697592","-9273.54360771566","570.547094100296","-8754.38699899737","-1663.91990606692","-8539.54608762788","-5118.71975883041","-9355.46275922619","-4235.12186394203","-8966.36635604713","-4849.89862618548","-8392.65548661225","-3458.00047960024","-9930.65033601464","2033.66601293538","-8525.70817458981","-4042.62011557307","-10493.1063162075","-6012.36872335199","-9767.43457613296","-6839.20038873381","-12135.3310842906","-1544.16819106629","-10344.8021377826","326.658998194273","-10336.9797646304","-2892.27031003636","-8640.15491863499","-5193.15125494527","-7351.2234458429","-4250.87428508506","-9664.6273029916","-4707.4070601402","-7691.64168152385","-5247.95021406903","-10040.1737874577","-3685.68757881731","-7778.79856610046","-317.611155420513","-9364.77552311495","910.517406339531","-11635.0196020325","1018.99973623753","-11694.0518035797","-5943.92250259689","-8378.31496499319","-4728.17186378068","-11237.3150833537","-7733.6631558652","-11703.7789838131","-122.406017873515","-11589.4623942553","348.82994200708","-9509.17976503056","-1089.72586976117","-11891.0565159308","-668.956788742946","-10578.57071126","522.69376062669","-13483.0005207058","-7344.17276003109","-11412.943453945","1236.59591622089","-12476.7942600987","1868.86824942681","-12961.332557545","-1053.25507008605","-13884.2484734059"
"2","1723.99683975284","-9589.53900780085","-5727.86783414638","-7675.77596247099","-2450.65910927598","-9442.64244486193","-565.600767579715","-8748.55939521706","-3441.11781552932","-9273.35840426076","570.852298128023","-8754.02807718563","-1664.50451732523","-8538.80793076616","-5117.96124124711","-9355.22776009821","-4234.97409284263","-8967.17065367488","-4849.58157025845","-8392.98074645192","-3457.92988699297","-9932.13915795089","2033.64718428784","-8524.11001344495","-4042.88684805488","-10493.0636941037","-6012.40248696348","-9767.80002623957","-6833.74423673145","-12127.9114001652","-1544.74227504012","-10346.0154554936","325.92176049835","-10337.5581383218","-2892.56722068622","-8639.51767458572","-5193.84544286045","-7351.40219740446","-4251.47770958598","-9665.95088513011","-4706.74201098347","-7691.43605280789","-5248.18172163415","-10040.6814958147","-3686.09157734523","-7778.91402445136","-316.914500414496","-9365.49086798752","910.992821078928","-11622.6403066376","1018.44508614244","-11695.4430326147","-5943.79727422775","-8379.54001500011","-4728.84278962085","-11238.7432983491","-7730.01781472051","-11697.9607542279","-121.729692308801","-11590.5508427553","349.080718294879","-9510.05469605784","-1089.03642261224","-11878.9529244667","-668.688392137201","-10579.2784534121","523.542693724121","-13471.717097837","-7339.99276960664","-11403.8881613695","1237.0413250457","-12465.1430058008","1868.68256697374","-12949.5475386403","-1053.29901840542","-13875.066110405"
"3","1723.64267000965","-9590.18888058335","-5727.71643250209","-7676.15684920448","-2450.60119483005","-9442.60612426369","-565.322820080467","-8749.30944938423","-3441.71608187658","-9273.20953999605","571.158785820762","-8753.70774839007","-1665.0948227012","-8538.1067494746","-5117.22287718823","-9355.02988767721","-4234.84293784735","-8968.00981630477","-4849.28328279161","-8393.34193778491","-3457.87263518261","-9933.66593740741","2033.63447996933","-8522.55186629684","-4043.16879921353","-10493.060594558","-6012.45924464107","-9768.20313134485","-6828.31665078866","-12120.539659169","-1545.32052658575","-10347.2675140854","325.185472904861","-10338.1775777074","-2892.87538133867","-8638.91507967036","-5194.5603004207","-7351.612008024","-4252.09656953379","-9667.3111329549","-4706.09710584573","-7691.26390887405","-5248.43268753194","-10041.2268646873","-3686.51152178931","-7779.06182961891","-316.219375078649","-9366.24437523069","911.470992187934","-11610.3141131019","1017.89409282359","-11696.8775265421","-5943.69435087275","-8380.79801169086","-4729.53250398798","-11240.2131799746","-7726.40374590803","-11692.1890169497","-121.053816015694","-11591.6821865023","349.332248557489","-9510.96897027166","-1088.35102968687","-11866.903311361","-668.4220455344","-10580.0278897106","524.392518648379","-13460.4908605361","-7335.84199681376","-11394.8807058498","1237.49038316037","-12453.5468569553","1868.50178025103","-12937.8200406688","-1053.34565215953","-13865.9392687943"
"4","1723.29339767948","-9590.87749312281","-5727.5861647824","-7676.56932747622","-2450.55412205011","-9442.60593656223","-565.046940700219","-8750.09619471225","-3442.32875072793","-9273.0961624856","571.466570498869","-8753.42502390878","-1665.69072724862","-8537.44161402056","-5116.50426936736","-9354.86827240105","-4234.72807267484","-8968.8830341298","-4849.00347193724","-8393.73814055762","-3457.82837823622","-9935.22977753102","2033.62780835928","-8521.03263090594","-4043.46562711816","-10493.0961621913","-6012.53847691165","-9768.64303494724","-6822.91733298815","-12113.215312877","-1545.90294608341","-10348.5574969127","324.450194368206","-10338.837085439","-2893.19453382109","-8638.34634304252","-5195.29534685441","-7351.85209930661","-4252.73054274605","-9668.70725334841","-4705.47188496511","-7691.12436004018","-5248.70266098181","-10041.8091124639","-3686.94695049906","-7779.24112499134","-315.525766422147","-9367.03514467614","911.951865161162","-11598.0403633288","1017.34673574658","-11698.354395047","-5943.61327601514","-8382.08819625528","-4730.24053464091","-11241.7238609849","-7722.82048606338","-11686.4630816963","-120.378460591922","-11592.8556128894","349.584533614215","-9511.92157196209","-1087.66965960304","-11854.9069919537","-668.157734599329","-10580.8180560047","525.243220783826","-13449.3209887628","-7331.72004990831","-11385.9205190673","1237.94300864087","-12442.0051462037","1868.32584569798","-12926.1492937938","-1053.39494340149","-13856.8672560374"
"5","1722.94899014311","-9591.60385682821","-5727.47663303617","-7677.01259870343","-2450.51759509948","-9442.64103240782","-564.773100667186","-8750.91862335376","-3442.95537635428","-9273.01741807974","571.775665402872","-8753.17891381406","-1666.292135785","-8536.81159350958","-5115.80501978547","-9354.74204348472","-4234.62917045026","-8969.78949620692","-4848.74184519119","-8394.16843357103","-3457.79676979535","-9936.82978016273","2033.6270775763","-8519.55120384297","-4043.77698933366","-10493.1695401749","-6012.63966345811","-9769.11887927875","-6817.54598427163","-12105.9378110123","-1546.48953375001","-10349.8845859357","323.715983751413","-10339.5356628423","-2893.52441961567","-8637.81067265751","-5196.05010069449","-7352.12169190368","-4253.37930653017","-9670.13845192281","-4704.86588786426","-7691.01651553753","-5248.99119052506","-10042.4274561907","-3687.39740125195","-7779.45105280016","-314.833661392197","-9367.86227495317","912.435385360109","-11585.8183973129","1016.80299420788","-11699.8727463154","-5943.55359235901","-8383.40980877992","-4730.96640868242","-11243.2744725675","-7719.26757058164","-11680.7822563611","-119.703697598575","-11594.0703077983","349.837574232334","-9512.91148414395","-1086.99228080637","-11842.9632796143","-667.895444941268","-10581.6479866452","526.094785443452","-13438.206660406","-7327.62653601097","-11377.0070308593","1238.39911939287","-12430.517204189","1868.15471953476","-12914.5345260777","-1053.44686407547","-13847.8493774995"
"6","1722.60941457758","-9592.36698196516","-5727.38743862374","-7677.48586341178","-2450.49131785698","-9442.71056133394","-564.501271152174","-8751.7757264499","-3443.59551265201","-9272.9724520541","572.086083690781","-8752.96842710046","-1666.89895290695","-8536.215756031","-5115.1247297979","-9354.65032905928","-4234.54590375701","-8970.7283905799","-4848.4981094358","-8394.6318946182","-3457.77746313152","-9938.4650459676","2033.63219549888","-8518.10648066038","-4044.10254297332","-10493.2798703683","-6012.7622832021","-9769.62980544188","-6812.20230450404","-12098.7066015624","-1547.08028963538","-10351.2479618412","322.98289981977","-10340.2723100707","-2893.86477990212","-8637.30727539971","-5196.8240798499","-7352.42000562909","-4254.04253773302","-9671.60393313616","-4704.27865342322","-7690.93948364784","-5249.29782409786","-10043.0811116935","-3687.862411322","-7779.69075424806","-314.143046880688","-9368.7248636197","912.921498020918","-11573.6475532799","1016.26284734078","-11701.4316871677","-5943.51484190535","-8384.76208835651","-4731.70965262965","-11244.8641444731","-7715.74453369967","-11675.1458471477","-119.02959855207","-11595.3254557209","350.091371126003","-9513.93768870666","-1086.31886157749","-11831.071485885","-667.635162118837","-10582.5167146303","526.947197871856","-13427.1470514573","-7323.56106118569","-11368.1396693373","1238.85863316867","-12419.082359695","1867.98835777765","-12902.9749636394","-1053.50138602779","-13838.8849365988"
"7","1722.27463796606","-9593.16587780236","-5727.31818227942","-7677.98832134922","-2450.47499396173","-9442.8136718897","-564.23142327668","-8752.66649427396","-3444.24871320733","-9272.96040874763","572.397838435376","-8752.79257183195","-1667.51108300546","-8535.65316880269","-5114.46300018101","-9354.59225630998","-4234.47794468815","-8971.69890440141","-4848.27197098232","-8395.12760062096","-3457.77011120144","-9940.1346745638","2033.64306978589","-8516.69735606279","-4044.44194475114","-10493.4262934568","-6012.90581438632","-9770.1749535456","-6806.88599253712","-12091.5211308947","-1547.67521361835","-10352.6468041628","322.251001234449","-10341.0460262585","-2894.21535560015","-8636.83535720917","-5197.61680167677","-7352.74625957466","-4254.71991279009","-9673.1029004076","-4703.70971995188","-7690.89237183962","-5249.62210910389","-10043.7692937003","-3688.34151754794","-7779.95936963611","-313.453909730803","-9369.62200729246","913.410148262087","-11561.5271678243","1015.72627412132","-11703.0303231919","-5943.49656602754","-8386.14427318974","-4732.46979248409","-11246.4920051446","-7712.25090857778","-11669.5531587043","-118.356234916117","-11596.6202398804","350.345924955153","-9514.99916656313","-1085.64937003929","-11819.230920621","-667.376871644775","-10583.4232717494","527.800443248225","-13416.1413361829","-7319.52323051756","-11359.3178610029","1239.3214675842","-12407.6999397844","1867.8267162541","-12891.4698308093","-1053.55848101789","-13829.9732349582"
"8","1721.94462710765","-9593.99955275706","-5727.26846417336","-7678.51917159901","-2450.46832685761","-9442.94951177153","-563.963528120917","-8753.58991637416","-3444.91453136037","-9272.98043169988","572.710942621486","-8752.65035528815","-1668.12843028109","-8535.1228983149","-5113.81943119834","-9354.5669516135","-4234.42496489735","-8972.70022405426","-4848.06313561297","-8395.65462776577","-3457.77436670177","-9941.83776465077","2033.659607897","-8515.32272407649","-4044.79485103382","-10493.6079490876","-6013.06973465628","-9770.75346284054","-6801.59674627243","-12084.3808438709","-1548.27430540275","-10354.0802914","321.520346546116","-10341.8558096734","-2894.57588741164","-8636.39412320735","-5198.42778304904","-7353.09967222478","-4255.41110777431","-9674.63455623184","-4703.15862526196","-7690.87428690367","-5249.96359248645","-10044.4912159615","-3688.83425640106","-7780.25603849014","-312.766236743602","-9370.5528017762","913.901281092134","-11549.4565760461","1015.19325337411","-11704.667758876","-5943.49830554644","-8387.55560070421","-4733.24635380107","-11248.157181846","-7708.78622738076","-11664.0034942568","-117.683678093676","-11597.9538423507","350.60123632438","-9516.09489779781","-1084.98377416414","-11807.4408921306","-667.120558990684","-10584.366688727","528.654506689284","-13405.1886872944","-7315.51264819001","-11350.5410308638","1239.7875401358","-12396.3692699349","1867.66975061776","-12880.0183502843","-1053.61812072934","-13821.1135725546"
"9","1721.61934862701","-9594.86701453959","-5727.23788397305","-7679.07761269207","-2450.47101983751","-9443.11722795384","-563.697556731802","-8754.54498171544","-3445.59252026879","-9273.03166378741","573.025409143239","-8752.54078410968","-1668.75089875894","-8534.6240104732","-5113.19362266628","-9354.57354067429","-4234.38663564956","-8973.73153527183","-4847.87130862254","-8396.21205163861","-3457.78988212373","-9943.57341413651","2033.6817171129","-8513.98147821794","-4045.16091789234","-10493.8239760054","-6013.25352114154","-9771.36447185323","-6796.33426272374","-12077.2851839607","-1548.87756451339","-10355.5476011364","320.79099418855","-10342.700657867","-2894.94611586249","-8635.9827778221","-5199.25654042856","-7353.47946157037","-4256.11579844457","-9676.19810229271","-4702.62490673847","-7690.88433508779","-5250.32182080019","-10045.2460913702","-3689.34016405269","-7780.5798996864","-312.080014684557","-9371.51634219205","914.394841417202","-11537.4351116868","1014.66376377807","-11706.3430977381","-5943.51960080483","-8388.99530765069","-4734.03886175894","-11249.85880079","-7705.35002135822","-11658.4961557411","-117.011999418908","-11599.3254441761","350.857305781826","-9517.2238618137","-1084.32204178098","-11795.7007073141","-666.866209591709","-10585.3459953648","529.509373252247","-13394.2882761187","-7311.52891756139","-11341.8086025486","1240.25676821705","-12385.0896741749","1867.51741636338","-12868.6197432803","-1053.68027678064","-13812.305247867"
"10","1721.29876898392","-9595.76727029697","-5727.22604090424","-7679.66284271847","-2450.48277608728","-9443.31596681899","-563.433480130879","-8755.53067882041","-3446.28223297113","-9273.11324735928","573.34125080131","-8752.46286444245","-1669.37839230364","-8534.15557074054","-5112.5851740193","-9354.61114866","-4234.36262787126","-8974.79202325772","-4847.69619485956","-8396.79894735914","-3457.81630980724","-9945.34072026401","2033.70930455545","-8512.67251166122","-4045.53980115319","-10494.0735121867","-6013.45665053636","-9772.00711851941","-6791.09823807884","-12070.2335933539","-1549.48499029191","-10357.0479101574","320.063002472241","-10343.5795678252","-2895.32578134424","-8635.60052491183","-5200.10258993481","-7353.88484522205","-4256.83366029377","-9677.79273957593","-4702.10810141074","-7690.92162223064","-5250.69634028237","-10046.0331320813","-3689.85877644124","-7780.93009157654","-311.395230290049","-9372.51172310487","914.890774048621","-11525.4621072637","1014.13778387215","-11708.0554424571","-5943.5599917414","-8390.46263021158","-4734.84684122769","-11251.5959872647","-7701.94182092421","-11653.030443934","-116.34127014913","-11600.7342254881","351.114133818049","-9518.38503747849","-1083.66414058242","-11784.0096718007","-666.613808851167","-10586.3602206834","530.365027937727","-13383.4392727657","-7307.57164124089","-11333.11999842","1240.72906913539","-12373.8604752175","1867.36966884161","-12857.2732296842","-1053.74492073608","-13803.5475580247"
