"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","-4672.91175669034","-7523.4372020939","-4259.98714516214","-8350.83961111318","-7061.48670717067","-11401.0207771352","-3435.95089814623","-8150.81638792764","-2863.44778029355","-8761.04069231916","1529.36729002622","-8634.12944867103","-647.186414112597","-10418.7148814342","1212.31416094593","-10070.2946843042","455.085021320685","-9982.71217292463","-1865.63814554884","-8962.52656223628","-1189.2083333689","-11074.6377467157","606.138452238266","-10996.0300115041","-1253.84062328892","-9275.96399653674","-4037.36475584606","-9224.68101398614","-5131.00308808658","-8214.65796183999","-6658.406504177","-12742.3663303335","-1334.09155508944","-9899.42207632339","-1765.29831447115","-10370.5076915129","1041.08582952942","-10682.6383551519","450.249471479948","-9245.93409242894","-403.092570976773","-9862.67911682089","-36.7240278782195","-12725.8489236097","-5110.4981500022","-7156.82689745878","-3926.32289228624","-10919.7322079516","191.526595544382","-8631.46238073441","-5639.95330806534","-7673.3996684362","-952.527269717896","-8541.25220374183","1351.96502440146","-9371.03360966966","659.133221462844","-7904.18949385346","748.271548559311","-11728.6975217805","-6972.53498823343","-12088.2540754624","-5825.40785924043","-9566.46096506933","-3661.51138852475","-9589.07507477387","-4498.11380973485","-10045.3173219715","-5008.00600073846","-12741.2640169116","-3668.75292278845","-10731.3259129905","-5926.32709364297","-10385.6019467605","-6040.86803711961","-8393.41048459596"
"2","-4671.63244138795","-7521.76535739687","-4258.4855422234","-8347.62612007778","-7058.03382178133","-11390.9763430509","-3434.21458716904","-8149.28395202049","-2861.9764843379","-8758.13749025257","1529.26462765302","-8633.26278384514","-646.497129419261","-10418.0297956315","1211.60944563861","-10069.5803613577","455.190567127992","-9983.27850919424","-1866.04970347385","-8958.64479300919","-1189.62682825013","-11074.8487779949","605.84779047199","-10997.3176633334","-1253.5445888099","-9275.24968528018","-4036.70174296397","-9222.76253003327","-5129.89697019582","-8212.63426853549","-6652.28053919324","-12732.9099703146","-1333.37408238017","-9900.55402415967","-1765.48137100238","-10369.1356837257","1040.75247850601","-10684.443139973","449.855018922316","-9245.74716471108","-402.552951913583","-9859.77388105114","-36.8276916267015","-12714.1328592198","-5112.37867349639","-7152.38699216459","-3922.41457830539","-10924.3602586972","190.061322664132","-8628.73436189134","-5638.95729367026","-7670.92376308123","-953.370887097116","-8538.16175476478","1352.8265596186","-9369.13197484485","658.794244485648","-7903.4888185151","749.28927349839","-11727.9863725738","-6968.34202460408","-12077.8105379706","-5825.53593818332","-9565.58403948587","-3660.4315366853","-9586.39941250741","-4497.93091746655","-10042.9308257229","-5004.41054513294","-12732.8555175661","-3668.58460338199","-10730.5331115913","-5922.59563750814","-10382.4662949032","-6040.55318721508","-8391.62894232303"
"3","-4670.37207017153","-7520.12991588665","-4257.0017054217","-8344.44980424617","-7054.60742092412","-11380.9819642348","-3432.49339878523","-8147.78916681236","-2860.51667854738","-8755.27681961973","1529.16681297818","-8632.43435046864","-645.810468286591","-10417.387705837","1210.90885667095","-10068.9067727382","455.297559205112","-9983.88493167582","-1866.46866926961","-8954.80705642302","-1190.04891851182","-11075.1048676081","605.559233773751","-10998.647013817","-1253.25213162552","-9274.57689276767","-4036.05583684762","-9220.88394929832","-5128.81183513535","-8210.64741631473","-6646.18238063452","-12723.5079412471","-1332.6612293807","-9901.72738133323","-1765.67010331461","-10367.8072682673","1040.42222868332","-10686.2884413328","449.461946734035","-9245.60167686701","-402.015091969561","-9856.9126118022","-36.931539882946","-12702.4729993867","-5114.27713239521","-7147.98064361193","-3918.52535424056","-10929.029130086","188.597633808004","-8626.04683959422","-5637.98312571905","-7668.48212008503","-954.217565426458","-8535.11028619475","1353.69212684717","-9367.26957361474","658.457728453394","-7902.82536062521","750.306735357707","-11727.3209624487","-6964.17681144487","-12067.418171841","-5825.68581592879","-9564.74637951306","-3659.36780083846","-9583.76571849874","-4497.76644282636","-10040.5861676573","-5000.83618384631","-12724.4988604235","-3668.43061105953","-10729.7827101409","-5918.88835877132","-10379.3740486552","-6040.2619184503","-8389.88274812489"
"4","-4669.13025425097","-7518.529868731","-4255.53521294111","-8341.30978603698","-7051.20718457962","-11371.037017487","-3430.78700747194","-8146.33093297637","-2859.06804711263","-8752.45743345493","1529.07375734242","-8631.6431861596","-645.1264097831","-10416.7876107915","1210.21233423675","-10068.2729064801","455.405948444538","-9984.53048067529","-1866.8948021213","-8951.01218981791","-1190.47452291086","-11075.4048600211","605.272730442725","-11000.0171497181","-1252.96318605899","-9273.94449994998","-4035.42661755546","-9219.0443248443","-5127.74723448128","-8208.69656884909","-6640.11179207281","-12714.1594687657","-1331.95295783122","-9902.94100290694","-1765.8644017279","-10366.5213832641","1040.09505904513","-10688.173210478","449.07025245144","-9245.4965052082","-401.479001771545","-9854.09422418191","-37.0355619270264","-12690.8686275136","-5116.19303903859","-7143.60713772337","-3914.65498193014","-10933.7375241884","187.135549551782","-8623.39872197658","-5637.03034287495","-7666.07390641533","-955.067205347093","-8532.09681922458","1354.56162105585","-9365.44560025024","658.123648352742","-7902.19808528745","751.324039401357","-11726.700385339","-6960.03898442884","-12057.0764237304","-5825.85699829639","-9563.94711528301","-3658.31974969121","-9581.17309717853","-4497.61993404062","-10038.282442432","-4997.28271176436","-12716.1934133944","-3668.29057677256","-10729.0737571481","-5915.20494681607","-10376.3244204773","-6039.99369383296","-8388.17112786156"
"5","-4667.90660418276","-7516.96420593774","-4254.0856423663","-8338.20518669536","-7047.832791709","-11361.1408777084","-3429.09508721849","-8144.90814995745","-2857.6302738744","-8749.6780834463","1528.98537186492","-8630.88832740987","-644.444932872385","-10416.2285078314","1209.51981834682","-10067.677749298","455.515685685228","-9985.2141951724","-1867.32786092798","-8947.2590292521","-1190.90356005351","-11075.7475981908","604.988228694634","-11001.427156367","-1252.6776862587","-9273.35138640098","-4034.81366450739","-9217.24270840487","-5126.70271908604","-8206.78088864149","-6634.06853599204","-12704.8637764806","-1331.24922926183","-9904.19374257234","-1766.06415631653","-10365.2769654012","1039.77094843002","-10690.0963973486","448.679933523355","-9245.43052479436","-400.944691891086","-9851.31763187664","-37.1397470230905","-12679.3190249532","-5118.12590511775","-7139.26575932028","-3910.80322281162","-10938.4841415684","185.675090363758","-8620.78891596607","-5636.09848306978","-7663.69828792391","-955.919707401996","-8529.12037384871","1355.43493702696","-9363.65924778864","657.791979025592","-7901.6059565255","752.341290869879","-11726.1237335032","-6955.92817817166","-12046.784738381","-5826.04899032884","-9563.18537560485","-3657.28695142253","-9578.62065153661","-4497.49093868474","-10036.0187432582","-4993.74992304241","-12707.9385424032","-3668.16413103926","-10728.4052996081","-5911.54509010023","-10373.3166212996","-6039.74797555266","-8386.4933061865"
"6","-4666.70072994119","-7515.43191650919","-4252.6525707585","-8335.13512644344","-7044.48392032667","-11351.2929180277","-3427.41731158554","-8143.51971614776","-2856.20304238566","-8746.93752013697","1528.90156746378","-8630.16880973396","-643.766016417741","-10415.7093930466","1208.83124884616","-10067.1202867531","455.626721721832","-9985.93511296243","-1867.76760434071","-8943.54640969398","-1191.33594840879","-11076.131923745","604.705676676161","-11002.8761177999","-1252.39556621443","-9272.79643049073","-4034.21655655122","-9215.47815053892","-5125.67783915698","-8204.89953715926","-6628.05237384828","-12695.6200861325","-1330.55000500515","-9905.48445282256","-1766.26925692689","-10364.0729500948","1039.44987554065","-10692.056950741","448.290987312764","-9245.40260960141","-400.41217284089","-9848.58174733203","-37.2440844181373","-12667.8234711567","-5120.07524174976","-7134.95579224858","-3906.96983796364","-10943.2676814824","184.216276605551","-8618.21632746385","-5635.18708358664","-7661.35442948381","-956.774972052394","-8526.17996902687","1356.31196937323","-9361.90970815986","657.462695176615","-7901.04793743728","753.358594963394","-11725.5900976617","-6951.84402630717","-12036.5425587414","-5826.26129637504","-9562.46028810343","-3656.26897375499","-9576.10748326634","-4497.37900375719","-10033.7941620525","-4990.23761114352","-12699.7336115149","-3668.05090400477","-10727.7763831616","-5907.90847621809","-10370.3498606469","-6039.52422507051","-8384.84850667228"
"7","-4665.51224098925","-7513.93198859569","-4251.23557473092","-8332.09872462996","-7041.1602475724","-11341.4925099276","-3425.75335376382","-8142.1645290612","-2854.78603597344","-8744.23449312522","1528.82225487624","-8629.48366781692","-643.08963918671","-10415.229261437","1208.14656543111","-10066.5995034181","455.739007313893","-9986.69227079715","-1868.21379080048","-8939.87316521324","-1191.77160632165","-11076.5566771623","604.425022479325","-11004.363116897","-1252.11675977339","-9272.27850955774","-4033.63487202877","-9213.74970078421","-5124.67214433443","-8203.05167496608","-6622.06306612937","-12686.427617745","-1329.85524620895","-9906.8119851243","-1766.47959319509","-10362.9082716629","1039.13181895296","-10694.0538184705","447.90341109845","-9245.41163268844","-399.881455071216","-9845.88548193272","-37.3485633407928","-12656.3812438218","-5122.04055955179","-7130.67651950366","-3903.15458814778","-10948.0868420757","182.759128532907","-8615.67986152307","-5634.29568114204","-7659.04149512571","-957.632899694139","-8523.27462284669","1357.19261255438","-9360.19617231188","657.135771380741","-7900.52299034814","754.376056824771","-11725.0985671325","-6947.78616156246","-12026.3493260861","-5826.49342017264","-9561.77097935708","-3655.26538402603","-9573.63269290802","-4497.28367575303","-10031.6077895871","-4986.74556887608","-12691.577983061","-3667.95052550108","-10727.1860522528","-5904.29479196215","-10367.4233467637","-6039.32190320836","-8383.23595193556"
"8","-4664.34074634896","-7512.4634096484","-4249.83423052383","-8329.09509987897","-7037.86144978285","-11331.739023369","-3424.1028866326","-8140.84148550701","-2853.37893780039","-8741.56775126363","1528.74734467896","-8628.83193566127","-642.415779855586","-10414.7871070689","1207.46570766629","-10066.1143830414","455.852493195001","-9987.48470452469","-1868.66617857604","-8936.23812917074","-1192.21045202616","-11077.02069795","604.146214155803","-11005.8872355199","-1251.8412006563","-9271.79650008018","-4033.06818884157","-9212.05640781007","-5123.68518376935","-8201.23646185311","-6616.10037241389","-12677.2855897767","-1329.16491384864","-9908.17519008884","-1766.69505456455","-10361.7818634956","1038.81675712526","-10696.0859475334","447.517202076621","-9245.45646636363","-399.352548966241","-9843.22774618099","-37.4531730000835","-12644.991619039","-5124.02136871481","-7126.42722335454","-3899.35723384961","-10952.940320579","181.303666296467","-8613.17842252633","-5633.42381196748","-7656.75864817349","-958.493390674004","-8520.40335268549","1358.07676089376","-9358.51783033509","656.811182090602","-7900.03007696317","755.393781522799","-11724.6482299665","-6943.75421583215","-12016.2044801344","-5826.74486493012","-9561.11657503445","-3654.27574925873","-9571.19537999133","-4497.204500737","-10029.4587156403","-4983.2735884311","-12683.471017764","-3667.86262510667","-10726.6333502869","-5900.70372338415","-10364.536286737","-6039.1404702374","-8381.6548637612"
"9","-4663.18585467132","-7511.02516657105","-4248.44811407919","-8326.1233702376","-7034.5872025625","-11322.031826915","-3422.46558281766","-8139.5494817625","-2851.98143092606","-8738.93604285714","1528.67674730811","-8628.21264673307","-641.744417013865","-10414.381923229","1206.7886150016","-10065.6639087109","455.967130081925","-9988.31144922857","-1869.1245258014","-8932.64013440741","-1192.65240365861","-11077.5228248207","603.869199731194","-11007.4475546476","-1251.56882247332","-9271.34927784608","-4032.51608451619","-9210.39731956922","-5122.71650620038","-8199.45305696919","-6610.1640514296","-12668.1932192713","-1328.47896873962","-9909.57291764205","-1766.91553030346","-10360.6926582241","1038.50466840735","-10698.1522842667","447.132357362518","-9245.53598234919","-398.825464840392","-9840.60744987436","-37.5579025842098","-12633.6538714368","-5126.017179077","-7122.20718546722","-3895.57753531946","-10957.8268135035","179.849909942522","-8610.71091436209","-5632.57101189055","-7654.50505137894","-959.356345305897","-8517.56517537098","1358.96430859476","-9356.87387158583","656.488901643935","-7899.56815851864","756.411874035374","-11724.2381730813","-6939.74782025227","-12006.1074591677","-5827.01513340832","-9560.49620003038","-3653.29963623232","-9568.79464317675","-4497.14102441625","-10027.3460291443","-4979.82146141886","-12675.4120748615","-3667.78683220564","-10726.117319786","-5897.13495585577","-10361.6878866195","-6038.97938596616","-8380.10446322553"
"10","-4662.04717430576","-7509.6162458709","-4247.07680111484","-8323.18265332291","-7031.33718085396","-11312.3702878535","-3420.84111474897","-8138.28741374476","-2850.59319836779","-8736.33811586007","1528.61037307932","-8627.62483410691","-641.075529168629","-10414.0127025786","1206.115226789","-10065.2470630158","456.082868683693","-9989.17153936576","-1869.58859051337","-8929.07801343189","-1193.09737927048","-11078.0618958691","603.593927219236","-11009.0431545117","-1251.29955873993","-9270.93571812254","-4031.97813626916","-9208.77148344846","-5121.76566003049","-8197.70061895012","-6604.25386111119","-12659.1497220074","-1327.79737154958","-9911.00401719339","-1767.1409095221","-10359.6395878884","1038.1955310495","-10700.2517745085","446.748873991998","-9245.64905194527","-398.300212934637","-9838.02350228207","-37.6627412593181","-12622.367274326","-5128.02750019666","-7118.01568702714","-3891.81525261259","-10962.7450168356","178.397879413739","-8608.27624060004","-5631.73681641554","-7652.27986705573","-960.221663886985","-8514.75910734106","1359.85514975727","-9355.26348480897","656.168904270938","-7899.13619593237","757.430439232708","-11723.8674823938","-6935.76660527332","-11996.057700146","-5827.30372800145","-9559.90897860096","-3652.33661155218","-9566.42958039604","-4497.09279221254","-10025.2688183336","-4976.3889789052","-12667.4005122286","-3667.72277604667","-10725.6370025443","-5893.58817412866","-10358.8773515508","-6038.8381098281","-8378.58397081879"
