"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","1027.24467023954","-7821.09185367313","481.889467245844","-6560.14689308311","-6440.50822380038","-576.681278816173","918.721392353097","-8342.7761253092","-7616.53473587962","-57.3517820597436","840.557767000435","-9427.57334878347","-9478.72168286178","1800.93883662922","-5790.25335148892","1930.35454520415","-790.129773676132","-8171.8143499931","-50.8109389200647","-9104.30562202782","1069.89543929167","-6395.81431198504","-880.036371164823","-5867.58743279094","2138.50879133468","-8272.87836487601","-8416.9270015992","772.863098391841","-1262.85687122939","-6850.88882027175","-1925.66264803093","-5323.33689871885","-301.308189331507","-7326.25285080247","-5322.68339393591","-1919.18795804052","-6950.22099642803","745.463448180282","321.10780251553","-8492.10495212145","1491.94413129405","-5266.63985742865","-1831.17264857235","-8821.41519305024","-7423.70498522292","-1929.13407986305","-1982.5914094742","-6369.35217000948","-6220.12879331723","312.122940673196","-8.52385377798871","-5450.45916131036","-5396.39038030111","746.251168819912","-5840.16913000835","-435.967390633186","-6844.23567796676","1659.6079408944","-5964.60444647448","1520.09247294893","-7694.9016917342","-1404.64639036366","2002.9036111824","-6015.48204755599","-6490.20610971932","-1595.5049316675","-7580.88355842373","-929.952144138207","-8033.47236533818","359.784290737233","-7494.88107676202","1845.29662009969"
"2","1026.8436186618","-7816.71135011149","481.515619097008","-6555.49707443522","-6435.92496149446","-578.276430641797","919.975254495119","-8342.27065626095","-7610.48390945336","-57.5130856640559","840.410972941698","-9425.72824685003","-9470.36617307093","1800.77493315728","-5782.69574876617","1931.6941552197","-789.98111359137","-8168.79063975114","-52.0537170915354","-9102.55702618624","1070.13770704028","-6388.50558142562","-880.166141305552","-5860.72739969351","2137.87335299917","-8270.87884316823","-8412.40585005284","773.667031174206","-1262.85505703315","-6845.46622126464","-1925.25530997814","-5314.09624985757","-301.168173967383","-7320.74459086335","-5315.75722395444","-1920.03853713479","-6945.44778630883","745.639316867553","320.853172677665","-8487.62113904503","1493.03205365684","-5256.12167908244","-1831.43902180539","-8815.06942863028","-7419.30538968061","-1929.63494506703","-1981.57606219581","-6362.40118977162","-6214.63855544196","313.282115065862","-8.08205026956615","-5441.41316832777","-5388.75798652861","746.820046954041","-5834.58039374342","-436.320613786582","-6838.79575395159","1659.02063791933","-5956.25031587185","1519.53749093057","-7691.65816847511","-1404.56995753222","2004.75866856984","-6009.10404057021","-6483.19318932891","-1595.64646865581","-7576.46343640362","-929.11687889529","-8030.24908228837","360.073375291299","-7492.71319211369","1846.04362618607"
"3","1026.44436151653","-7812.36840684847","481.141146035129","-6550.88074964504","-6431.37357557642","-579.871934361233","921.231576568661","-8341.80252151763","-7604.46994823978","-57.6748037138247","840.267304544061","-9423.92306862163","-9462.05488461524","1800.61742671299","-5775.17265000678","1933.03861651502","-789.834713157798","-8165.80491678666","-53.2956110046799","-9100.84692573806","1070.38252896644","-6381.23289138402","-880.298230171102","-5853.90132760368","2137.24440093446","-8268.91806738424","-8407.92248813734","774.47315444967","-1262.85721398237","-6840.07780993287","-1924.8549808782","-5304.88837523786","-301.029004349798","-7315.27162681749","-5308.86192976648","-1920.89429512129","-6940.70789435127","745.817476911242","320.599143356441","-8483.1783909068","1494.12342822257","-5245.63969370588","-1831.71061400112","-8808.76387936604","-7414.94206321815","-1930.14092237056","-1980.56634916962","-6355.48265431048","-6209.18209129046","314.439951302943","-7.64201883293324","-5432.40173562306","-5381.15718575036","747.392797648342","-5829.02237712832","-436.674162842596","-6833.39227150758","1658.43830651224","-5947.93062468681","1518.98705336095","-7688.45076545511","-1404.49828471704","2006.61793307825","-6002.76039493565","-6476.21524108226","-1595.79326191195","-7572.07828173895","-928.284185090479","-8027.06314981226","360.363204532118","-7490.58107780548","1846.79611584404"
"4","1026.04690802945","-7808.06216485007","480.766165607503","-6546.29711877506","-6426.85333896742","-581.467703169251","922.490231751058","-8341.37071278726","-7598.49208265271","-57.8369007421058","840.126738591148","-9422.15687208601","-9453.78718622027","1800.46617890856","-5767.68324956901","1934.38779146736","-789.69054663533","-8162.8562459209","-54.5366756127285","-9099.17445891391","1070.62989121151","-6373.99544569233","-880.432569002203","-5847.1084272626","2136.62188225655","-8266.99504668393","-8403.47617695653","775.2813887861","-1262.86325082234","-6834.72282030229","-1924.46159185076","-5295.71256678293","-300.890683642079","-7309.83321079118","-5301.99687036738","-1921.75511386933","-6936.00046378132","745.997909226199","320.345720752156","-8478.77576152002","1495.21821596039","-5235.19317723611","-1831.98734180449","-8802.49773714554","-7410.61412613741","-1930.65194388253","-1979.56227284331","-6348.59588805655","-6203.75864581898","315.596444156636","-7.20376507421112","-5423.42407204676","-5373.58731005077","747.969380196344","-5823.49437039062","-437.02805004877","-6828.02432186848","1657.86092624433","-5939.64464619691","1518.44118237322","-7685.27861215264","-1404.43133003422","2008.48126447348","-5996.45029498906","-6469.2715774392","-1595.94523748191","-7567.72732652892","-927.454081037068","-8023.9136611906","360.653722384782","-7488.48379486476","1847.55397146137"
"5","1025.65126735096","-7803.7917639521","480.390795144787","-6541.74538086435","-6422.3635236286","-583.063650240595","923.751093121418","-8340.97422055387","-7592.54954192126","-57.9993412517478","839.989251690712","-9420.42871387967","-9445.56244499516","1800.32105109344","-5760.2267408495","1935.741542189","-789.548588202545","-8159.94369070207","-55.776965878879","-9097.53876261938","1070.87977979947","-6366.79244711368","-880.569088980411","-5840.34790839644","2136.00574376318","-8265.10878903237","-8399.06617636304","776.091654627842","-1262.87307613709","-6829.4004851133","-1924.07507372311","-5286.5681155513","-300.753214956854","-7304.42859362476","-5295.16140386065","-1922.62087499007","-6931.32463674198","746.180594670948","320.092911085319","-8474.41230329795","1496.31637768562","-5224.78140457183","-1832.26912141847","-8796.27019260237","-7406.32069753138","-1931.16794142134","-1978.56383549741","-6341.74021416961","-6198.36746288867","316.751588555898","-6.76729451363723","-5414.47938548279","-5366.04769055328","748.549753799386","-5817.9956628151","-437.382287641888","-6822.69099510396","1657.28847646545","-5931.39165249808","1517.89989999867","-7682.14083676239","-1404.36905134015","2010.34852238422","-5990.17292400426","-6462.36150978437","-1596.10232119998","-7563.40980170957","-926.626584962131","-8020.79970850925","360.944872789286","-7486.42040307099","1848.31707523413"
"6","1025.25744856462","-7799.55634300807","480.015151747835","-6537.22473406293","-6417.90340068464","-584.659688741275","925.014033680677","-8340.61203423546","-7586.64155422685","-58.1620897192684","839.854820280705","-9418.73764944188","-9437.38002654378","1800.18190438611","-5752.80231642482","1937.09973055052","-789.408811964857","-8157.06631356112","-57.0165367611746","-9095.93897257685","1071.13218064241","-6359.62309748041","-880.707721241951","-5833.6189798525","2135.3959319508","-8263.25830135529","-8394.69174508693","776.903872311266","-1262.88659836866","-6824.11003595908","-1923.69535704501","-5277.45431186956","-300.616601354694","-7299.05702500784","-5288.35488757252","-1923.49145985985","-6926.67955444204","746.365514054846","319.840720598416","-8470.0870674142","1497.41787406651","-5214.40364970042","-1832.55586861976","-8790.08043526617","-7402.06089543229","-1931.68884653173","-1977.57103925569","-6334.91495467222","-6193.00778539138","317.905379591664","-6.33261258443531","-5405.56688298703","-5358.53765753848","749.133877564974","-5812.5255428692","-437.736887848592","-6817.39138027701","1656.72093631053","-5923.17091463549","1517.36322816533","-7679.03656634205","-1404.31140623787","2012.21956632354","-5983.92746432888","-6455.48434854704","-1596.26443870221","-7559.12493718703","-925.80171500906","-8017.72038281284","361.236599716199","-7484.38996110167","1849.08530918597"
"7","1024.86546069557","-7795.35504003619","479.639352274608","-6532.73437576518","-6413.47224054646","-586.255731839846","926.278926371611","-8340.28314234104","-7580.76734683936","-58.3251105987269","839.723420635275","-9417.08273316797","-9429.23929507499","1800.04859970571","-5745.40916819219","1938.46221820394","-789.271191962638","-8154.22317596663","-58.2554431974122","-9094.37422346643","1071.38707954583","-6352.48659783131","-880.848396891494","-5826.92084973444","2134.79239303147","-8261.44258969361","-8390.35214086349","777.717962080266","-1262.90372583632","-6818.85070342287","-1923.32237210346","-5268.37044546424","-300.480845842739","-7293.71775361362","-5281.57667816577","-1924.36674964341","-6922.06435730393","746.552648145179","319.589155557672","-8465.79910396202","1498.5226656308","-5204.05918582418","-1832.84749877437","-8783.9276537122","-7397.83383695896","-1932.21459050181","-1976.58388609544","-6328.11943058251","-6187.67885537461","319.057812522073","-5.89972463164802","-5396.68577092513","-5351.0565405613","749.721710505049","-5807.08329832782","-438.09186288598","-6812.12456560042","1656.15828470598","-5914.98170273355","1516.8311886963","-7675.96492695819","-1404.25835208336","2014.09425571035","-5977.71309752036","-6448.63940332023","-1596.43151543991","-7554.87196196992","-924.979489240042","-8014.67477425745","361.528847182304","-7482.39152667732","1849.85855518726"
"8","1024.47531271888","-7791.18699236545","479.263513327158","-6528.27350274259","-6409.06931303317","-587.851692718696","927.545644098776","-8339.98653262685","-7574.92614625244","-58.4883683255902","839.595028870728","-9415.46301856152","-9421.13961351192","1799.92099780345","-5738.04648750926","1939.82886660579","-789.135702179281","-8151.41333857883","-59.4937400900838","-9092.84364906615","1071.64446221399","-6345.38214854798","-880.99104701588","-5820.25272553674","2134.19507294949","-8259.66065935704","-8386.04662056004","778.533844101713","-1262.9243667557","-6813.62171721464","-1922.95604893731","-5259.31580559289","-300.345951373317","-7288.41002723244","-5274.82613175274","-1925.24662531701","-6917.47818511092","746.741977674183","319.338222254771","-8461.54746211273","1499.63071277224","-5193.74728548571","-1833.14392685324","-8777.81103570987","-7393.6386384633","-1932.74510437974","-1975.60237785761","-6321.35296204628","-6182.37991416574","320.208882777688","-5.46863591093132","-5387.83525510942","-5343.60366856752","750.31321153415","-5801.66821639731","-438.447224962201","-6806.88963859244","1655.60050037598","-5906.82328612515","1516.30380330804","-7672.92504383131","-1404.20984599175","2015.97244989075","-5971.52900448107","-6441.82598297893","-1596.60347669297","-7550.65010430095","-924.159925638478","-8011.66197226241","361.821559266186","-7480.42415670579","1850.63669497412"
"9","1024.08701356792","-7787.05133678072","478.887751238694","-6523.84131127558","-6404.6938874932","-589.447484585308","928.814059748389","-8339.72119225163","-7569.11717831786","-58.6518273205949","839.469620951417","-9413.87755838576","-9413.08034360027","1799.79895929392","-5730.71346533308","1941.19953704012","-789.002316549213","-8148.63586140265","-60.7314822913545","-9091.34638239104","1071.90431425515","-6338.30894949028","-881.135602697765","-5813.61381427826","2133.6039173981","-8257.91151507672","-8381.77444030196","779.351438480847","-1262.94842925778","-6808.42230630686","-1922.59631735167","-5250.28968117426","-300.211920842544","-7283.13309290459","-5268.10260400764","-1926.13096769144","-6912.9201771534","746.933483346008","319.087927008562","-8457.33119027313","1500.74197575707","-5183.46722069229","-1833.44506744775","-8771.72976837032","-7389.47441567584","-1933.28031899047","-1974.62651625681","-6314.6148684683","-6177.11020249537","321.358585966714","-5.03935158730933","-5379.01454093495","-5336.17837000952","750.908339467487","-5796.27958383871","-438.802986277039","-6801.68568623148","1655.04756184866","-5898.69493348001","1515.78109360863","-7669.91604148007","-1404.16584484349","2017.85400815933","-5965.37436559261","-6435.04339579742","-1596.78024758306","-7546.45859178763","-923.343042111346","-8008.68106566114","362.114680123779","-7478.4869074256","1851.41961016729"
"10","1023.7005721426","-7782.94720966696","478.512182060726","-6519.43699728446","-6400.34523292471","-591.043020683539","930.084046208128","-8339.48610793097","-7563.33966837906","-58.8154519936029","839.347172695578","-9412.32540481381","-9405.06084601559","1799.68234468625","-5723.40929235811","1942.57409064135","-788.871008965842","-8145.8898039399","-61.968724588081","-9089.88155583149","1072.16662118683","-6331.26620013092","-881.281995029211","-5807.00332263497","2133.01887183586","-8256.19416115691","-8377.53485559769","780.170665276626","-1262.97582140781","-6803.25169906947","-1922.24310693224","-5241.2913609177","-300.078757088926","-7277.88619705211","-5261.40545027799","-1927.01965743489","-6908.38947237436","747.12714584361","318.838276166739","-8453.14933624186","1501.85641473044","-5173.21826303947","-1833.75083478519","-8765.68303829295","-7385.34028385047","-1933.82016495235","-1973.65630289114","-6307.90446864283","-6171.86896061986","322.506917880212","-4.61187673388888","-5370.22283351462","-5328.77997296117","751.507053018917","-5790.91668709025","-439.159159022487","-6796.51179510994","1654.49944746222","-5890.59591293227","1515.26308109576","-7666.93704386461","-1404.12630529037","2019.73878978025","-5959.24836084921","-6428.29094956583","-1596.96175308674","-7542.29665153217","-922.528856491499","-8005.7311428511","362.408154003864","-7476.57883454848","1852.20718229093"
