"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","-4194.82333322724","-7871.85436128873","-4285.08259005502","-6183.42484839169","-3817.32982095658","-7220.22171234023","-3007.44551785626","-6296.85757942338","-2589.94244241995","-8082.76505493595","-4676.78044145725","-6647.04150106642","-3185.02679946309","-9155.3888170569","-4508.33574900718","-8304.77580389541","-3667.49947079902","-8211.04799073485","-2635.79163051118","-7351.58724541928","-3334.84692418813","-7578.21491409601","-5298.6759199741","-7797.13417220592","-3316.40192351213","-8731.62705518943","-4704.62800326463","-7612.29383331751","-4832.85380703966","-6995.96262513371","-2691.02238001595","-8496.83025656246","-3618.2382812267","-6025.89375003913","-1995.61633489748","-6824.55259275598","-4183.73147680804","-5392.0454935968","-6984.98907660951","994.984775195791","-6886.52638501521","-958.412309718157","-3933.233542505","-8458.35097574121","-10699.97690747","810.915961888932","-6700.6745742019","1329.61683257028","-8994.45276300812","796.869306655239","-7867.75857796378","-15.4898553774467","-8933.83200581855","1322.15532819849","-9349.54810929965","-1354.44161291279","-7326.72962549206","-142.199772774465","-10223.8547395406","1224.67733414539","-8576.91393477098","-927.744616358097","-9518.14054611995","-596.097146691318","-10373.5795540137","-63.399457625104","-11492.3772183875","891.190446401114","-8963.87208588351","-1704.10576981576","-8910.76248073804","319.143719215307","-9346.57423429949","55.8569164105045","-10522.9009252572","-438.559149893451"
"2","-4194.60256586513","-7872.4384449812","-4284.86924493959","-6183.3364888904","-3817.63455966066","-7220.32434972456","-3006.82746258754","-6296.20994155514","-2589.67766431004","-8082.1307470424","-4677.47027631815","-6647.11394215487","-3184.49199985096","-9156.02607712367","-4509.2204303265","-8305.49122853321","-3667.1996483395","-8211.68038942277","-2635.38394714472","-7350.85908064758","-3335.16810629893","-7578.8415934558","-5299.41673720566","-7798.2583358904","-3316.92763858516","-8731.96619080746","-4705.19095667605","-7612.60410904213","-4832.83348354189","-6997.63510033448","-2691.22192715782","-8496.91321808926","-3618.73281772771","-6026.18852577917","-1993.33377740077","-6820.29402371774","-4182.68648124954","-5390.86325031012","-6979.93498687832","992.633535862357","-6885.43047399613","-959.31111750614","-3933.90262849978","-8459.75470686607","-10688.6642424412","811.942844313592","-6699.54202548157","1329.71947638589","-8983.73397672636","797.154046557433","-7862.57272332173","-12.4797826690047","-8922.64765399752","1322.50282478755","-9342.82186120744","-1355.10994613526","-7323.40544013066","-142.548033093355","-10212.2498335982","1224.88988689822","-8571.75631977626","-928.107610132895","-9507.90414564238","-593.863342040372","-10364.1221089147","-64.0215196639026","-11485.0690232201","891.665612890756","-8960.63366521618","-1702.20425089098","-8901.99995980218","320.99355978022","-9341.02168856236","56.0663071396353","-10518.7105082994","-438.587304685972"
"3","-4194.39967848222","-7873.05461593352","-4284.67451710644","-6183.27706423104","-3817.9546059354","-7220.45803411455","-3006.22503436123","-6295.59394864712","-2589.42629238889","-8081.53067864007","-4678.17876234377","-6647.21758792022","-3183.97102473616","-9156.6977151345","-4510.12275039138","-8306.23833491157","-3666.91600789018","-8212.34613158813","-2634.99080772333","-7350.1655183261","-3335.50540996265","-7579.50134614771","-5300.17566869649","-7799.41178542005","-3317.46802986839","-8732.33931242077","-4705.77294633284","-7612.94391206177","-4832.83279854608","-6999.33661902955","-2691.43412117884","-8497.03102814284","-3619.24415711803","-6026.51226413179","-1991.06470973904","-6816.07240890452","-4181.65969708164","-5389.70773571737","-6974.9154030054","990.286358161379","-6884.36917612596","-960.213026407296","-3934.58775761944","-8461.19075368789","-10677.3995393569","812.972123373585","-6698.44419563073","1329.8256394285","-8973.05899570257","797.441056044895","-7857.42411266976","-9.47020601921411","-8911.5069086053","1322.85340196506","-9336.13961783029","-1355.78161611083","-7320.11234899941","-142.896306415903","-10200.6929886346","1225.10616227888","-8566.63665837498","-928.473005260722","-9497.71126598777","-591.6336639068","-10354.7109637809","-64.6422391594998","-11477.8096028542","892.142715918677","-8957.43206642449","-1700.30903947067","-8893.27592944642","322.843862757093","-9335.50843197237","56.2760548549036","-10514.5635245545","-438.61654137611"
"4","-4194.21428556188","-7873.7021709953","-4284.49791800381","-6183.24570465144","-3818.28957537423","-7220.62195327203","-3005.63774406495","-6295.00861215059","-2589.18788347663","-8080.96400539995","-4678.90544732886","-6647.35158957208","-3183.46356273923","-9157.40298565403","-4511.04230325144","-8307.01648411599","-3666.64814996365","-8213.04443846871","-2634.61171136074","-7349.50556591792","-3335.85836261853","-7580.19334299241","-5300.95234207102","-7800.59394872518","-3318.02270052569","-8732.74567798347","-4706.37353683125","-7613.31263719333","-4832.85123955845","-7001.06640568308","-2691.6585583591","-8497.18289289228","-3619.77173168068","-6026.86408549072","-1988.80872692972","-6811.88670865908","-4180.65071349569","-5388.57813752068","-6969.92961508479","987.943326981028","-6883.34140982045","-961.117903909139","-3935.28853562104","-8462.65833240548","-10666.1822961114","814.00368877275","-6697.38008206107","1329.93529942209","-8962.42728627122","797.730294325426","-7852.31205724248","-6.46129177251746","-8900.40932816775","1323.2070569902","-9329.50064775587","-1356.4565232102","-7316.84995900477","-143.244641733904","-10189.1836177552","1225.32608131896","-8561.55435677493","-928.8407677899","-9487.56143269675","-589.408085923299","-10345.3454971025","-65.2616494970832","-11470.5982314354","892.621692677797","-8954.26660744117","-1698.42019273593","-8884.58997585968","324.694482605345","-9330.03388170938","56.4860813014021","-10510.4592064898","-438.646844338451"
"5","-4194.04600097682","-7874.38040595436","-4284.33895847058","-6183.24153951902","-3818.63908307857","-7220.8152939614","-3005.06510220748","-6294.45294264033","-2588.96199404638","-8080.42988188297","-4679.64987851424","-6647.51509729889","-3182.96930206451","-9158.14114209103","-4511.97868238371","-8307.82503614782","-3666.39567459948","-8213.77453024841","-2634.24615688811","-7348.87822990297","-3336.22649124671","-7580.91675377811","-5301.74638431636","-7801.80425274784","-3318.59125325109","-8733.18454429204","-4706.99229208434","-7613.7096783313","-4832.88829337209","-7002.82368387394","-2691.89483461674","-8497.36801735036","-3620.3149731849","-6027.24310937854","-1986.56542366948","-6807.73588227779","-4179.65911902187","-5387.47364259746","-6964.97691210886","985.604527013248","-6882.34609252893","-962.025617332514","-3936.00456777382","-8464.15665818825","-10655.0120088826","815.037430074965","-6696.34868104677","1330.04843395693","-8951.83831321881","798.02172054257","-7847.23586703342","-3.453206275879","-8889.35446968259","1323.56378694539","-9322.90421798286","-1357.13456767657","-7313.61787598506","-143.593088059994","-10177.7211324105","1225.54956487723","-8556.50881981019","-929.210863647983","-9477.45416965166","-587.186581546959","-10336.0250856934","-65.8797841188445","-11463.4341813584","893.102480260857","-8951.13660493145","-1696.53776756066","-8875.94168376653","326.545273829241","-9324.59745353479","56.6963082296804","-10506.3967850455","-438.67819787569"
"6","-4193.89443804263","-7875.08861563619","-4284.19714881273","-6183.26369746068","-3819.00274371513","-7221.03724207059","-3004.50661899324","-6293.92594996413","-2588.74818028997","-8079.92746167162","-4680.4116026542","-6647.70726038479","-3182.48793054598","-9158.91143681905","-4512.93148074704","-8308.66335001864","-3666.15818142482","-8214.53562617353","-2633.8936429301","-7348.28251592699","-3336.60932243388","-7581.67074737463","-5302.55742183963","-7803.0421235236","-3319.17329032337","-8733.65516710004","-4707.62877538451","-7614.13442853798","-4832.94344614599","-7004.60767640482","-2692.14254556788","-8497.58560549405","-3620.87331297336","-6027.64845457393","-1984.33439440111","-6803.61888817933","-4178.68450159836","-5386.39343712237","-6960.05658208235","983.27004274796","-6881.38214089802","-962.936033850152","-3936.73545891532","-8465.68494529639","-10643.888172248","816.073236719472","-6695.34898787469","1330.16502049446","-8941.29153989088","798.315293784376","-7842.19485090386","-0.446115870756669","-8878.34188871369","1323.92358874007","-9316.34959404547","-1357.81564964887","-7310.4157047729","-143.941694413097","-10166.3049425199","1225.7765336556","-8551.49945104127","-929.583258643578","-9467.38899917379","-584.969124065792","-10326.7491048182","-66.4966765228672","-11456.3167234034","893.585015676709","-8948.04137440701","-1694.6618205045","-8867.33063652107","328.396090998378","-9319.19856189741","56.9066574101571","-10502.3754897694","-438.710586226091"
"7","-4193.75920957078","-7875.82609400258","-4284.07199887921","-6183.31130649192","-3819.38017157271","-7221.28698273141","-3003.96180439638","-6293.42664339154","-2588.5459981833","-8079.45589750074","-4681.19016608339","-6647.92722732567","-3182.01913569276","-9159.71312129627","-4513.900290836","-8309.53078384392","-3665.93526971439","-8215.32694466839","-2633.5536679807","-7347.71742894968","-3337.00638243857","-7582.45449184667","-5303.38508052495","-7804.30698626262","-3319.7684136602","-8734.15680123203","-4708.28254946555","-7614.58628013302","-4833.01618348376","-7006.41760541064","-2692.4012865863","-8497.83486038411","-3621.44618204889","-6028.07923923811","-1982.11523338004","-6799.53468407269","-4177.72644864022","-5385.33670668871","-6955.1679121357","980.939958467186","-6880.44847093468","-963.849020505188","-3937.48081350712","-8467.2424072005","-10632.810279299","817.110998036163","-6694.37999699371","1330.285036372","-8930.78642829821","798.610973092104","-7837.18831669083","2.55981311495253","-8867.37113948455","1324.28645911448","-9309.83604013698","-1358.49966918485","-7307.24304925697","-144.290509803894","-10154.9344565946","1226.00690821496","-8546.52565285448","-929.957918468132","-9457.36544211958","-582.755686605188","-10317.5169283184","-67.1123602620401","-11449.2451268713","894.069235866572","-8944.98023033919","-1692.79240780584","-8858.75641620011","330.24678876814","-9313.83662003863","57.1170506475174","-10498.3945489513","-438.74399357093"
"8","-4193.63992792131","-7876.59213424947","-4283.96301813749","-6183.38349414533","-3819.77098061883","-7221.56370043911","-3003.43016823433","-6292.95403176176","-2588.35500355135","-8079.01434138758","-4681.98511478329","-6648.17414594455","-3181.56260473432","-9160.54544618457","-4514.88470473439","-8310.42669493592","-3665.7265384503","-8216.1477034501","-2633.22573047847","-7347.18197339192","-3337.41719725609","-7583.26715456626","-5304.22898578993","-7805.59826543014","-3320.37622487203","-8734.68870069666","-4708.95317656425","-7615.06462478232","-4833.10599051182","-7008.25269246626","-2692.67065286275","-8498.11498428398","-3622.03301116083","-6028.53458104064","-1979.90753474044","-6795.48222712408","-4176.78454710774","-5384.30263642919","-6950.31018863744","978.614358239104","-6879.54399816821","-964.764444229609","-3938.24023569022","-8468.8282567003","-10621.7778217542","818.150603260831","-6693.44070216327","1330.40845880743","-8920.32243922188","798.908717468869","-7832.21557131423","5.56441437499769","-8856.44177497072","1324.65239464328","-9303.36281923233","-1359.18652628421","-7304.09951244308","-144.639583220291","-10143.6090818585","1226.24060899098","-8541.58682656038","-930.334808697681","-9447.38301797601","-580.546242134288","-10308.3279287377","-67.726868942994","-11442.2186597177","894.555077720229","-8941.95248627131","-1690.9295853746","-8850.2186036954","332.097221900118","-9308.51104009658","57.3274097950907","-10494.4531897558","-438.778404041906"
"9","-4193.53620505506","-7877.38602890423","-4283.86971574862","-6183.47938759839","-3820.17478455582","-7221.86657917121","-3002.91122024111","-6292.50712363079","-2588.17475213291","-8078.60194476093","-4682.79599444826","-6648.44716350615","-3181.1180246653","-9161.40766146777","-4515.88431416835","-8311.3504398959","-3665.53158638128","-8216.99711964249","-2632.90932888156","-7346.67515328214","-3337.84129268302","-7584.10790232452","-5305.08876264183","-7806.91538482617","-3320.99632531558","-8735.25011879903","-4709.64021848164","-7615.56885358614","-4833.21235195722","-7010.11215869354","-2692.95023946399","-8498.42517877774","-3622.63323089096","-6029.0135972845","-1977.71089256103","-6791.46047412293","-4175.85838357446","-5383.2904111359","-6945.48269730585","976.293325912023","-6878.66763781151","-965.682171862648","-3939.01332934002","-8470.44170604264","-10610.7902900719","819.191941550369","-6692.5300966011","1330.53526490386","-8909.89903231744","799.208485888235","-7827.27592088316","8.5675216328935","-8845.55334699123","1325.02139173925","-9296.92919320966","-1359.87612091154","-7300.98469651455","-144.988963612907","-10132.328224369","1226.47755630985","-8536.68237249144","-930.713894794561","-9437.44124495491","-578.340763472288","-10299.181477446","-68.3402362250621","-11435.2365886863","895.04247809218","-8938.95745493015","-1689.07340878495","-8841.71677880515","333.947245282487","-9303.22123320945","57.5376567692081","-10490.5506383541","-438.813801728536"
"10","-4193.44765258552","-7878.20706992196","-4283.79160064182","-6183.59811380039","-3820.59119687662","-7222.19480250554","-3002.40447014006","-6292.0849274177","-2588.0047996448","-8078.21785858951","-4683.62235055101","-6648.74542683085","-3180.68508229005","-9162.29901656902","-4516.89871055909","-8312.30137470558","-3665.35001208164","-8217.87440988932","-2632.60396174219","-7346.19597240187","-3338.2781943813","-7584.97590144254","-5305.96403573327","-7808.25776766465","-3321.62831614701","-8735.84030825224","-4710.34323664373","-7616.09835716658","-4833.33475222495","-7011.99522486757","-2693.23964139145","-8498.76464488728","-3623.24627173902","-6029.51540503041","-1975.52490093043","-6787.46838164698","-4174.94754429466","-5382.29921537978","-6940.68472331983","973.976945108295","-6877.8183049213","-966.602070169124","-3939.79969812091","-8472.08196703865","-10599.8471735611","820.234901997936","-6691.64717313006","1330.6654316541","-8899.51566621804","799.510237302748","-7822.36867080133","11.5689686500781","-8834.70540629904","1325.39344665681","-9290.53442297095","-1360.56835301923","-7297.89820289188","-145.338699880578","-10121.0912891364","1226.71767040386","-8531.81169009882","-931.095142109087","-9427.53964008644","-576.139223294664","-10290.0769447621","-68.9524958192618","-11428.2981794404","895.531373817725","-8935.99444833657","-1687.22393326793","-8833.25052032454","335.796713950342","-9297.96660961797","57.7477135635346","-10486.6861200555","-438.850170685515"
